idx,split,source_id,temperature,pressure,actual,baseline,mean,lo0.50,hi0.50,lo0.60,hi0.60,lo0.70,hi0.70,lo0.80,hi0.80,lo0.90,hi0.90,lo0.95,hi0.95,lo0.99,hi0.99
20546,test,89,212.2653873637,8.8490982936,17.846611461855026,18.46872325221728,17.80922915021609,17.784754842950687,17.835452304458997,17.77835348764595,17.842152432023173,17.772016637713303,17.85244328515865,17.76020704056203,17.861900120009935,17.74750820729523,17.87333115770155,17.734204378696045,17.8821970544804,17.712373849604496,17.906606780777206
22095,test,95,281.9719827347,57.7398972953,2.2103331047523187,2.422914376546924,2.2052589264412568,2.1934118943730345,2.21654372196878,2.1902182123741314,2.2187666709907465,2.1863158327556778,2.221598923063304,2.180877479911202,2.2264318057320978,2.1738848379230564,2.2330348706684595,2.1679515435850614,2.2381718921843774,2.1554555519798297,2.24759791552499
3144,test,13,261.9419023924,31.3592664865,6.542893162223896,6.678562892256508,6.559377839444409,6.553966686770917,6.563906140102841,6.551546536633051,6.565100770303321,6.549755693923981,6.566234606217101,6.546584303136187,6.567815858998749,6.542476811382432,6.570096874986408,6.5378259130302725,6.572378631036836,6.52848199044087,6.577182661137303
3064,test,13,228.9062211164,14.4574238073,14.16797362251651,14.478750703529702,14.169716355995522,14.156389189591486,14.183809989666342,14.15265025044357,14.187484168954976,14.146797045816562,14.191560378555598,14.142234181801518,14.196810948208642,14.133798312384478,14.203458676686193,14.126907549815238,14.20958431841861,14.11234354317524,14.220190809212786
22073,test,95,273.7747844613,43.1191227609,3.9617244771454674,4.111884750467921,3.9694928005758765,3.9599040857269197,3.9789706335577497,3.95746061380781,3.9805548485389597,3.9551260677739597,3.983367674038766,3.9520210550148422,3.9858972224554226,3.947604564500224,3.989607140152482,3.942721075543454,3.9924039374005833,3.9341003953775946,3.996577833307049
3089,test,13,239.2298715152,18.132271073,11.695496940824555,11.928630079388787,11.701900075435807,11.689427955390416,11.712524162913532,11.685908760444416,11.715552498912693,11.682375669396702,11.71835230278132,11.678547350740493,11.722336274122705,11.6708803490751,11.727082578466709,11.666174218322702,11.732922453440118,11.654239575003562,11.743036661181751
3079,test,13,235.1004113557,16.5164220229,12.676555020681063,12.937587339094,12.677883792331533,12.665962887525916,12.690524380799939,12.66256472873278,12.693442408148334,12.659018734585539,12.69717357857535,12.653726895684123,12.702725373773838,12.646723901332344,12.709100471295784,12.639375709387282,12.714037736187162,12.62670356623909,12.72406908725948
21909,test,95,206.1478987051,21.9029677589,18.216775147338083,19.79076074823909,18.21508490309291,18.171867576360633,18.271915227567934,18.161139605428822,18.28081866185321,18.142920260074764,18.290655503532733,18.121412083923722,18.306455194931164,18.100307984412186,18.32560487783029,18.0770140831026,18.351165305128326,18.028117303233824,18.39539395550025
3011,test,13,206.1941902392,24.0266691048,18.82047313727025,20.10460006269588,18.80817638906612,18.765736195910108,18.851387218879808,18.757059201266678,18.861547232208544,18.746256399438916,18.872635247332905,18.731206125097415,18.88986694408406,18.70353563342626,18.917572511661792,18.68058172531377,18.93343555586674,18.638212618481173,18.969288364037308
5043,test,21,284.88952181,74.1501947159,1.8011523808496204,2.035509628356006,1.8045659783487582,1.7775481310531487,1.8277543889232577,1.7720839587650448,1.8329560973032555,1.7640935209100763,1.839926407822833,1.754336583684287,1.8485758439197497,1.7374943732154606,1.8595826129159934,1.7236720816601239,1.8685498166667718,1.6961491545167022,1.8842579783735576
