idx,split,source_id,temperature,pressure,actual,mean,median,q0.0050,q0.0250,q0.0500,q0.1000,q0.1500,q0.2000,q0.2500,q0.7500,q0.8000,q0.8500,q0.9000,q0.9500,q0.9750,q0.9950
4168,test,21,260.0,38.13364746447975,77.8812558834888,77.8575,77.85945,77.44668,77.549255,77.60462,77.66543,77.706856,77.73273,77.75859,77.95336,77.98122,78.00939,78.04922,78.10569,78.15552,78.25885
2626,test,13,265.0,31.827915571580164,43.38525149999008,43.40782,43.40876,43.178688,43.24205,43.27746,43.299526,43.32159,43.338577,43.350964,43.46471,43.47918,43.49365,43.510876,43.545883,43.56339,43.622105
2684,test,13,290.0,66.24903330998123,66.24913330998123,66.24895,66.24793,66.00905,66.07145,66.09269,66.13468,66.1524,66.17011,66.18783,66.30925,66.32368,66.3461,66.36852,66.4073,66.43117,66.49221
2679,test,13,290.0,61.88500940702458,66.24913330998123,66.24074,66.240265,65.99478,66.057594,66.085304,66.12176,66.145,66.16127,66.17754,66.302734,66.315735,66.33706,66.36147,66.39803,66.42595,66.48759
4208,test,21,280.0,53.9420080905932,80.1643999438218,80.147125,80.14259,79.65825,79.77544,79.83361,79.90302,79.94952,79.987495,80.01631,80.27678,80.31107,80.348915,80.396835,80.46597,80.52802,80.64871
18416,test,95,210.0,4.372599077848516,39.19518366903164,39.197697,39.19703,38.979424,39.03106,39.05664,39.093765,39.10961,39.124397,39.13918,39.255695,39.26835,39.281002,39.307446,39.33824,39.371815,39.438633
2595,test,13,250.0,19.4657638962172,35.07452128491826,35.113613,35.111813,34.898296,34.95235,34.98229,35.01149,35.03023,35.048973,35.06348,35.165558,35.176556,35.19477,35.2176,35.244415,35.28012,35.341496
18446,test,95,225.0,8.218063340452032,36.72014577911899,36.71458,36.71476,36.487957,36.546593,36.580666,36.60591,36.631157,36.645832,36.657864,36.769733,36.786076,36.802414,36.818756,36.855972,36.87911,36.937065
17357,test,89,255.0,24.268641900485683,34.43836192068435,34.420296,34.41994,34.21814,34.270344,34.286533,34.318905,34.340164,34.353287,34.366413,34.47343,34.487316,34.501198,34.521633,34.555317,34.572765,34.62751
2534,test,13,215.0,29.53174596660949,29.53184596660949,29.552784,29.552155,29.353745,29.405342,29.423725,29.457447,29.4731,29.488754,29.504408,29.603374,29.614824,29.626274,29.65075,29.679928,29.705889,29.756794
2613,test,13,255.0,35.78541541632123,37.42052299712822,37.414516,37.417465,37.191326,37.24943,37.274746,37.30834,37.326103,37.34387,37.36138,37.469517,37.479916,37.498585,37.519028,37.546177,37.57697,37.63216
17320,test,89,235.0,16.490909536001762,22.19117118426308,22.166344,22.166157,21.970945,22.022604,22.041061,22.07704,22.090391,22.103743,22.117094,22.215797,22.227737,22.23968,22.256784,22.29143,22.308752,22.361582
18470,test,95,235.0,23.130815021632344,37.13006353464283,37.128517,37.128944,36.908726,36.96226,36.995445,37.021103,37.04112,37.06114,37.07403,37.182613,37.19898,37.21534,37.231705,37.264725,37.290733,37.352364
17415,test,89,280.0,56.796623738067744,56.79672373806775,56.801266,56.80329,56.554085,56.61841,56.64206,56.680996,56.70147,56.72194,56.739883,56.860283,56.879333,56.898384,56.917435,56.960365,56.99155,57.060154
2570,test,13,235.0,22.146002380222605,30.42753787103057,30.394587,30.39432,30.20141,30.253187,30.268723,30.299791,30.31683,30.329718,30.342606,30.445929,30.458605,30.471283,30.48722,30.521606,30.5388,30.595612
2649,test,13,275.0,44.88876247437102,51.13835576954395,51.1503,51.15053,50.904305,50.96791,51.002014,51.034115,51.060757,51.07631,51.09186,51.209797,51.22283,51.242134,51.26582,51.295345,51.328102,51.380936
17316,test,89,235.0,11.930780217392709,22.19117118426308,22.182201,22.180593,21.990135,22.03322,22.060171,22.088154,22.104866,22.121576,22.136154,22.230707,22.241144,22.255226,22.279888,22.304548,22.335115,22.375996
