T,P,z_carbon dioxide,z_nitrogen,z_methane,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_methane,y_carbon dioxide,y_nitrogen,y_methane,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_methane,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_methane,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5190748634,0.96,0.01,0.03,0.02776673241521603,0.0001577293041249157,0.9987633615521251,4.686474452933226e-05,0.0011897737033456197,0.9506984005776583,0.012388339747528938,0.036913259674812814,0.02773239500633952,1.3012808210534282e-06,3.303612805545844e-05,0.0001499529971557844,1.954004207640773e-06,5.8223027614905366e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.82603096003688,0.0011600840631693643,-0.023387905077960625
200.0,2.8204612229,0.96,0.01,0.03,0.027747019475031665,0.00017679126379772125,0.9958987091635862,0.00016927986829955765,0.00393201096811416,0.8512762224957447,0.039773578304307604,0.10895019919994758,0.027633220878320923,4.697011802438621e-06,0.0001091015849083017,0.00015049819921597287,7.031621174176168e-06,1.9261443407572213e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.62648065770394,0.003381554672081677,-0.0774438390470209
200.0,3.1218475823,0.96,0.01,0.03,0.02772813501916588,0.0001959095810278819,0.9931506150163103,0.00030879897524168303,0.006540586008447998,0.7710390836387304,0.06524055060150817,0.16372036575976143,0.027538214347539888,8.56241967928145e-06,0.0001813582519467133,0.00015105394383178565,1.2781248934369793e-05,3.2074388261726445e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.436446928355924,0.004464241404150471,-0.1295815978819448
200.0,3.4232339418,0.96,0.01,0.03,0.02771018927910408,0.00021507955968099414,0.9905335869477817,0.0004672973209135717,0.008999115731304753,0.7049543891772583,0.08962621560765632,0.2054193952150854,0.02744787318163293,1.2948897212133312e-05,0.0002493672002590178,0.00015162127961942888,1.9276766988768568e-05,4.418151307279668e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.256749945200863,0.003937583466957051,-0.1800969121085707
200.0,3.7246203013,0.96,0.01,0.03,0.02769328235845369,0.00023429637655489856,0.9880607026820771,0.00064643626225379,0.011292861055669077,0.6496089709701066,0.11346363405611036,0.23692739497378315,0.027362644026666924,1.7901941937337624e-05,0.00031273638984942914,0.00015220102807585227,2.6584118330097645e-05,5.551123014894868e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.088095607768548,0.0013638069823400656,-0.22928846779739587
200.0,4.0260066607,0.96,0.01,0.03,0.027677494560448317,0.0002535552781725222,0.9857423186761867,0.0008474928652379526,0.013410188458575377,0.6026054785445085,0.13706920261119265,0.2603253188442987,0.027282877663163868,2.345647916764219e-05,0.0003711604181168068,0.00015279379974063873,3.475461979696676e-05,6.60068586349167e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.930994274045137,-0.0036299530766576993,-0.27744601878514175
200.0,4.3273930202,0.96,0.01,0.03,0.027662877446602195,0.00027285184011210446,0.9835848859248513,0.001071205636197397,0.015343908438951327,0.5622097710351308,0.1605959013613363,0.27719432760353296,0.02720878815766936,2.9632630234238132e-05,0.00042445665869859575,0.00015339997055594036,4.3818887200902635e-05,7.563298235526148e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.78568932406662,-0.011321798361390023,-0.3248374263947582
200.0,4.6287793797,0.96,0.01,0.03,0.027649447837431826,0.00029218222622715424,0.981590167996147,0.0013176759551602386,0.017092156048692807,0.5271356176274274,0.18407316311289532,0.28879121925967743,0.02714042614774541,3.643301258884117e-05,0.00047258867709757665,0.00015401965828200768,5.378290658699984e-05,8.437966135814677e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.652114176116008,-0.021873526294630352,-0.37169598753624555
200.0,4.9301657391,0.96,0.01,0.03,0.027637186442586673,0.0003115433835671693,0.9797550838656578,0.001586354260341184,0.01865856187400101,0.4964082995151916,0.20744266145616366,0.2961490390286448,0.027077673920867327,4.384236845704098e-05,0.0005156701532623054,0.0001546527212617876,6.462738864623205e-05,9.226327365914968e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.529890892393777,-0.03532427586116427,-0.41821189060556563
200.0,5.2315520986,0.96,0.01,0.03,0.02762604146964425,0.00033093312954235026,0.9780722173047428,0.0018761153314394603,0.020051667363817798,0.4692754310244896,0.23059217943002025,0.30013238954549015,0.02702026363556773,5.18296399481819e-05,0.0005539481941283427,0.00015529878700626967,7.631059158676777e-05,9.932375094931282e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.418371399576966,-0.05160007726972893,-0.4645287327461247
