T,P,z_carbon dioxide,z_nitrogen,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_oxygen,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_oxygen,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,parachor_oxygen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4879040962,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027800674929638367,0.00015560007456778168,0.9826063014522202,2.4461374647218202e-05,0.00044483910785486576,4.23145537755476e-06,0.016920166609900145,0.9464943634748756,0.0066814181723474165,0.04219955693075603,0.000962003662683518,0.0036626577593374125,0.027317118370487416,6.800427248994106e-07,1.2366827433463465e-05,1.1763731543067008e-07,0.00047039205167715515,0.0001472745935346757,1.0396291658357896e-06,6.566254205152986e-06,1.4968784164803448e-07,5.699098204691656e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.090581389762825,-0.035725289614166655
200.0,2.9524281787,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.02778430699225127,0.00018467902553142044,0.9917749436485744,0.00011279948467044221,0.0019900362081701445,1.9448773913476236e-05,0.006102771884671544,0.8114821429417061,0.025672510493658065,0.1580317738917988,0.0036860392335595097,0.0011275334392774042,0.027555779501554696,3.1340555106513073e-06,5.5291776933494946e-05,5.403707050349119e-07,0.00016956128754739403,0.00014986373139462311,4.741174220913937e-06,2.918515400533917e-05,6.807341337243541e-07,2.0823177681984201e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.866035889881694,-0.06721530911352502
200.0,3.4169522613,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.0277833796719582,0.00021380976367131255,0.9905445181689294,0.00020947359797189287,0.0035892860817721708,3.599708523410875e-05,0.005620725066092503,0.7055759738181523,0.041155388663261315,0.24647127228525845,0.005890930097424729,0.0009064351359030714,0.027520674430264264,5.8198845037042335e-06,9.972249796115143e-05,1.0001206861430838e-06,0.00015616273854294037,0.00015085903221421536,8.799423923892917e-06,5.269796447907884e-05,1.2595383719346034e-06,1.9380468219080975e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.762725481035982,-0.11340199554378572
200.0,3.8814763439,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.02778287309985896,0.00024304131278259943,0.9890092089261173,0.00031121238057946757,0.00517643415633651,5.329437022548198e-05,0.005449850166741249,0.6246729238863332,0.053771319902646254,0.3131024742094006,0.007671975224881418,0.0007813067767384244,0.027477517346186215,8.64637407674436e-06,0.00014381621327527275,1.4806707249114676e-06,0.00015141249559581733,0.00015182132748107924,1.3068652179192262e-05,7.609683636733272e-05,1.8646069302907583e-06,1.8988982470444799e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.6632417252342,-0.15911726194844533
200.0,4.3460004264,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027782437425459414,0.000272373155947599,0.987401997659598,0.0004182441463481507,0.006749135474798646,7.136260944168279e-05,0.0053592601098135136,0.5609445203273697,0.0644621748852506,0.3647342265213765,0.00916626292078702,0.0006928153452160681,0.027432434213751404,1.1619841824482186e-05,0.00018750743400454167,1.982627231331051e-06,0.0001488933086476547,0.00015278622931307777,1.755776601274176e-05,9.934381235973378e-05,2.496643959980217e-06,1.8870430206542576e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.564892496266424,-0.20401741046475763
200.0,4.810524509,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027781998961830482,0.000301804571175956,0.9857715573907812,0.0005308772614342788,0.008306141110184321,9.02356292331959e-05,0.005301188608367023,0.5094707889201575,0.07382068014464639,0.40562367707287905,0.010459824216789539,0.0006250296455273058,0.0273867043840327,1.4748831526026542e-05,0.0002307612036999583,2.5069261576767687e-06,0.0001472776164141202,0.00015376061297672414,2.2279418714972415e-05,0.0001224190799177947,3.1568227623240466e-06,1.8863680414062833e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.46712954669887,-0.24803916723078956
200.0,5.2750485915,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027781531731981175,0.0003313350950196468,0.9841347673943981,0.0006494471292791069,0.009846329580304302,0.00010994969765099676,0.005259506198367507,0.46703918315696785,0.08223565522027648,0.43854544253842936,0.011608868918757741,0.000570850165568492,0.027340771268913384,1.804263603031159e-05,0.00027354611767876886,3.0545710142129026e-06,0.0001461171383444986,0.00015474647212921218,2.7247558636413223e-05,0.00014530549587390355,3.846425686267221e-06,1.8914269385061742e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.369775182783215,-0.2911642212114316
200.0,5.7395726741,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027781023566354344,0.00036096446417973433,0.982499325325617,0.0007743084368868642,0.011368571523527386,0.0001305419557111449,0.005227252758257577,0.4314676237919783,0.08997295667039616,0.465381481895407,0.012651607007041907,0.0005263306351765661,0.02729483691079821,2.151108093278097e-05,0.0003158305534108992,3.6265891480093014e-06,0.0001452184320644445,0.00015574447963297465,3.2477040095196004e-05,0.00016798617725154633,4.566780544309455e-06,1.899866557078884e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.272759302607103,-0.33338714915735324
200.0,6.2040967566,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027780467497661582,0.00039069254487756136,0.9808694828998503,0.0009058328472218021,0.012871700027374203,0.00015204979107885088,0.0052009344344748605,0.4012231100497649,0.09722095879624154,0.48745203780039525,0.013614888896181315,0.0004890044574170112,0.027249012789147414,2.5164459970559523e-05,0.00035758184425011875,4.224014279092251e-06,0.0001444843900143978,0.0001567548779290325,3.798350380754014e-05,0.00019044387715398965,5.31923559107433e-06,1.910503959247232e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.176052678817726,-0.3747073823514988
200.0,6.6686208392,0.95000095000095,0.006035006035006035,0.03814503814503815,0.000869000869000869,0.004950004950004951,0.027779858869638987,0.00042051928219655085,0.9792479701167334,0.0010444077357819714,0.014354505723651642,0.00017451039201062408,0.00517860603182256,0.3751974523521036,0.1041172498464473,0.5057099795512078,0.014518102680996469,0.0004572155692447206,0.02720337040822331,2.901349950238237e-05,0.00039876614314646766,4.847874061340512e-06,0.0001438609447054919,0.00015777776334508121,4.378331116970696e-05,0.0002126607976005063,6.105142118268456e-06,1.922679629878773e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,61.77794369140718,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.079644497584596,-0.41512596338978724
