T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4416969554,0.99,0.01,0.027775492296541675,0.00015273240703193904,0.9999799733687853,2.0026631214662866e-05,0.9806182814228515,0.019381718577148464,0.027774936047000646,5.562495410285495e-07,0.0001497721905012355,2.9602165307035334e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.91172006254275,-0.0022248594076899053,-0.002623632068306847
200.0,3.2983566359,0.99,0.01,0.027779729043598485,0.00020487034451295886,0.9996335215385237,0.0003664784614762711,0.7350212050385851,0.2649787949614148,0.027769548371238358,1.0180672360125657e-05,0.0001505840475005851,5.4286297012373736e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.895888548406127,-0.04063558934347711,-0.04792967709445861
200.0,4.1550163163,0.99,0.01,0.027783964229995135,0.000257060710856706,0.9992878363354206,0.0007121636645793961,0.5891441431359301,0.4108558568640699,0.02776417750021256,1.9786729782576194e-05,0.00015144581223158713,0.00010561489862511885,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.880032816265533,-0.07882272454413908,-0.09299065144927354
200.0,5.0116759968,0.99,0.01,0.027788198480112842,0.0003092724908494728,0.998942708202934,0.0010572917970660116,0.49260572602489633,0.5073942739751036,0.027758818245804576,2.938023430826552e-05,0.00015234939989443265,0.00015692309095504013,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.864152926644664,-0.11683677478493948,-0.13786120969251314
200.0,5.8683356773,0.99,0.01,0.027792432044146748,0.0003614925539770592,0.998598052813759,0.0014019471862409783,0.4240288368554819,0.5759711631445181,0.02775346852224366,3.8963521903085134e-05,0.00015328326719480994,0.00020820928678224929,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.84826086336705,-0.15469380995495285,-0.1825590890737807
200.0,6.7249953578,0.99,0.01,0.027796665038970533,0.0004137144292481683,0.9982538304541302,0.0017461695458698644,0.3728159652920937,0.6271840347079063,0.027748127349002737,4.853768996779591e-05,0.00015423934429542347,0.0002594750849527448,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.83236606426025,-0.192404989298943,-0.22709623974794013
200.0,7.5816550382,0.99,0.01,0.027800897525172275,0.0004659345333810089,0.9979100202423321,0.0020899797576679714,0.3331206036586482,0.6668793963413517,0.027742794212099665,5.8103313072611654e-05,0.00015521239302529225,0.0003107221403557166,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.816474921373484,-0.22997297816718287,-0.271475749573316
200.0,8.4383147187,0.99,0.01,0.027805129536597424,0.0005181506814071867,0.9975666102422934,0.0024333897577065665,0.30145479409150666,0.6985452059084933,0.027737468819171364,6.766071742606051e-05,0.00015619900697197734,0.0003619516744352094,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.800591677647258,-0.26739743212966616,-0.3156975220587128
200.0,9.2949743992,0.99,0.01,0.02780936109322119,0.0005703614244260802,0.9972235931563659,0.0027764068436341087,0.2756093258046981,0.7243906741953019,0.027732150992764878,7.721010045631143e-05,0.00015719692765107923,0.000413164496775001,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.78471917585213,-0.30467662760696257,-0.35975999115369817
200.0,10.1516340797,0.99,0.01,0.027813592207318195,0.0006225657273185258,0.996880964261026,0.0031190357389740005,0.25411714193475954,0.7458828580652405,0.02772684061919432,8.675158812387421e-05,0.0001582046232927186,0.00046436110402580717,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.76885935244222,-0.34180827168582795,-0.4036609713055128
