T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.4416969554,0.99,0.01,0.027775492296541675,0.00015273240703193904,0.9999799733687853,2.0026631214662866e-05,0.9806182814228515,0.019381718577148464,0.027774936047000646,5.562495410285495e-07,0.0001497721905012355,2.9602165307035334e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.908725102388686,0.0007701007463722931
200.0,3.2983566359,0.99,0.01,0.027779729043598485,0.00020487034451295886,0.9996335215385237,0.0003664784614762711,0.7350212050385851,0.2649787949614148,0.027769548371238358,1.0180672360125657e-05,0.0001505840475005851,5.4286297012373736e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.841008514160077,0.01424444490257315
200.0,4.1550163163,0.99,0.01,0.027783964229995135,0.000257060710856706,0.9992878363354206,0.0007121636645793961,0.5891441431359301,0.4108558568640699,0.02776417750021256,1.9786729782576194e-05,0.00015144581223158713,0.00010561489862511885,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.773345854700935,0.02786423702045937
200.0,5.0116759968,0.99,0.01,0.027788198480112842,0.0003092724908494728,0.998942708202934,0.0010572917970660116,0.49260572602489633,0.5073942739751036,0.027758818245804576,2.938023430826552e-05,0.00015234939989443265,0.00015692309095504013,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.705780300836146,0.041535851023578374
200.0,5.8683356773,0.99,0.01,0.027792432044146748,0.0003614925539770592,0.998598052813759,0.0014019471862409783,0.4240288368554819,0.5759711631445181,0.02775346852224366,3.8963521903085134e-05,0.00015328326719480994,0.00020820928678224929,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.63834295034654,0.05522410306555514
200.0,6.7249953578,0.99,0.01,0.027796665038970533,0.0004137144292481683,0.9982538304541302,0.0017461695458698644,0.3728159652920937,0.6271840347079063,0.027748127349002737,4.853768996779591e-05,0.00015423934429542347,0.0002594750849527448,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.571052772753244,0.06890830220806166
200.0,7.5816550382,0.99,0.01,0.027800897525172275,0.0004659345333810089,0.9979100202423321,0.0020899797576679714,0.3331206036586482,0.6668793963413517,0.027742794212099665,5.8103313072611654e-05,0.00015521239302529225,0.0003107221403557166,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.503921356800905,0.08258058640539545
200.0,8.4383147187,0.99,0.01,0.027805129536597424,0.0005181506814071867,0.9975666102422934,0.0024333897577065665,0.30145479409150666,0.6985452059084933,0.027737468819171364,6.766071742606051e-05,0.00015619900697197734,0.0003619516744352094,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.43695598032007,0.09623826519752043
200.0,9.2949743992,0.99,0.01,0.02780936109322119,0.0005703614244260802,0.9972235931563659,0.0027764068436341087,0.2756093258046981,0.7243906741953019,0.027732150992764878,7.721010045631143e-05,0.00015719692765107923,0.000413164496775001,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.37016135767972,0.10988119056544576
200.0,10.1516340797,0.99,0.01,0.027813592207318195,0.0006225657273185258,0.996880964261026,0.0031190357389740005,0.25411714193475954,0.7458828580652405,0.02772684061919432,8.675158812387421e-05,0.0001582046232927186,0.00046436110402580717,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.303540631375594,0.1235104493807988
200.0,11.0082937601,0.99,0.01,0.027817822886648646,0.0006747628003121631,0.9965387203410756,0.0034612796589243372,0.2359659303983257,0.7640340696016743,0.027721537622135528,9.628526451311684e-05,0.0001592210319738392,0.0005155417683383238,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.237095948823345,0.13712769137788783
200.0,11.8649534406,0.99,0.01,0.02782205313620384,0.0007269520056917918,0.9961968591055873,0.0038031408944125943,0.22043463868853438,0.7795653613114656,0.02771624194815502,0.00010581118804881699,0.0001602454027185755,0.0005667066029732162,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.170828808308425,0.1507347737370317
200.0,12.7216131211,0.99,0.01,0.027826282959212606,0.0007791328036054777,0.9958553788514936,0.004144621148506404,0.20699577059330035,0.7930042294066997,0.02771095355837553,0.00011532940083707591,0.0001612771950768344,0.0006178556085286433,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.104740272855928,0.1643335747405068
200.0,13.5782728016,0.99,0.01,0.027830512357743944,0.0008313047192610342,0.9955142782618208,0.004485721738179249,0.19525453234877874,0.8047454676512212,0.027705672423476147,0.00012483993426779823,0.00016231601419864603,0.0006689887050623882,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,19.038831106267946,0.17792589415273952
200.0,14.434932482,0.99,0.01,0.027834741333083123,0.0008834673223864738,0.9951735562801745,0.004826443719825629,0.184909575911829,0.815090424088171,0.027700398520583095,0.0001343428125000299,0.00016336156791444198,0.0007201057544720318,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.97310186190051,0.19151340374337877
200.0,15.2915921625,0.99,0.01,0.02783896988597171,0.0009356202139610959,0.9948332120302952,0.005166787969704878,0.1757268978483274,0.8242731021516726,0.027695131831275897,0.00014383805469581502,0.00016441363776357172,0.0007712065761975241,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.907552941989678,0.20509762683123967
200.0,16.148251843,0.99,0.01,0.02784319801676618,0.0009877630174210798,0.9944932447631573,0.005506755236842755,0.16752202313874506,0.8324779768612549,0.0276898723402769,0.00015332567648927695,0.00016547205906001077,0.0008222909583610689,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.842184638138995,0.21867992971932537
200.0,17.0049115235,0.99,0.01,0.027847425725544668,0.0010398953726894812,0.9941536538212343,0.005846346178765637,0.16014756032221591,0.839852439677784,0.02768462003456567,0.00016280569097899797,0.0001665367069265819,0.0008733586657628992,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.776997159491202,0.23226152548154744
200.0,17.8615712039,0.99,0.01,0.027851653012180618,0.00109201693203867,0.9938144386139673,0.006185561386032663,0.15348432925911024,0.8465156707408897,0.027679374902771295,0.00017227810940932475,0.00016760748635354664,0.0009244094456851234,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.711990652675084,0.24584350686459544
200.0,18.7182308844,0.99,0.01,0.027855879876394023,0.0011441273571636897,0.9934755986005184,0.006524401399481719,0.14743491968426592,0.852565080315734,0.027674136934744686,0.00018174294164933984,0.000168684325012,0.0009754430321516895,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.647165216161536,0.2594267440734086
200.0,19.5748905649,0.99,0.01,0.027860106317788753,0.0011962263170847136,0.9931371332774883,0.006862866722511772,0.14191893754970053,0.8580810624502995,0.027668906121254763,0.0001912001965339924,0.00016976716798965374,0.0010264591490950598,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,3.87,18.582520910739483,0.27301206272305834
