T_K,P_bubble_bar,P_dew_bar
200,22.263298046824335,2.5233552890642548
201,22.385717610471993,2.655907273871065
202,22.51463258643739,2.79381369067666
203,22.650125804552065,2.9372199526975957
204,22.792282811641098,3.0862731972301014
205,22.941191756047086,3.241122271131765
206,23.09694327779457,3.40191771713843
207,23.25963040389955,3.568811761076314
208,23.429348448615745,3.7419583000295265
209,23.606194918092488,3.9215128915226685
210,23.79026941922322,4.107632743777199
211,23.981673572364972,4.300476707104086
212,24.180510927602203,4.5002052664892265
213,24.386886884380132,4.706980535435512
214,24.60090861416824,4.920966251122232
215,24.82268498600267,5.142327770943914
216,25.052326494745017,5.371232070494255
217,25.289945191611796,5.607847743059234
218,25.53565461712152,5.852345000689169
219,25.789569736047163,6.104895676918338
220,26.05180687427357,6.36567323120608
221,26.322483657416477,6.63485275517467
222,26.601718951022402,6.912610980723899
223,26.88963280217111,7.199126290105214
224,27.18634638243124,7.4945787280442016
225,27.49198193192266,7.799150016003222
226,27.80666270436309,8.11302356868292
227,28.130512913016155,8.43638451286793
228,28.463657677358164,8.769419708726225
229,28.80622297029458,9.112317773683468
230,29.15833556587808,9.465269108997969
231,29.520122987293377,9.828465929174168
232,29.891713454965277,10.202102294360113
233,30.27323583473757,10.586374145889966
234,30.664819585794284,10.981479345140023
235,31.066594708387704,11.387617715883762
236,31.478691690901293,11.804991090348857
237,31.901241456359923,12.233803359189942
238,32.33437530797877,12.67426052561655
239,32.778224873596656,13.126570763932143
240,33.232922048861084,13.590944482766009
241,33.69859893870763,14.067594393304628
242,34.17538779707886,14.556735582858296
243,34.66342096444726,15.058585594128731
244,35.16283080284849,15.573364510585959
245,35.673749628134665,16.101295048393784
246,36.19630963892795,16.642602655372702
247,36.73064284191757,17.197515617544553
248,37.2768809730652,17.766265173845667
249,37.83515541407294,18.349085639675664
250,38.40559710352771,18.946214540007027
251,38.98833644217342,19.5578927528712
252,39.583503191386086,20.18436466412137
253,40.19122636416942,20.82587833447984
254,40.811634107594045,21.482685680003186
255,41.44485357567221,22.155042667215046
256,42.09101079149202,22.843209524330852
257,42.75023049715273,23.54745097016612
258,43.42263599000409,24.26803646252526
259,44.108348943407314,25.005240468099416
260,44.80748920998372,25.759342756185593
261,45.52017460502401,26.530628718833444
262,46.246520667399686,27.3193897204204
263,46.98664039492346,28.12592348005738
264,47.74064395059683,28.95053449075084
265,48.50863833563961,29.793534479821645
266,49.29072702452741,30.65524291579578
267,50.08700955652639,31.535987567791395
268,50.89758107709609,32.43610512443273
269,51.7225318216566,33.355941880478376
270,52.56194653252557,34.2958545007945
271,53.415903798527566,35.25621087298885
272,54.28447530435875,36.23739106212942
273,55.1677249746652,37.23978838348102
274,56.06570799448423,38.263810612339235
275,56.9784696840734,39.30988135386602
276,57.90604420128725,40.378441600645175
277,58.84845303891435,41.46995151165793
278,59.80570327673927,42.58489245395091
279,60.77778553875096,43.7237693578881
280,61.76467159341298,44.887113449208535
281,62.76631151944235,46.0754854370585
282,63.78263033851668,47.28947925799189
283,64.813523989112,48.529726503406465
284,65.85885447924898,49.79690169454286
285,66.91844400634184,51.091728618642136
286,67.99206776508935,52.414988007576426
287,69.07944507041842,53.76752693412388
288,70.18022829040483,55.15027043346081
289,71.29398889451504,56.56423604704796
290,72.42019964582227,58.01055226318891
291,73.55821155255593,59.490482241746264
292,74.70722356370621,61.005454841450785
293,75.8662420045019,62.55710595725923
294,77.03402515034043,64.14733477251625
295,78.20900566840008,65.77838219997342
296,79.3891790159192,67.45294342616498
297,80.57193743438013,69.17433492272392
301,85.23530826849743,85.23530826849132
302,86.3378732456749,86.33787324567325
