T,P,z_carbon dioxide,z_argon,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_argon,x_oxygen,y_carbon dioxide,y_argon,y_oxygen,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_oxygen,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.520548843,0.96,0.003218,0.036782,0.027775316541488737,0.00015772765048663548,0.9994730383198547,3.76502564169104e-05,0.0004893114237284204,0.9508250377588603,0.00395722834554937,0.04521773389559029,0.027760680014017467,1.045747789847904e-06,1.35907796814234e-05,0.0001499713992295715,6.241643293826178e-07,7.132086927681355e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.8808037693359,-0.009646612948756683,-0.020128558289211895
200.0,2.8442415904,0.96,0.003218,0.036782,0.02777548129281748,0.00017795418589195428,0.9981430575302725,0.00013317433131843857,0.0017237681384089831,0.8462479415031333,0.01241771529912099,0.14133434319774565,0.027723903821987726,3.6989811482187673e-06,4.787848968153353e-05,0.00015059336349293223,2.2097844166931413e-06,2.5151037982328895e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.800600524698364,-0.033760802602223805,-0.07059778279562323
200.0,3.1679343379,0.96,0.003218,0.036782,0.02777563313843689,0.00019823423112573903,0.9968124008644901,0.0002294711921635439,0.002958127943346326,0.76284449030966,0.019223609699355892,0.21793189999098406,0.02768709555425657,6.373707649374349e-06,8.216387653094638e-05,0.00015122189100504171,3.8107774882131144e-06,4.3201562632484177e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.720544551430716,-0.05754653535720422,-0.12060874316020431
200.0,3.4916270853,0.96,0.003218,0.036782,0.027775771918057933,0.00021856655540899352,0.9954809629529733,0.00032655900950208545,0.004192478037524665,0.6947881333220296,0.024830842455700344,0.28038102422227,0.027650252175750466,9.07042856571684e-06,0.00011644931374175223,0.00015185744903924056,5.4271917034458176e-06,6.128191466630713e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.64062903240099,-0.08101192372415156,-0.170171569691707
200.0,3.8153198327,0.96,0.003218,0.036782,0.027775897494308383,0.00023895040335673837,0.9941486722336398,0.00042445355772234583,0.005426874208637817,0.63820793599151,0.02954233464509797,0.33224972936339203,0.027613371614064363,1.1789578510390385e-05,0.00015073630173362995,0.0001525000437306428,7.059152779545907e-06,7.939120684654968e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.560849919756755,-0.10415894906833145,-0.21928956027954882
200.0,4.1390125802,0.96,0.003218,0.036782,0.027776009742982062,0.00025938531825217163,0.9928154771921084,0.0005231692497078194,0.006661353558183765,0.5904324469655186,0.03356715507695436,0.37600039795752715,0.027576452367471388,1.4531554177113006e-05,0.00018502582133356047,0.00015314950816255947,8.706827202455806e-06,9.752898288715637e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.481204662062144,-0.1269865530573533,-0.26796255759712295
200.0,4.4627053276,0.96,0.003218,0.036782,0.027776108548944096,0.00027987103952847674,0.9914813402974451,0.0006227195942754396,0.007895940108279457,0.5495589231497308,0.03705422407399345,0.41338685277627574,0.027539493332354413,1.7296727046149035e-05,0.0002193184895435316,0.00015380562710406542,1.0370404210509655e-05,0.00011569500821390167,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.401691644597303,-0.1494979264356786,-0.31619436544747614
200.0,4.786398075,0.96,0.003218,0.036782,0.027776193802475847,0.00030040743993013294,0.9901462328995323,0.0007231175845331319,0.009130649515934485,0.514195597395395,0.04011247927051586,0.445691923334089,0.027502493657808796,2.0085454169970483e-05,0.00025361469049707856,0.00015446818303689594,1.2050087206906196e-05,0.00013388916968633076,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.32230980689535,-0.17169506491800135,-0.36398740957771025
200.0,5.1100908225,0.96,0.003218,0.036782,0.027776265397455834,0.0003209944858753415,0.9888101326099044,0.0008243758996435282,0.010365491490452036,0.4833010649957271,0.04282344281036115,0.4738754921939118,0.0274654526710662,2.2898083775765056e-05,0.0002879146426138658,0.00015513697688130843,1.3746089008323966e-05,0.0001521114199857091,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.243058450149643,-0.19357999586895147,-0.4113440186431596
200.0,5.4337835699,0.96,0.003218,0.036782,0.027776323230095885,0.00034163221145949794,0.9874730215022662,0.0009265070452447243,0.01160047145248901,0.456080630952551,0.04524933185920955,0.49867003718823943,0.02742836982624637,2.5734959163678537e-05,0.00032221844468583463,0.00015581183455616317,1.5458629310126474e-05,0.00017036174759320832,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.163937116274926,-0.21515479627654344,-0.4582664792896942
200.0,5.7574763174,0.96,0.003218,0.036782,0.02777636719809112,0.0003623207009184402,0.9861348849051008,0.0010295234493383632,0.01283559164556083,0.4319173795981452,0.04743845230954316,0.5206441680923116,0.027391244669971403,2.8596421367867737e-05,0.00035652610675184827,0.00015649260771485597,1.7187933291279678e-05,0.00018864015991230455,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.084945512142863,-0.23642159919111094,-0.5047570674482813
200.0,6.0811690648,0.96,0.003218,0.036782,0.027776397200293648,0.00038306007650248713,0.9847957108579423,0.0011334375067356157,0.01407085163532217,0.4103251207472609,0.04942888071822196,0.5402459985345172,0.02735407682593574,3.148281038879897e-05,0.00039083756396911,0.00015717917214433803,1.8934230829354415e-05,0.0002069466735287947,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.00608347758891,-0.25738271021451453,-0.5508181765404174
200.0,6.4048618122,0.96,0.003218,0.036782,0.027776413135369927,0.0004038504898738562,0.9834554885013027,0.0012382617099110174,0.01530624978878639,0.39091552175017247,0.05125103635411074,0.5578334418957167,0.027316865948859233,3.4394468824198006e-05,0.00042515271768649946,0.00015787142495810123,2.0697756138150437e-05,0.00022528130877760448,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.927350892399318,-0.278040165525244,-0.5964519067179062
200.0,6.7285545597,0.96,0.003218,0.036782,0.02777641490274715,0.000424692115954269,0.9821142090395345,0.0013440085748854082,0.01654178238558013,0.3733746786785389,0.05292951443608913,0.5736958068853719,0.027279611752165457,3.733173980886701e-05,0.0004594714107728283,0.00015856928233173398,2.2478747482294716e-05,0.00024364408614024029,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.848747735918113,-0.2983963653103743,-0.6416606809757326
200.0,7.0522473071,0.96,0.003218,0.036782,0.027776402401634856,0.00044558514835505944,0.980771864592446,0.0014506907360468764,0.017777444671507044,0.35744610723452996,0.05448441722393543,0.5880694755415347,0.027242313975121512,4.0294969644761894e-05,0.0004937934568685791,0.0001592726767210365,2.4277447131766225e-05,0.0002620350245022567,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.770274022050685,-0.3184536689880133,-0.686446862474309
