temperature,pressure,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.341985452543082,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.027585223233722988,10.533113191226349,2.3187974777654277,1209.662664139301,6.342168324600298,0.9414649776833178,3.0824525417341466e-05,0.00032828677255155025,4.1470617909685815e-05,1.1537802239906542e-06,0.05813328662057957,0.9610522017636395,0.009334798101316997,0.011785465661917531,0.0043103172280824715,0.0002905457851893138,0.013226671459854372,20.511422969300558,0.6034656997596045,1.0000000001363338,6.230833485729212,4.057058651529049,4.216623095890872,6.8757308687745855,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.6208060251903578,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.030869328918614342,10.533113191226349,2.3187974777654277,1216.660974616994,6.8779641785942776,0.9790564291092174,0.00014420729658366356,0.0014137837470515789,0.00018728889579722343,5.378882881325305e-06,0.019192912068468664,0.8973732475601253,0.03739628606381246,0.04323267745764312,0.016877231654825037,0.0011610786487110674,0.003959478614883116,19.983467662583106,0.6079438325793326,1.0000000010214385,6.128848524843657,3.8079931095485366,4.037710395766667,6.759640755199761,1.000000000253058,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.899626597837634,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.0341534346035057,10.533113191226349,2.3187974777654277,1215.4874654488262,7.316623085436206,0.9792897170734046,0.00031189039873661924,0.0027063396820913143,0.0003909203249865518,1.15874631455987e-05,0.017289545057635306,0.8152043890357661,0.07281255121725276,0.07470130333958964,0.03178007609411967,0.002252270017197819,0.0032494102960739443,19.830519390855354,0.6120969513345393,1.0000000011118635,6.065110773364706,3.757956058818661,3.993899605470364,6.688007021967046,1.0000000003087284,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.17844717048491,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.037437540288397055,10.533113191226349,2.3187974777654277,1214.188726428521,7.762880187689441,0.9783094904415948,0.0004991990155694066,0.003838250483745087,0.0006025579953149778,1.846593454642479e-05,0.0167320361292294,0.746437937463558,0.1060638582692665,0.09668759283998864,0.04465357908425048,0.003267215665634463,0.0028898166773018963,19.699413072225312,0.6160217976393355,1.0000000012045198,6.007006421736896,3.7180904652942397,3.957786355736438,6.622519589672422,1.0000000003529408,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.457267743132186,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.04072164597328841,10.533113191226349,2.3187974777654277,1212.9848073900312,8.218666299030101,0.9771754091302459,0.0007043340719603687,0.004814953449874367,0.0008172845702725446,2.593149951099175e-05,0.016462087278135758,0.6885855109076129,0.13731988918692514,0.11159565504440964,0.055655879479434685,0.004210906230622817,0.0026321591509947603,19.57887599648219,0.6197408929900916,1.000000001239318,5.952838380600631,3.6826140662064915,3.9253490070153934,6.561505730050828,1.0000000004055594,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7360883157794618,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.044005751658179756,10.533113191226349,2.3187974777654277,1211.8972592952255,8.683205507643407,0.9760548132454804,0.0009260416261317899,0.005653205937146792,0.0010315978332132959,3.392218415950986e-05,0.016300419173868236,0.6393256631371186,0.16680631632971757,0.12136089731315025,0.06498890361188664,0.005090220678369709,0.002427998929757132,19.466215242137476,0.6232761495020384,1.0000000010947458,5.901964621085252,3.650241478628045,3.895628977329911,6.504229031521942,1.0000000003459082,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.014908888426738,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.04728985734307111,10.533113191226349,2.3187974777654277,1210.9197880644474,9.155379572049945,0.9749893316179836,0.0011630104807813294,0.006371279951998478,0.0012426436836600384,4.23748966135762e-05,0.016191359368962953,0.5969034809345963,0.19467868934718982,0.12741257770828526,0.07283638713773406,0.005910032130819082,0.0022588327413754113,19.359973643545587,0.6266540393884136,1.0000000010726082,5.853885739990085,3.620336566723863,3.8682481690226402,6.450391833694818,1.000000000343805,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.2937294610740135,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.050573963027962465,10.533113191226349,2.3187974777654277,1210.0398603314661,9.634078314354374,0.9739880508301714,0.001413898427293381,0.006986692814543714,0.0014481969422091854,5.1226782338790444e-05,0.016111934203443572,0.5599995342276691,0.22104784664076818,0.13079530326541244,0.07936829071613202,0.006673989564635465,0.0021150355853827543,19.25908880723403,0.6299336099861975,1.000000001033337,5.808178976389442,3.5924634334205403,3.842728000125664,6.399468040499222,1.0000000003234422,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.57255003372129,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.05385806871285383,10.533113191226349,2.3187974777654277,1209.244113286729,10.11830246381737,0.9730493964641198,0.0016773928672036708,0.007515257499979929,0.0016466347603996934,6.041767275893916e-05,0.01605090073553787,0.527609147972662,0.24600181879781385,0.13226964072815697,0.08474352435434014,0.007385170616770284,0.001990697530256782,19.162711072020258,0.6330886812623475,1.0000000010054522,5.764486142798549,3.566286562863145,3.8187308401099562,6.350790084293403,1.0000000003018392,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.851370606368565,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.057142174397745174,10.533113191226349,2.3187974777654277,1208.5201190200808,10.607194312902736,0.9721681597377864,0.0019522540884478609,0.00797073876612716,0.001836867824239419,6.989174248482032e-05,0.016002087840914322,0.498955779207378,0.26961808422029526,0.13238807524457039,0.08910981229577013,0.008046427956403635,0.0018818210755826427,19.070144236964808,0.6361381948793259,1.0000000010273018,5.722858327455282,3.541537597301277,3.7960184520059204,6.304023564411704,1.0000000003093792,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
