curve,T_K,P_bar
bubble,200.0,9.455421399523095
bubble,205.0,10.758610099551156
bubble,210.0,12.208754714031667
bubble,215.0,13.820292210965007
bubble,220.0,15.608344718586057
bubble,225.0,17.588627861359566
bubble,230.0,19.777360038611516
bubble,235.0,22.19117118426308
bubble,240.0,24.847006902586966
bubble,245.0,27.762020005967916
bubble,250.0,30.953435226015227
bubble,255.0,34.43836192068435
bubble,260.0,38.23350913684122
bubble,265.0,42.35471669529997
bubble,270.0,46.81612936592594
bubble,275.0,51.62864119447798
bubble,280.0,56.79672373806775
bubble,285.0,62.31122935940914
bubble,290.0,68.1301504828959
bubble,300.4677979350798,77.95284803196392
dew,200.0,2.708248428855141
dew,205.0,3.4633463032713725
dew,210.0,4.371733988550494
dew,215.0,5.452947367426283
dew,220.0,6.727493680206459
dew,225.0,8.216838373088674
dew,230.0,9.943417259271168
dew,235.0,11.930680217392707
dew,240.0,14.203174694797367
dew,245.0,16.786680857916362
dew,250.0,19.708416363432306
dew,255.0,22.99733939796085
dew,260.0,26.684597918145748
dew,265.0,30.804209814650893
dew,270.0,35.39413413023852
dew,275.0,40.49806291082581
dew,280.0,46.16869260004919
dew,285.0,52.474514442874884
dew,290.0,59.51701362971379
dew,300.4677979350798,77.95284803196392
