feature,importance_mean,importance_std
z_hydrogen,16.01298349794233,0.42784622685018575
pressure,9.836169570898473,0.2623709364118225
temperature,5.563688851722931,0.1555231552360445
z_carbon dioxide,0.26159972776003937,0.04121473844675418
z_hydrogen sulfide,-3.039106659769822,0.033420089763021424
z_nitrogen,-3.172041451661905,0.04581215687472722
z_methane,-4.093182414083034,0.020460996743453554
z_argon,-4.589865629813989,0.028946131394658632
z_carbon monoxide,-4.723104444170095,0.010809592996951443
z_oxygen,-4.950359049235308,0.01444586726931918
