temperature,pressure,z_carbon dioxide,z_methane,z_oxygen,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_methane,y_oxygen,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_methane,E_oxygen,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.493687238897784,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.029182998699798526,13.905297907101959,2.46899726623543,1222.11890005514,6.7722889197114755,0.9996105734641687,0.0001330670342025965,0.00017021900633503687,8.614049529377519e-05,0.9607365047725428,0.004173913378682105,0.015896491776876517,0.019193090071898528,19.87598269559307,0.6055591145193645,1.0000000014726604,3.736520024331318,3.994671757145361,6.7812161515147045,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.882396124729962,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.03373196167033308,13.905297907101959,2.46899726623543,1221.1959805237914,7.478079345593573,0.9981753037480866,0.0005791614395002225,0.0008180506379887871,0.0004274841744243906,0.8356474903569564,0.015760788947794157,0.06618005844166219,0.0824116622535873,19.73881481431431,0.6099935069613146,1.0000000014791226,3.6989262227039594,3.96035350278312,6.708882863456416,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.27110501056214,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.03828092464086764,13.905297907101959,2.46899726623543,1220.3546525043494,8.190280084809515,0.996816772049782,0.0009425906251292005,0.001455110330566979,0.0007855269945216881,0.7401043968640012,0.02265768584373909,0.10382588828693697,0.13341202900532265,19.606047390280647,0.614320239861086,1.000000001479103,3.6629922417084853,3.9275083360763405,6.639567364794634,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.6598138963943176,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.0428298876114022,13.905297907101959,2.46899726623543,1219.5761069310995,8.907542358624411,0.9955205948171535,0.0012425406110408985,0.002077798591351012,0.0011590659804545226,0.6647672414260335,0.02675427137504492,0.1326031120667662,0.17587537513215543,19.476838098803267,0.6185609263359894,1.000000001470428,3.628420265669286,3.896073720970895,6.572561791099374,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.048522782226495,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.04737885058193675,13.905297907101959,2.46899726623543,1218.8465605452561,9.628885098998001,0.9942761334294727,0.00149307624125019,0.0026836530144200166,0.001547137314857077,0.6038536830320645,0.029121693682969154,0.15491069422376322,0.212113929061203,19.350575801891186,0.6227309268907271,1.0000000014605734,3.594994225798686,3.8656749172071176,6.507917803762559,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.437231668058673,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.0519278135524713,13.905297907101959,2.46899726623543,1218.1558021659807,10.353591732312207,0.9930754018907589,0.0017046187831660248,0.0032710371476749895,0.0019489421784001345,0.5535937145793274,0.03039434484048634,0.1723559403142172,0.24365600026596912,19.226806714026065,0.6268412834995921,1.0000000014471995,3.5627221939058407,3.836117297084942,6.444962691411544,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.825940553890851,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.05647677652300586,13.905297907101959,2.46899726623543,1217.4961685447613,11.081135985050349,0.9919122983485879,0.0018849881373909107,0.0038389190774651707,0.002363794436556017,0.5114249168567068,0.030961443630854558,0.18606028896455917,0.27155335054787944,19.105190598186365,0.6309000377485638,1.0000000014299308,3.5313306488765206,3.8072949606129187,6.383300051108182,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.214649439723029,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.06102573949354042,13.905297907101959,2.46899726623543,1216.861830169837,11.811129614823237,0.9907820707879232,0.0020401305115218785,0.00438671406056334,0.002791084639991412,0.47554508654694444,0.03106877112869335,0.1968322522874658,0.29655389003689653,18.985467777341057,0.6349200130274142,1.0000000014121835,3.5007031696574056,3.77912790209793,6.322780275756872,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.603358325555206,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.06557470246407497,13.905297907101959,2.46899726623543,1216.2482923444345,12.543285595804543,0.989680945260338,0.002174627144404369,0.004914171730463169,0.0032302558647944566,0.4446499273075385,0.030875248226983173,0.2052706975120723,0.319204126953406,18.867436796727407,0.6389182822186158,1.0000000013975514,3.470770615080386,3.7515546716714985,6.263294193208058,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.9920672113873845,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.07012366543460953,13.905297907101959,2.46899726623543,1215.652044201792,13.27739200726823,0.9886058658422024,0.0022920524511046455,0.005421293910323163,0.003680787796369761,0.41777229046403874,0.030485640396423336,0.21182934574915518,0.3399127233903827,18.750938844807518,0.6428798528402567,1.0000000013772565,3.441478502368289,3.7245272711238324,6.20476049029011,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.380776097219561,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.07467262840514408,13.905297907101959,2.46899726623543,1215.070309459218,14.013293306397498,0.9875543115050803,0.002395228679753301,0.005908273456596706,0.004142186358569656,0.3941798978652623,0.02997009703477114,0.2168585834306837,0.3589914216692829,18.635846604551446,0.646807139265551,1.0000000013469001,3.4127831305903165,3.698007570759906,6.147252463966852,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.76948498305174,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.07922159137567863,13.905297907101959,2.46899726623543,1214.5008666338867,14.750876712493094,0.9865241647416595,0.002486409178178181,0.006375448337034835,0.0046139777431275205,0.37330815236214265,0.02937616132668829,0.22063343858236042,0.3766822477288086,18.522057034164206,0.6507019909083696,1.0000000012970136,3.3846488222372613,3.67196475492384,6.090980448516924,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.158193868883918,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.08377055434621321,13.905297907101959,2.46899726623543,1213.9419193984756,15.490062188546515,0.9855136188884759,0.0025674116562713627,0.006823265420803409,0.005095704034449426,0.354714759740086,0.028736340769697125,0.2233728223510629,0.393176077139154,18.409484807701514,0.6545668334546747,1.0000000012145793,3.3570459614899923,3.6463735050420807,6.035486827723524,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.546902754716095,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.08831951731674775,13.905297907101959,2.46899726623543,1213.3920001733397,16.230794949047123,0.9845211092797596,0.0026397165221873757,0.007252252734527641,0.005586921463525508,0.3380483242381476,0.028072981559629645,0.22525308045140632,0.40862561375081646,18.29805874230033,0.658423345625146,1.000000001105251,3.329949551089787,3.62122831208847,5.980742915112472,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.935611640548274,0.9700000000000001,0.0032110000000000003,0.012149000000000002,0.014640000000000002,306.8,85.45,0.651890482398957,0.09286848028728231,13.905297907101959,2.46899726623543,1212.8498987570892,16.973039798121796,0.9835452633993123,0.0027045401388707028,0.007662997115698002,0.006087199346118982,0.32302614634882587,0.02740147001264631,0.226417743839599,0.42315463979892876,18.187718607737267,0.6622613267553256,1.0000000009960537,3.303338148911397,3.5966335847210313,5.926725351739314,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
