index,split
32,train
64,train
42,train
16,train
60,train
39,train
18,train
24,train
36,train
29,train
23,train
30,train
19,train
41,train
34,train
20,train
35,train
40,train
54,train
52,train
37,train
4,train
38,train
9,train
10,train
7,train
47,train
45,train
17,train
1,train
49,train
14,train
3,train
48,train
44,train
50,train
55,train
51,train
13,train
11,train
22,train
25,train
61,train
6,train
46,train
53,val
43,val
58,val
62,val
2,val
57,val
5,val
8,val
59,val
12,val
33,test
26,test
28,test
56,test
31,test
15,test
63,test
27,test
21,test
