temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4728672456054968,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.028710870145193277,22.163217810325623,2.4483834114905907,1221.1908906577742,6.707468527485088,0.9949662655218909,2.5337376358705235e-06,7.487433552273914e-05,9.544274665035614e-05,3.4989276338314387e-05,2.6163888031056415e-05,0.004799730493930955,0.9639550033386105,0.0024277439923731537,0.020314241035575067,0.0030374906839092295,0.0033080061532748685,0.005909913961052556,0.0010476008352046384,19.936712888068946,0.6051768730642586,1.0000000008690013,2.033517962298429,6.1589075968360145,3.7647687991725074,4.015082428978998,6.7928246484476595,1.0000000000966138,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.1442023623853887,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.036505310140315675,22.163217810325623,2.4483834114905907,1220.5913487107102,7.814412811879561,0.9962042258770395,2.2444181577336213e-05,0.0006461007443938661,0.0006547167589853191,0.00028321320972612626,0.00022415576895229848,0.001965143459325463,0.767785862906755,0.016868247544140697,0.13770028910181753,0.01642597128874644,0.021088480800979626,0.039788589913959865,0.00034255844360083615,19.709711439068197,0.6119849282003159,1.0000000009930607,2.012489042779409,6.059149415907239,3.6979006433640826,3.95697998556395,6.680188328996884,1.0000000001325713,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.8155374791652807,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.04429975013543807,22.163217810325623,2.4483834114905907,1219.5933656436532,8.921103184336262,0.9948478464377641,4.438942700937395e-05,0.0012412807302873913,0.0010357940702365605,0.0005115096986362454,0.0004274846387036218,0.001891694997362601,0.6384872966511013,0.027445807731992046,0.21819860817818484,0.021518706004429393,0.03146794660473858,0.06260617853999766,0.0002754562895562386,19.52201427369765,0.6185087543629373,1.0000000011229753,1.9938514099674536,5.969074987566125,3.6492401078968806,3.9124997324778383,6.578529885442553,1.0000000001587666,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.486872595945173,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.05209419013056047,22.163217810325623,2.4483834114905907,1218.700857480718,10.030627672477937,0.9935594223437876,6.818313264287075e-05,0.0018494924483540252,0.0013072777911757453,0.0007182188875648536,0.0006322095444153039,0.0018651958520594677,0.547707608194526,0.035775371152913904,0.27662485357524697,0.023197742155936566,0.03765482697171571,0.07880562108302742,0.00023397686663350958,19.34252480282281,0.6248082441716115,1.000000001171721,1.9760723686138308,5.883353418950634,3.6036881179023412,3.870832601197626,6.482575613017034,1.000000000142658,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.158207712725066,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.05988863012568287,22.163217810325623,2.4483834114905907,1217.8810391372028,11.140561826294611,0.9923379794963395,9.385708058241683e-05,0.0024665120788924817,0.0015090429080035276,0.0009049405506546142,0.0008368177728380617,0.0018508501126893063,0.4804993579125035,0.042738932773364345,0.32101950633209425,0.02339033802331499,0.041348419143447966,0.09079892466647274,0.00020452114880230066,19.169030817782385,0.6309563741590524,1.0000000011415138,1.9590570067450541,5.801094514204354,3.5605170857671324,3.8310173479179683,6.390525580182111,1.0000000000795481,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.829542829504957,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.06768307012080527,22.163217810325623,2.4483834114905907,1217.112296201267,12.249268367557375,0.9911695479419851,0.00012148879649607637,0.003089449658109622,0.001664099725856168,0.001073646390390682,0.001040315921527101,0.0018414515656353231,0.4287540445529706,0.04883273805481936,0.3558898500625842,0.022915206106422083,0.04348428366029117,0.09994158890526582,0.00018228865764699154,19.000390739756817,0.6369901542678406,1.0000000010776335,1.9424754097914751,5.722089117101592,3.5190873895171704,3.79270450154779,6.3014271513540265,1.000000000060344,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.50087794628485,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.07547751011592767,22.163217810325623,2.4483834114905907,1216.3810610840258,13.355518723157033,0.990043319946642,0.0001511864541656685,0.003716138697556357,0.0017864990189998297,0.0012262957224088858,0.0012419998415472986,0.001834560318679958,0.387697075781972,0.05435978649643051,0.3839626998337663,0.02214690699580819,0.04461281310608053,0.10705586834203566,0.0001648494439068475,18.83593144409324,0.6428964840509551,1.0000000009787144,1.9263681689405023,5.645319071975654,3.4791679299385034,3.7556925854091494,6.214928025442427,1.0000000000148226,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.172213063064741,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.08327195011105006,22.163217810325623,2.4483834114905907,1215.6785943184425,14.458282784112873,0.9889516809571574,0.00018308209619016295,0.0043448349935210065,0.0018852460491665113,0.001364695116528659,0.0014413402920404677,0.0018291204953958184,0.3543349763590437,0.05951759197297855,0.4069864787192614,0.021265422714306922,0.04507418376384372,0.11267056277773783,0.00015078369282809054,18.67523206227114,0.648688926563797,1.000000000832143,1.910651827016566,5.5706074118838735,3.440613592804931,3.71985730564935,6.131092943712508,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.843548179844634,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.09106639010617246,22.163217810325623,2.4483834114905907,1214.9991022337872,15.556615105254375,0.9878892904240326,0.00021732844434322877,0.0049740518682921476,0.0019663526517895826,0.001490456053677875,0.0016379200243432414,0.0018246005335211908,0.3266960081108688,0.06444216532906527,0.4261345886143741,0.020359540743568178,0.04508673712548663,0.11714176828317417,0.00013919179346279348,18.51802382552911,0.6543850981136814,1.0000000007026977,1.8952581625158904,5.497848011627261,3.4033280466954086,3.6851181464164493,6.049999195431818,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.514883296624525,0.9700000000000001,0.0019550000000000006,0.016369000000000005,0.0024640000000000005,0.0026700000000000005,0.004763000000000001,0.0017790000000000002,307.05,86.13,0.651359713401726,0.09886083010129486,22.163217810325623,2.4483834114905907,1214.338655677501,16.649590670239984,0.9868523746668066,0.0002540973839366195,0.005602462047964997,0.002033972900099017,0.0016049931157966868,0.0018313962182945527,0.001820703667101636,0.3034286381264022,0.06923174856629459,0.44222387251760226,0.01947310140504673,0.04479481049370626,0.12071835726452573,0.00012947162642223663,18.364130608911985,0.6599969080283679,1.0000000006116205,1.8803157820851613,5.427679217610054,3.367244498465668,3.6515134305954597,5.97102801105946,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
