Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_Ar_[-]
220.0,6.569517954562679,15.195168449169689,7.161788929213657,0.9988367972397769,0.9229124547190993,1157.4788159251827,17.005267074292753,3.9215375570008075
220.0,7.116995080683828,15.098653549816342,7.203179660221167,0.9976735944795537,0.8573966060414409,1157.2536319925139,18.299246363970994,3.9023614780542966
220.0,7.664215430752933,15.002580623463121,7.243514593473336,0.9965103917193306,0.8010525857186216,1157.0279709265487,19.597318304126006,3.883183846788913
220.0,8.211130823990478,14.90694996594412,7.2828597306803005,0.9953471889591075,0.7520970861730598,1156.8018209218196,20.899294285300012,3.864017304679193
220.0,8.757704943062663,14.811761965937785,7.32127644906391,0.9941839861988844,0.7091784370178885,1156.5751727395177,22.205032783602725,3.844873295595521
220.0,9.303909926852509,14.717016987360145,7.358821989852551,0.9930207834386613,0.6712541250374502,1156.3480189693996,23.514426840635032,3.8257621962134873
220.0,9.849724070703834,14.622715299839193,7.395549846979584,0.9918575806784381,0.6375075862751096,1156.1203535315594,24.827395306939888,3.806693433045246
220.0,10.39513023754649,14.52885704291736,7.431510091791018,0.990694377918215,0.6072903874310671,1155.8921713321974,26.14387660959681,3.7876755555819264
220.0,10.940114737126157,14.435442100221929,7.466749660320858,0.9895311751579919,0.58008123057047,1155.663468020815,27.463824243577463,3.7687163219299653
220.0,11.48466652040854,14.342470509146835,7.501312562456526,0.9883679723977687,0.5554563543361728,1155.434239815679,28.78720346055247,3.7498227237388173
220.0,12.028776590800137,14.249941877427844,7.535240142985849,0.9872047696375457,0.5330678108554877,1155.2044833762793,30.113988803002158,3.731001174053857
220.0,12.572437567154319,14.157855758380142,7.568571252147457,0.9860415668773225,0.5126272843957353,1154.9741957086683,31.444162244036054,3.7122574727474342
220.0,13.11564335483104,14.066211568417284,7.601342430239754,0.9848783641170994,0.49389387403865154,1154.7433740942217,32.777711767325364,3.6935968827141434
220.0,13.658388895023839,13.975008578113085,7.633587748550148,0.9837151613568763,0.47666475464636726,1154.5120160353565,34.114630271020346,3.6750161369279293
220.0,14.20066997137338,13.884245978152972,7.665336947160412,0.9825519585966531,0.46076795667106935,1154.2801192136717,35.454914713059594,3.6565347945969573
220.0,14.742483059289157,13.79392281566403,7.696623513613979,0.98138875583643,0.4460567255640949,1154.0476814573344,36.798565438369415,3.6381495374730033
220.0,15.283825207208245,13.704037939742722,7.727476235610851,0.980225553076207,0.43240507257166844,1153.814700715398,38.145585644579654,3.619863919443894
220.0,15.824693942370489,13.614590414699753,7.75792224680206,0.9790623503159838,0.4197042338457291,1153.5811750374257,39.495980954255806,3.5992725730679864
220.0,16.365087195172904,13.525578927323687,7.787987199825892,0.9778991475557607,0.40785982900971846,1153.3471025571514,40.84975906980562,3.5773016420456334
220.0,16.905003238193988,13.437002175012836,7.8176953248536245,0.9767359447955375,0.3967895633723979,1153.1124814793077,42.20692949311259,3.5554862766562914
