T,P,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5489655592,0.95,0.027854,0.007245,0.014901,0.027775221426064905,0.00015936229107391684,0.9998019111006711,3.546088693974022e-05,8.208320381142132e-05,8.054480857777389e-05,0.9409795746249812,0.0328926631871246,0.008542391104065836,0.01758537108382842,0.027769719463024,9.849339867159378e-07,2.279879161223042e-06,2.2371498929676816e-06,0.0001499566608659967,5.24185016502286e-06,1.3613350175933776e-06,2.802445025303905e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,19.89198952225799,-0.0059497219333088935
200.0,5.3371225838,0.95,0.027854,0.007245,0.014901,0.02777548273027063,0.00033146723908622516,0.9964801772790339,0.0006978356332909502,0.0013571491884497911,0.0014648378992251861,0.465226014273338,0.31108446097838555,0.0686534771696136,0.1550360475786629,0.027677717955070822,1.9382721581040255e-05,3.769547384618797e-05,4.0686579772575065e-05,0.00015420718250227212,0.000103114307403132,2.2756378531081012e-05,5.138937064974004e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,19.535140353932277,-0.09736317079958212
200.0,8.1252796084,0.95,0.027854,0.007245,0.014901,0.027777090676670856,0.0005043578083120254,0.9934892982420002,0.0014161574699149107,0.002347603802071568,0.002746940486013332,0.31456245579693803,0.41414668372788255,0.078802590920049,0.19248826955513046,0.027596242323570132,3.9336734454271256e-05,6.52096036830392e-05,7.630201496341063e-05,0.00015865203078299203,0.00020887811372468837,3.974470204574502e-05,9.708296175859996e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,19.19692437303295,-0.1654540552159105
200.0,10.913436633,0.95,0.027854,0.007245,0.014901,0.027779969445528588,0.0006777547180626181,0.9907688666543253,0.0021835740739466233,0.003127770754812656,0.003919788516915453,0.24075432327955631,0.47443591658840645,0.07887139734323582,0.20593836278880145,0.027523528843238144,6.065962105628558e-05,8.688937600131347e-05,0.0001088916052328451,0.0001631723784966921,0.0003215511808861552,5.345546166956952e-05,0.00013957569701020128,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,18.875342881663467,-0.21432690299083745
200.0,13.7015936576,0.95,0.027854,0.007245,0.014901,0.02778401613051523,0.0008515018419027304,0.9882716581569958,0.0029933366316922993,0.003750878217350321,0.004984126993961647,0.19698499403164407,0.5170006290242659,0.07599368405813149,0.21002069288595862,0.027458155691565005,8.316691325900097e-05,0.00010421446089445952,0.00013847906479676677,0.0001677330852451433,0.00044022698787903264,6.470876194847312e-05,0.00017883300683008144,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,18.568441611350792,-0.2472354459687267
200.0,16.4897506822,0.95,0.027854,0.007245,0.014901,0.02778911557249932,0.001025485207093628,0.9859599243163132,0.003839279690200806,0.0042552922564190665,0.0059455037370670025,0.16804205181709864,0.5500603665778631,0.07225697589496956,0.2096406057100686,0.027398954286678708,0.00010669018702613958,0.00011825080830839084,0.00016522029048608153,0.00017232463830809557,0.0005640787689340969,7.409845988961214e-05,0.0002149833399618233,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,18.274463453820726,-0.2668856002486173
200.0,19.2779077068,0.95,0.027854,0.007245,0.014901,0.02779515134770803,0.0011996172842624582,0.9838032427421309,0.004715914949876573,0.0046688691627160385,0.00681197314527645,0.14750224649763388,0.5771581426445173,0.0684030144963993,0.20693659636144965,0.02734496002838347,0.00013107956977473828,0.00012977192500033917,0.00018933982454948163,0.00017694624436610324,0.0006923688836691803,8.205743848553608e-05,0.00024824471774163875,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,17.991868653281333,-0.27552420702096114
200.0,22.0660647315,0.95,0.027854,0.007245,0.014901,0.027802012529210454,0.001373829706250012,0.981776947254304,0.005618437658221093,0.005012035856238181,0.007592579231236806,0.1321856370200958,0.6001104255941521,0.06471276536377964,0.2029911720219726,0.02729537498845415,0.00015620387416845067,0.00013934468367198595,0.00021108898291586877,0.00018160055487778895,0.0008244495297115836,8.890431943034733e-05,0.00027887530223029227,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,17.719326094028336,-0.2750171070398473
200.0,24.8542217561,0.95,0.027854,0.007245,0.014901,0.027809597293691514,0.0015480684229415291,0.9798609362625383,0.006542691619027385,0.005299942051070881,0.008296430067363383,0.12033808433328405,0.6199714333339164,0.061286858895623526,0.198403623437176,0.02724953804128072,0.0001819496191419621,0.00014738925412018263,0.00023072037914864964,0.00018629158843363179,0.0009597581990700352,9.487625099758794e-05,0.00030714238444027404,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,17.455695131728053,-0.26687956730177476
200.0,27.6423787807,0.95,0.027854,0.007245,0.014901,0.027817814428913037,0.001722290132156392,0.9780387558403338,0.00748511088320828,0.005543957189060372,0.008932176087397471,0.1109127013942001,0.6374130061818636,0.058150376300289984,0.1935239161236463,0.027206900614251392,0.0002082194255289253,0.00015422077228711978,0.00024847361684559736,0.00019102385114203933,0.001097810130655165,0.00010015181928317036,0.00033330433107601733,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,17.200003982278364,-0.25237558503857827
200.0,30.4305358053,0.95,0.027854,0.007245,0.014901,0.027826583525341134,0.0018964595672665994,0.9762968791418197,0.008442652961720986,0.005752715674903747,0.00950775222155548,0.10324600438372299,0.6528953053318501,0.055296242432844346,0.1885624478515825,0.027167006652969724,0.0002349301878147977,0.0001600784232252483,0.0002645682613313613,0.00019580187279556074,0.001238189548220035,0.00010486708799566097,0.00035760105825534286,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,16.951427610217856,-0.23254146902027628
200.0,33.2186928299,0.95,0.027854,0.007245,0.014901,0.027835834432732152,0.0020705474515253985,0.974624138340483,0.00941273030525042,0.005932851218185434,0.010030280136081175,0.09689707725302263,0.6667515264117834,0.05270437589233569,0.18364702044285824,0.02712947614898992,0.00026201120233691104,0.000165145864223443,0.0002792012171818777,0.00020062999636650568,0.0013805406738125875,0.0001091269111881123,0.0003802498701581929,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,16.70926669900796,-0.2082327798590775
200.0,36.0068498545,0.95,0.027854,0.007245,0.014901,0.02784550634812273,0.0022445289595336908,0.9730112730257439,0.010393145509736228,0.006089517620385309,0.010506063844134609,0.0915614290417915,0.6792334764662621,0.050350422355995905,0.1788546721359505,0.027093991579833332,0.0002894023992683234,0.00016956570155544435,0.000292546667465633,0.00020551227906059013,0.0015245592082132708,0.00011301298110278537,0.00040144449115704433,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,16.472928564295444,-0.18015802509603773
200.0,38.7950068791,0.95,0.027854,0.007245,0.014901,0.027855546765938276,0.0024183825670530943,0.971450570057402,0.011382032710875643,0.006226761811481686,0.01094063542024062,0.08702198669171042,0.6905378153209103,0.04820974670140263,0.17423045128597664,0.02706028678503136,0.0003170527444692357,0.00017344985484008663,0.0003047573815975934,0.00021045245556555885,0.0016699846144630187,0.00011658961098471754,0.0004213558860397993,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,16.241910360204198,-0.14890699821328468
200.0,41.5831639037,0.95,0.027854,0.007245,0.014901,0.027865910423352853,0.0025920891943746155,0.9699355756295781,0.012377806142878504,0.006347793862355069,0.011338824365188228,0.0831197996709265,0.7008220787991835,0.04625918503231689,0.16979893649757336,0.02702813786691701,0.0003449188372150791,0.00017688705515429539,0.0003159666640664659,0.0002154539345655913,0.0018165933376345187,0.00011990793366284455,0.0004401339885116614,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,16.015784616885032,-0.11497250803392234
200.0,44.3713209283,0.95,0.027854,0.007245,0.014901,0.027876558311652578,0.002765631569556814,0.9684608645639992,0.01337911588525533,0.006455184492976712,0.011704835057768733,0.07973578797158802,0.710214979067382,0.04447771829900369,0.16557151466202638,0.026997355763571793,0.0003729637041336775,0.0001799483269309408,0.00032629051701616547,0.00022051981243771231,0.0019641929672808834,0.0001230089818695794,0.0004579098079686391,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,15.79418696861918,-0.07876883105073418
200.0,47.1594779529,0.95,0.027854,0.007245,0.014901,0.027887456786031294,0.0029389937553653193,0.9670218550410419,0.01438481030452399,0.00655101105302542,0.012042323601408906,0.07677896375757305,0.7188233305970962,0.04284662778714677,0.16155107785818396,0.026967780193604872,0.00040115577574267045,0.00018269103764605976,0.0003358297790376956,0.00022565289502692737,0.0021126172798357663,0.00012592597150488653,0.0004747976089977392,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,15.576805844342594,-0.04064599530818924
200.0,49.9476349776,0.95,0.027854,0.007245,0.014901,0.027898576783847894,0.0031121607976246036,0.9656146594444533,0.015393904460499392,0.006636966515496207,0.012354469579550973,0.07417859724106432,0.7267368922421478,0.04134940946322901,0.15773510105355898,0.026939274720120216,0.00042946802559446087,0.00018516191994439834,0.00034467211818881585,0.00023085572235642495,0.002261722066223548,0.00012868601113638913,0.0004908969979082416,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,15.363373862950903,
200.0,52.7357920022,0.95,0.027854,0.007245,0.014901,0.027909893149073065,0.0032851184635502885,0.964235963937176,0.01640555367881355,0.006714441655435763,0.012644040728574614,0.07187886709576902,0.7340318674010688,0.03997158575538357,0.1541176797477786,0.026911722723980052,0.0004578772502270687,0.0001873993491588974,0.00035289382570704545,0.0002361305934353881,0.0024113816404335484,0.00013131139438239429,0.0005062948352989578,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,15.153660679444908,
200.0,55.5239490268,0.95,0.027854,0.007245,0.014901,0.02792138405451494,0.003457853046806599,0.9628829309247027,0.017419031515994516,0.0067845875974711116,0.012913449961831684,0.06983512208405926,0.7407735068623977,0.0387004838826147,0.15069088717092824,0.026885024113885606,0.0004863634688157825,0.00018943507596048972,0.0003605613958530638,0.0002414795896724751,0.002561485927697751,0.00013382058610638892,0.0005210669433299836,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,14.947467048975382,0.08245032721312917
200.0,58.3121060514,0.95,0.027854,0.007245,0.014901,0.027933030510886806,0.003630351222162513,0.9615531197828131,0.018433711413864063,0.006848363853750404,0.013164804949572345,0.06801121464218061,0.747018091085276,0.03752501435422705,0.14744567991831636,0.026859092632731715,0.0005149094233523472,0.0001912955564764644,0.00036773289832627796,0.0002469045961969974,0.0027119380399489392,0.00013622898172253403,0.0005352796042940426,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,63.65845399182276,3.87,14.744619903975826,
