feature,importance_mean,importance_std
temperature,0.7306039651777242,0.012607191499936433
pressure,0.4126239311215431,0.06123336614903548
z_hydrogen,0.08825262645243251,0.0030332387619492634
z_carbon dioxide,0.032553727136069514,0.0025133095142635606
z_hydrogen sulfide,0.02481290537891151,0.0015629215786014303
z_methane,0.017864175704513794,0.0022505415211362427
z_nitrogen,0.00602500838881387,0.0009538835626954274
z_argon,0.00584367120046115,0.0006300091611504484
z_carbon monoxide,0.0021192505184194376,0.0006464399361918112
z_oxygen,0.001900080363326053,0.00028208271879771646
