trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,model_path,model_type,n_estimators,softmax_temperature
55,0.004042504318576862,1,0,0,0,98,2,0,5,0,0,1
52,0.004290991277379295,1,0,0,0,92,2,0,5,0,0,1
50,0.004309030470784796,1,0,0,0,169,2,0,5,0,0,1
34,0.004325966143777322,1,0,0,0,93,0,0,1,0,0,3
69,0.004347651119476141,1,0,0,0,104,2,0,5,0,0,1
81,0.004407385689557337,0,0,1,0,139,2,0,5,0,0,0
54,0.004408284004502524,1,0,0,0,92,2,0,5,0,0,1
67,0.004520970730812196,1,0,0,0,148,2,0,5,0,0,1
56,0.004584171084882305,1,1,0,0,101,2,0,5,0,0,1
59,0.0046196604039229336,1,0,0,0,48,2,0,5,0,0,1
98,0.004657754203768437,1,0,0,0,172,2,0,5,0,0,0
62,0.004721949484822493,1,0,0,0,170,2,1,5,0,0,1
38,0.004829624177503127,1,0,2,0,169,1,0,1,0,0,3
90,0.004871203889629244,1,2,0,0,163,2,0,3,0,0,0
65,0.004934538859472738,1,0,0,0,40,2,0,5,0,0,1
70,0.004950908222293239,1,0,0,0,162,2,0,5,0,0,2
2,0.00502609103823454,1,2,1,0,130,1,0,4,0,0,3
60,0.005043661136219821,1,0,0,0,98,2,0,3,0,0,5
39,0.005082429978690065,1,0,2,0,169,1,0,1,0,0,3
9,0.005115500125523833,0,0,0,0,147,0,0,1,0,0,4
23,0.005142149711618502,1,3,0,0,51,1,0,4,0,0,3
22,0.005166484544451939,0,2,0,0,50,1,0,1,0,0,4
79,0.005170882227098019,1,3,0,0,178,2,1,3,0,0,1
17,0.0051797774542067234,0,0,1,0,128,2,1,4,0,0,5
66,0.005186758656586363,1,0,0,0,30,2,0,5,0,0,1
80,0.005192689755805676,1,0,0,0,165,2,0,5,0,0,1
78,0.005196040901225629,1,2,0,0,126,2,0,4,0,0,5
46,0.0052045132696318976,1,0,0,0,166,2,1,3,0,0,5
19,0.005211678967128132,0,2,1,0,143,1,0,5,0,0,0
21,0.005240625065787228,0,2,0,0,130,1,0,1,0,0,4
94,0.005263131205643006,1,0,0,0,179,2,0,4,0,0,5
58,0.005279999347901153,0,3,0,0,10,2,0,5,0,0,1
73,0.005284888376414082,1,2,1,0,39,2,0,5,0,0,1
26,0.005293015016517827,1,0,0,0,168,2,0,4,0,0,3
40,0.005382512646226624,1,0,2,0,114,2,0,1,0,0,1
85,0.005383480854566417,1,0,1,0,133,2,0,4,0,0,1
10,0.00545438022998787,0,1,1,0,151,1,1,4,0,0,1
87,0.005542095845677366,1,0,0,0,18,2,0,5,0,0,1
96,0.0055455223484011,1,0,0,0,69,2,0,5,0,0,4
86,0.005585147271608278,0,3,0,0,13,2,0,5,0,0,5
25,0.005595983876895494,1,0,2,0,77,1,0,1,0,0,3
57,0.00568243590289177,1,0,0,0,54,2,1,5,0,0,1
83,0.005711291235254108,1,0,0,0,72,2,0,0,0,0,1
77,0.005732092035986534,1,0,1,0,35,2,0,5,0,0,2
88,0.005742154774914036,1,0,0,0,31,1,1,5,0,0,1
49,0.005766699138090668,1,3,2,0,129,0,1,1,0,0,3
53,0.005814738573315252,1,3,0,0,22,2,1,5,0,0,1
64,0.005832892083444773,0,0,0,0,84,2,0,2,0,0,0
89,0.005922688052139536,1,1,1,0,49,2,0,6,0,0,4
74,0.0059918903344144386,1,0,0,0,92,2,0,6,0,0,0
51,0.006021716913058861,1,1,0,0,62,2,0,5,0,0,1
13,0.0060662207403654874,1,0,2,0,15,2,0,6,0,0,0
48,0.006067891056613036,1,0,0,0,82,1,0,1,0,0,0
41,0.006075693802925769,1,0,2,0,25,0,1,1,0,0,3
97,0.006098351101637017,1,2,2,0,43,1,1,3,0,0,1
91,0.006127489883306827,0,0,0,0,127,0,0,5,0,0,2
72,0.006146472553354089,1,0,0,0,28,2,0,5,0,0,1
29,0.006146707130410595,0,3,1,0,95,0,0,4,0,0,3
95,0.006159672915289784,0,1,1,0,60,0,0,5,0,0,1
4,0.006186856347573154,0,0,0,0,91,0,0,4,0,0,2
0,0.006229742572595334,1,2,1,0,96,0,1,5,0,0,4
68,0.006240075239898006,1,0,0,0,89,2,0,5,0,0,1
75,0.006275827713340717,1,1,0,0,117,2,0,0,0,0,1
8,0.006278011321473824,1,3,0,0,103,2,0,6,0,0,2
37,0.006286276474397324,1,2,1,0,14,0,1,5,0,0,3
28,0.006311458717578934,1,2,1,0,87,1,0,1,0,0,4
33,0.006329386536427162,1,2,2,0,119,2,0,2,0,0,2
12,0.006382715197902296,0,3,2,0,20,0,1,1,0,0,1
44,0.006393378152354949,1,3,2,0,63,1,0,6,0,0,1
7,0.006506933583588091,0,1,1,0,17,1,1,5,0,0,3
24,0.006539349889499216,0,2,0,0,147,2,0,0,0,0,4
6,0.006549055976923647,1,1,0,0,65,1,1,6,0,0,1
71,0.006569346382050486,1,0,0,0,78,2,0,3,0,0,5
31,0.006577668246987861,1,1,1,0,64,1,0,5,0,0,3
63,0.006581709000620779,1,3,0,0,76,2,0,0,0,0,1
84,0.0065895610232014346,1,2,0,0,88,2,1,2,0,0,2
82,0.006660331174173491,1,1,0,0,47,2,0,6,0,0,4
36,0.006680300111336374,1,1,0,0,19,1,0,6,0,0,3
27,0.006732507632505564,0,2,0,0,160,1,0,2,0,0,4
20,0.00675813719233553,0,2,0,0,21,1,0,1,0,0,3
43,0.006865282675067376,1,0,2,0,0,0,1,1,0,0,0
42,0.006883734809207205,1,0,2,0,70,1,0,1,0,0,2
92,0.00690958882165458,1,3,2,0,125,1,1,0,0,0,1
32,0.006952770315143495,0,0,0,0,74,0,0,4,0,0,4
61,0.007003971377344206,0,1,0,0,98,2,0,6,0,0,1
93,0.007110429680857577,1,0,0,0,32,2,0,2,0,0,1
76,0.007204778247677855,0,0,0,0,33,2,0,2,0,0,4
3,0.0074258673457954436,1,0,1,0,105,0,0,2,0,0,0
99,0.007597968214513632,1,3,0,0,176,2,0,6,0,0,1
16,0.007941487029372848,0,2,1,0,152,0,0,3,0,0,5
1,0.007949989488401052,1,0,2,0,27,0,1,6,0,0,1
11,0.00798390831728705,1,3,1,0,66,0,1,2,0,0,5
