T,P,z_carbon dioxide,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_methane,rhoL3_oxygen,rhoL4_carbon monoxide,rhoL5_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_methane,rhoV3_oxygen,rhoV4_carbon monoxide,rhoV5_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_methane,parachor_oxygen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.2694963808,0.97,0.005773,0.002196,0.001575,0.020456,0.027884185137418444,0.00014171772845348723,0.9240298345446657,0.00015982113095990388,2.1193839439992437e-05,6.245486521868142e-06,0.07578290499841248,0.9722793231340795,0.0060513163455080555,0.002303832676798161,0.0016527830233771198,0.01771274482023717,0.02576581897894159,4.4564820045575586e-06,5.9097294271747e-07,1.7415030244902285e-07,0.002113144553227127,0.00013778921709685585,8.575788066388593e-07,3.264939336927524e-07,2.342286556994923e-07,2.5102099606002836e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.825415327310306,-0.10172088788142375
200.0,2.3372170652,0.97,0.005773,0.002196,0.001575,0.020456,0.027840293642925312,0.00014608792908614627,0.9546654135061612,0.00022785433123824402,2.9971287618409312e-05,8.92256164895325e-06,0.04506783831333316,0.9763305575776942,0.008062195339365799,0.0030901988415650895,0.0022215217303767775,0.010295526510998234,0.026578165442756242,6.343531489485084e-06,8.344094481530869e-07,2.4840673635396237e-07,0.001254701852495075,0.00014263010926004782,1.1777894210159298e-06,4.5144074922865214e-07,3.2453750901061564e-07,1.504052146843249e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.448315028465807,-0.06675808604386546
200.0,2.4049377496,0.97,0.005773,0.002196,0.001575,0.020456,0.02781337884240025,0.0001504137567378677,0.9716454776634492,0.000477239752557205,6.410254768582916e-05,1.9348250124649e-05,0.02779383178618308,0.9668034899571865,0.016060560379154352,0.006337430642264793,0.004597013942853192,0.006201505078541254,0.027024743770758464,1.3273650036526896e-05,1.782908443548994e-06,5.381402106543805e-07,0.000773040372951056,0.00014542054495174175,2.415729221943959e-06,9.532367509687253e-07,6.91454136920906e-07,9.327916762923552e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.22643721470404,-0.05387475056324931
200.0,2.4726584339,0.97,0.005773,0.002196,0.001575,0.020456,0.02780435954175416,0.00015469114314020383,0.9752687562385959,0.0008895947391085187,0.0001255544852831554,3.858883377454433e-05,0.023677505703237997,0.9449716545372447,0.02897080008209365,0.012031305194904272,0.008873464324357145,0.005152775861400246,0.027116723148297314,2.4734611972626245e-05,3.490962050892734e-06,1.0729378085644169e-06,0.0006583378816247639,0.00014617874547545617,4.481526182385378e-06,1.8611363540684149e-06,1.3726463399486232e-06,7.970887883452526e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.156035448833407,-0.06376176899066976
200.0,2.5403791183,0.97,0.005773,0.002196,0.001575,0.020456,0.027799422398762718,0.00015895857340539714,0.9760189745548999,0.0013149241242324439,0.00019619254080729872,6.153251452808695e-05,0.022408376265532153,0.9216025391766127,0.04161956332688757,0.018276081794298963,0.013744512043536817,0.004757303658663945,0.027132763742858904,3.655413115186085e-05,5.454039313388589e-06,1.7105683626242925e-06,0.0006229399170759374,0.000146496624874306,6.615786412197633e-06,2.905139889462114e-06,2.1848080265939123e-06,7.562142028374971e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.11881605905303,-0.07809356677458723
200.0,2.6080998026,0.97,0.005773,0.002196,0.001575,0.020456,0.027795606013529477,0.00016322425811128726,0.9760977844242937,0.0017220066613944946,0.0002719140322152835,8.717024959121881e-05,0.021821124632505358,0.8988245487547548,0.05305759696246632,0.02465459765821181,0.018941464029057994,0.004521792595509236,0.027131229446536696,4.7864218712794635e-05,7.5580153090061815e-06,2.422949913738547e-06,0.0006065313830572421,0.0001467099701427074,8.660286901366254e-06,4.024228411793903e-06,3.0917064136846252e-06,7.380662417351071e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.089972058900123,-0.09297069509324274
200.0,2.675820487,0.97,0.005773,0.002196,0.001575,0.020456,0.027792318802829587,0.00016748974414522279,0.9759431760985154,0.002104583446824049,0.00035164964149215014,0.00011540956549374366,0.021485181247674567,0.8769829727705037,0.06318762086259484,0.031062044800676165,0.024419142751262772,0.004348218814962546,0.027123723883576,5.8491254101291914e-05,9.773158943250567e-06,3.2074994370981645e-06,0.0005971230067719476,0.00014688565372904854,1.0583278451421351e-05,5.2025739362926984e-06,4.089955971654673e-06,7.282820568055207e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.064574488267493,-0.10762193638975859
200.0,2.7435411714,0.97,0.005773,0.002196,0.001575,0.020456,0.027789376224441043,0.00017175545211945808,0.9756899834014245,0.002460969697267817,0.0004347824825583896,0.00014630481061673006,0.021267959608132457,0.8561259253992027,0.07205691669455444,0.03744338137534169,0.03016758649803751,0.004206190032863749,0.027113816027160825,6.838881279432415e-05,1.2082333983611565e-05,4.065719425673907e-06,0.0005910233310766086,0.0001470442953881295,1.2376168305207326e-05,6.431104897003108e-06,5.181447458323291e-06,7.224360707948715e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.041101982395777,-0.12182106691548711
200.0,2.8112618557,0.97,0.005773,0.002196,0.001575,0.020456,0.02778670025591271,0.00017602152707795363,0.9753923612860392,0.002790951657545456,0.00052076207279954,0.00017993618378371379,0.02111598879983212,0.8362285161939628,0.07975043036696465,0.043754614373623046,0.03618317011325342,0.004083268952196291,0.027102935174962088,7.755133713695831e-05,1.447025962152861e-05,4.999832803990876e-06,0.0005867436513881451,0.0001471942204065926,1.4037792538317124e-05,7.701754038752109e-06,6.369016857856239e-06,7.187432364355867e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,20.018932788954693,-0.13549163900588468
200.0,2.8789825401,0.97,0.005773,0.002196,0.001575,0.020456,0.0277842491548659,0.0001802880369452087,0.9750758653626683,0.003095030821235387,0.0006090273557234264,0.0002163800072064268,0.02100369645316655,0.8172445188280455,0.08636506484760179,0.04995510166296561,0.042461949495430376,0.003973365165956643,0.027091750788132852,8.59931074791932e-05,1.692136779354882e-05,6.011956032355041e-06,0.0005835719354279526,0.00014733941000374,1.5570588002019777e-05,9.0063072142144e-06,7.655381519397738e-06,7.163502058367966e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,55.44611770258769,63.65845399182276,86.02971371321541,3.87,19.997758515788693,-0.14861363198602007
