T_K,P_bubble_bar,P_dew_bar
200,45.82672596261412,2.4432406803350966
205,42.75126106848039,3.137445026561681
210,40.32237693304725,3.9751170762386
215,38.4629493647214,4.974837916757569
220,37.11784436337441,6.156103538481486
225,36.24831348968282,7.53929493999182
230,35.82808638522811,9.145666488061616
235,35.84057741362445,10.997356264277231
240,36.27683243513681,13.117422872357755
245,37.133975354032366,15.529914594868755
250,38.41400284029722,18.259979213678776
255,40.122832830700354,21.33402686120904
260,42.26954418386668,24.77996511695847
265,44.86575524713129,28.62753752682594
270,47.92508046911053,32.90881869389325
275,51.46257296397522,37.658962163124244
280,55.49398613581337,42.9173890506793
285,60.03449819425613,48.72982251324278
290,65.09599841695294,55.15216440003987
295,70.68015386613928,62.259169432087
