feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CO,H2S",0.99,0.002825069045738515,0.00317964435727382,0.0,0.0,0.0,0.0014262270586454843,0.0025690595383421892
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CO",0.95,0.0023539978241575994,0.004507286298528164,0.03680626150939536,0.0,0.0,0.006332454367918928,0.0
Random (Dirichlet),dirichlet,3,"CO2,Ar,H2S",0.97,0.0,0.028500750423295543,0.0,0.0,0.0,0.0,0.0014992495767044858
Random (Dirichlet),dirichlet,3,"CO2,O2,H2S",0.97,0.0,0.0,0.0,0.0,0.012891840956359287,0.0,0.01710815904364074
Random (Dirichlet),dirichlet,2,"CO2,CH4",0.95,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.0
Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.96,0.010141934041223084,0.015013862303245924,0.0,0.0,0.0,0.014844203655531032,0.0
Random (Dirichlet),dirichlet,3,"CO2,CH4,CO",0.95,0.0,0.0,0.0,0.024679749897099507,0.0,0.025320250102900538,0.0
Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,O2,H2S",0.96,0.004353634096829942,0.0,0.0,0.01994132867086192,0.002630348295419477,0.0,0.013074688936888701
Random (Dirichlet),dirichlet,5,"CO2,H2,N2,O2,H2S",0.98,0.00399780296855722,0.0,0.009112094756304865,0.0,0.00016171992601060972,0.0,0.006728382349127321
Random (Dirichlet),dirichlet,4,"CO2,H2,N2,H2S",0.99,0.0037871190926822384,0.0,0.0037904551233136226,0.0,0.0,0.0,0.002422425784004147
Random (Dirichlet),dirichlet,6,"CO2,H2,N2,O2,CO,H2S",0.96,0.001504331116559992,0.0,0.010110762229484276,0.0,0.002120396059929188,0.021289830285690148,0.0049746803083364315
Random (Dirichlet),dirichlet,4,"CO2,Ar,CO,H2S",0.95,0.0,0.03503797442112787,0.0,0.0,0.0,0.0013794152251647533,0.013582610353707418
Random (Dirichlet),dirichlet,3,"CO2,O2,CO",0.97,0.0,0.0,0.0,0.0,0.011992723027905659,0.01800727697209437,0.0
Random (Dirichlet),dirichlet,3,"CO2,H2,CO",0.96,0.01117066317426667,0.0,0.0,0.0,0.0,0.028829336825733364,0.0
Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,O2,CO,H2S",0.97,0.006017183168627436,0.004200528171390186,0.0,0.0,0.008498516596788065,0.006447634380353056,0.004836137682841284
Random (Dirichlet),dirichlet,6,"CO2,H2,CH4,O2,CO,H2S",0.99,0.002805118588832446,0.0,0.0,0.0029530001420877763,0.0036421084650980124,3.276615959628595e-05,0.0005670066443854896
Random (Dirichlet),dirichlet,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.95,0.0030486358357351235,0.010985659011252747,0.0067517879936190685,0.01035734184703327,0.006045071481056319,0.008826907590738592,0.003984596240564924
Random (Dirichlet),dirichlet,4,"CO2,CH4,O2,CO",0.97,0.0,0.0,0.0,0.00321066649914582,0.01214924070925858,0.014640092791595625,0.0
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CO",0.98,0.0073381557123137695,0.005597658120639398,0.006940816811185188,0.0,0.0,0.00012336935586166307,0.0
Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.99,0.004023480143165804,0.0,0.0031362835616168083,0.0,0.0,0.0019247008041711929,0.0009155354910462043
Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,CO,H2S",0.97,0.0,0.004184693218097397,0.0,0.0025653053617939164,0.0,0.011143594077454435,0.01210640734265428
Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.96,0.012156066635274429,0.027317164201964717,0.0,0.0,0.0,0.0005267691627608878,0.0
Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.96,0.0,0.003217895936957292,0.0,0.0,0.03678210406304274,0.0,0.0
Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CO,H2S",0.95,0.016685649260225758,0.006983927711386275,0.014142971722425192,0.0,0.0,0.009375091303322897,0.0028123600026399224
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CH4,CO",0.99,0.003615675624618062,0.0034128609931729104,0.0,0.0017472732883328822,0.0,0.0012241900938761536,0.0
Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,CO",0.96,0.0,0.012519860769734811,0.005307446689398551,0.014879941557764025,0.0,0.007292750983102653,0.0
Random (Dirichlet),dirichlet,4,"CO2,H2,N2,H2S",0.99,0.0027324471961922706,0.0,0.0037689365558244447,0.0,0.0,0.0,0.0034986162479832936
Random (Dirichlet),dirichlet,7,"CO2,Ar,N2,CH4,O2,CO,H2S",0.97,0.0,0.006976848049883434,0.006876624074626858,0.000522901941732644,0.0011561433554113554,0.004041245178283618,0.010426237400062112
Random (Dirichlet),dirichlet,4,"CO2,CH4,O2,CO",0.98,0.0,0.0,0.0,0.007685351219101816,0.009515877971550806,0.002798770809347395,0.0
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,O2,H2S",0.98,0.0025014805485630907,0.0016349459972213288,0.0,0.0,0.008228850602746966,0.0,0.007634722851468628
Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CO,H2S",0.99,3.8656290353228206e-05,0.0013619747105341829,0.000500693575109674,0.0,0.0,0.0034178882580388295,0.004680787165964094
Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.99,0.0060755975312074524,0.0003499067691371036,0.0,0.0,0.0,0.003574495699655454,0.0
Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.99,0.0009863033306981312,0.0,0.006320058666409131,0.0,0.0,0.0017137584058639968,0.000979879597028749
Random (Dirichlet),dirichlet,5,"CO2,N2,CH4,CO,H2S",0.96,0.0,0.0,0.029290896424550374,0.009891762448158769,0.0,2.7940363619985257e-05,0.0007894007636709122
Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,O2,CO",0.96,0.010570223590306014,0.012931898618773408,0.00867514500509195,0.0,0.0029378559203008334,0.00488487686552783,0.0
Random (Dirichlet),dirichlet,4,"CO2,CH4,O2,CO",0.99,0.0,0.0,0.0,0.005113952681751671,0.003760888563010559,0.0011251587552377792,0.0
Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,O2",0.98,0.0,0.0013939848378716729,0.009069161401867564,0.002557324043514788,0.006979529716745991,0.0,0.0
Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CH4",0.96,0.012000741747215111,0.024252394909443815,0.0,0.0037468633433411108,0.0,0.0,0.0
Random (Dirichlet),dirichlet,4,"CO2,H2,N2,CO",0.98,0.01611549448597856,0.0,0.002525887418580601,0.0,0.0,0.0013586180954408575,0.0
Random (Dirichlet),dirichlet,5,"CO2,N2,O2,CO,H2S",0.95,0.0,0.0,0.004748883781509936,0.0,0.0033254901138752764,0.02215358850555706,0.019772037599057768
Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.96,0.0033991994862089805,0.0,0.0,0.0,0.0,0.0,0.03660080051379106
Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,H2S",0.98,0.005134984276925408,0.0007342428639811371,0.009090140463695776,0.0,0.0,0.0,0.005040632395397696
Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.95,0.027854276022983158,0.00724505934151025,0.0,0.0,0.0,0.014900664635506634,0.0
Random (Dirichlet),dirichlet,6,"CO2,H2,N2,CH4,O2,CO",0.95,0.010340828543589663,0.0,0.0014946889300288607,0.01965107429812881,0.018399947840093106,0.00011346038815960681,0.0
Random (Dirichlet),dirichlet,3,"CO2,Ar,CO",0.95,0.0,0.02629686086614945,0.0,0.0,0.0,0.023703139133850592,0.0
Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,H2S",0.96,0.0,0.0,0.014720419534188473,0.01273952284451382,0.0,0.0,0.012540057621297743
Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,O2",0.98,0.0,0.00499854877108798,0.002414217006735129,0.004179676186417294,0.008407558035759611,0.0,0.0
Random (Dirichlet),dirichlet,5,"CO2,CH4,O2,CO,H2S",0.97,0.0,0.0,0.0,0.00577313606949187,0.002196384124281563,0.0015745928332718334,0.020455886972954765
Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.96,0.020296332915463112,0.0,0.0,0.0,0.0,0.0,0.019703667084536927
Random (Dirichlet),dirichlet,5,"CO2,N2,CH4,O2,H2S",0.95,0.0,0.0,0.00896771836157231,0.02221688565881744,0.012239844875786754,0.0,0.006575551103823539
