CO2,H2,Ar,N2,CH4,O2,CO,H2S,mixture_size,active_components,feed_source,template_name
0.95,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",Systematic,systematic_grid
0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",Systematic,systematic_grid
0.97,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",Systematic,systematic_grid
0.98,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",Systematic,systematic_grid
0.99,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,2,"CO2,H2",Systematic,systematic_grid
0.95,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,2,"CO2,Ar",Systematic,systematic_grid
0.96,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,2,"CO2,Ar",Systematic,systematic_grid
0.97,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,2,"CO2,Ar",Systematic,systematic_grid
0.98,0.0,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,2,"CO2,Ar",Systematic,systematic_grid
0.99,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,2,"CO2,Ar",Systematic,systematic_grid
0.95,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,2,"CO2,N2",Systematic,systematic_grid
0.96,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,2,"CO2,N2",Systematic,systematic_grid
0.97,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,2,"CO2,N2",Systematic,systematic_grid
0.98,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.0,2,"CO2,N2",Systematic,systematic_grid
0.99,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,2,"CO2,N2",Systematic,systematic_grid
0.95,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,2,"CO2,CH4",Systematic,systematic_grid
0.96,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,2,"CO2,CH4",Systematic,systematic_grid
0.97,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,2,"CO2,CH4",Systematic,systematic_grid
0.98,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,2,"CO2,CH4",Systematic,systematic_grid
0.99,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,2,"CO2,CH4",Systematic,systematic_grid
