feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S,pool_idx,temperature,P_bubble
691,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,O2,H2S",0.95,0.0130258684708922,0.0063626214175563,0.0,0.0,0.0006889332418013,0.0,0.0299225768697501,691,280.0,67.11067984113141
44,Random (Dirichlet),dirichlet,2,"CO2,Ar",0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,44,280.0,64.29091854633003
785,Systematic,systematic_grid,4,"CO2,H2,O2,H2S",0.95,0.04,0.0,0.0,0.0,0.0,0.0,0.01,785,280.0,109.35420577156148
771,Systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03,771,230.0,25.727899623240976
152,Random (Dirichlet),dirichlet,2,"CO2,H2",0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,152,230.0,51.86775930040196
364,Random (Dirichlet),dirichlet,4,"CO2,H2,CO,H2S",0.95,0.0085046695194506,0.0,0.0,0.0,0.0,0.0062016348189866,0.0352936956615627,364,200.0,67.44752777274319
854,Systematic,systematic_grid,4,"CO2,H2,Ar,N2",0.95,0.01,0.04,0.0,0.0,0.0,0.0,0.0,854,260.0,66.57895258038164
602,Random (Dirichlet),dirichlet,2,"CO2,H2",0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,602,280.0,92.53600999510027
768,Systematic,systematic_grid,4,"CO2,H2,N2,CO",0.95,0.01,0.0,0.04,0.0,0.0,0.0,0.0,768,215.0,94.58274345323667
267,Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.95,0.0273659156250218,0.0,0.0,0.0,0.0,0.0,0.0226340843749782,267,215.0,162.27128170898325
785,Systematic,systematic_grid,4,"CO2,H2,O2,H2S",0.95,0.04,0.0,0.0,0.0,0.0,0.0,0.01,785,250.0,144.15581850193337
897,Systematic,systematic_grid,4,"CO2,H2,CH4,CO",0.95,0.01,0.0,0.0,0.04,0.0,0.0,0.0,897,200.0,73.88648387409933
804,Systematic,systematic_grid,3,"CO2,CO,H2S",0.95,0.0,0.0,0.0,0.0,0.0,0.03,0.02,804,240.0,35.87167453622982
209,Random (Dirichlet),dirichlet,3,"CO2,H2,N2",0.96,0.0363128329448459,0.0,0.003687167055154,0.0,0.0,0.0,0.0,209,200.0,300.35555227536656
897,Systematic,systematic_grid,4,"CO2,H2,CH4,CO",0.95,0.01,0.0,0.0,0.04,0.0,0.0,0.0,897,245.0,54.77820738289781
771,Systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03,771,275.0,50.57806119483672
785,Systematic,systematic_grid,4,"CO2,H2,O2,H2S",0.95,0.04,0.0,0.0,0.0,0.0,0.0,0.01,785,225.0,206.38908778585463
33,Random (Dirichlet),dirichlet,3,"CO2,H2,Ar",0.95,0.0395128751081987,0.0104871248918013,0.0,0.0,0.0,0.0,0.0,33,270.0,119.23406647288844
810,Systematic,systematic_grid,4,"CO2,H2,CO,H2S",0.95,0.03,0.0,0.0,0.0,0.0,0.02,0.0,810,240.0,137.15181891145184
771,Systematic,systematic_grid,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.03,771,205.0,21.11512938984707
938,industrial_range,post_combustion_unspecified_48,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.9995589201162975,1e-06,1e-06,0.0003670500789078,1.8574475587429476e-05,5.057553866971429e-05,1.879790537331545e-06,1e-06,938,245.0,16.504307877161725
829,Systematic,systematic_grid,4,"CO2,H2,Ar,O2",0.95,0.02,0.0,0.0,0.0,0.03,0.0,0.0,829,270.0,84.9290581589663
835,Systematic,systematic_grid,3,"CO2,Ar,CO",0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,835,230.0,48.761797571176366
785,Systematic,systematic_grid,4,"CO2,H2,O2,H2S",0.95,0.04,0.0,0.0,0.0,0.0,0.0,0.01,785,205.0,297.8540120523321
691,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,O2,H2S",0.95,0.0130258684708922,0.0063626214175563,0.0,0.0,0.0006889332418013,0.0,0.0299225768697501,691,225.0,70.39045309180923
828,Systematic,systematic_grid,4,"CO2,H2,N2,CO",0.95,0.02,0.0,0.03,0.0,0.0,0.0,0.0,828,260.0,94.73215886951975
334,Random (Dirichlet),dirichlet,3,"CO2,N2,H2S",0.95,0.0,0.0,0.0322351994790349,0.0,0.0,0.0,0.0177648005209651,334,255.0,45.15596052494183
710,Systematic,systematic_grid,4,"CO2,O2,CO,H2S",0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,710,240.0,34.269141817641184
728,Systematic,systematic_grid,4,"CO2,H2,N2,H2S",0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.01,728,200.0,74.29314040517777
388,Random (Dirichlet),dirichlet,5,"CO2,H2,O2,CO,H2S",0.95,0.011763471439445,0.0,0.0,0.0,0.0010734823416034,0.0203604555515199,0.0168025906674316,388,265.0,68.75943324889295
152,Random (Dirichlet),dirichlet,2,"CO2,H2",0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,152,280.0,59.98073614150733
