T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_methane,rhoL6_oxygen,rhoL7_carbon monoxide,rhoL8_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_methane,rhoV6_oxygen,rhoV7_carbon monoxide,rhoV8_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4801752293,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027801949506668526,0.00015505348692005475,0.9801624379719176,2.0948129018106518e-05,2.59585711212465e-05,2.7247060924670425e-05,0.0003540371155674489,6.084225339425849e-05,4.756958253126008e-06,0.019343771939803567,0.9469427386108408,0.02021774291692706,0.002822356959447844,0.007485384131708333,0.01144469032833176,0.005801303734855297,0.0010876614063654603,0.004198121911523556,0.027250426608828374,5.823988252205751e-07,7.21698883578159e-07,7.575214120328081e-07,9.842922010492784e-06,1.6915332567391063e-06,1.3225271315873938e-07,0.0005377945707389303,0.00014682677353523683,3.1348315369227794e-06,4.3761628789547175e-07,1.1606349105574234e-06,1.7745391421280657e-06,8.995123727716506e-07,1.6864569364533528e-07,6.50933440897213e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.1052025118676,-0.02357354376725951,-0.03350619813673816
200.0,4.3068746657,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027758057871004146,0.0002684712119210701,0.9876565371650332,0.0003691232975062969,0.000397171453739436,0.000458592942216041,0.0040665994312672525,0.0009114047001273046,7.901305606565369e-05,0.006061557954044701,0.564815884374784,0.20237524975466809,0.024739453210048213,0.07165424875941499,0.07545307330566813,0.049887225172477456,0.010285916337334814,0.0007889490856041583,0.02741542731530255,1.024614585371567e-05,1.102470819761011e-05,1.2729649429266926e-05,0.00011288090235130894,2.5298824410038904e-05,2.1932489828353105e-06,0.0001682570764768183,0.00015163680499036928,5.433192856446498e-05,6.641830985566251e-06,1.9237103003733976e-05,2.0256978033542063e-05,1.3393283801434337e-05,2.761472424803012e-06,2.1181011715616843e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.566672424824052,-0.10926103856506231,-0.2329540412512756
200.0,6.133574102,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027746122510439897,0.00038206698653753994,0.9837364788561984,0.0007896028001725888,0.0007326798331256332,0.0009266921536432266,0.006101443348959185,0.0016523204351382957,0.0001574808227043561,0.0059033017500581455,0.4042881163164252,0.3025566746290203,0.03220410057236732,0.1017878158175819,0.08034447221119641,0.06384010399379082,0.014422246846246245,0.0005564696133718968,0.027294872860332848,2.1908416028175042e-05,2.032902441083248e-05,2.5712114024448358e-05,0.00016929139465073024,4.584548521985051e-05,4.369482199799929e-06,0.00016379373357320754,0.000154465142293955,0.00011559691693232875,1.2304123659836248e-05,3.8889764055661655e-05,3.069697038268093e-05,2.4391196153150828e-05,5.510264391645842e-06,2.1260866828071054e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.30394998396493,-0.21908887043421998,-0.42117569123401566
200.0,7.9602735384,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.02774078289293387,0.0004958004174062416,0.9807027480703242,0.001260084698241895,0.0010142256566503726,0.001393558716654635,0.007299035075908628,0.002254518247746784,0.00023364618767930765,0.005842183346794281,0.3172829228115991,0.3707305756009919,0.03452309729003781,0.11819342638418184,0.07482275246862538,0.06747736514209451,0.016533596706986814,0.000436263595482821,0.027205462016722484,3.49557360406365e-05,2.813541374558128e-05,3.865840980727178e-05,0.00020248094736869036,6.254210123890124e-05,6.481528166173354e-06,0.00016206673984413394,0.00015730900556586318,0.000183808374128228,1.7116566046557036e-05,5.860035013595125e-05,3.709715190542836e-05,3.345530580292384e-05,8.197364148550524e-06,2.1629967273953038e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.11094897668389,-0.3315442042875887,-0.5921903451540445
200.0,9.7869729747,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027739088353497237,0.0006096179190183033,0.9782306105441197,0.0017690893385307845,0.0012459544170516465,0.0018425010446943807,0.008062743089819193,0.0027372741589819947,0.000304997194092146,0.005806830212710212,0.2627194480457875,0.42224409977374966,0.03467746086529795,0.12746607988618008,0.06790932962114056,0.06700581491364788,0.017615856655703935,0.0003619102384921681,0.027135225335978883,4.907292546673541e-05,3.456163965902577e-05,5.1109299270188385e-05,0.0002236531429400439,7.59294897437464e-05,8.460344114490783e-06,0.00016107617632412572,0.00016015848320331024,0.0002574075694218301,2.114000152954159e-05,7.770560636563391e-05,4.1398744205567735e-05,4.084794544978361e-05,1.073894187617496e-05,2.2062696646101337e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.958539188043055,-0.442679886588774,-0.7502157509968868
200.0,11.6136724111,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.02773965218986397,0.000723484668936105,0.9761295685534054,0.00230882054337844,0.0014362421033046963,0.002265615566333728,0.008581486532542546,0.003125248342971031,0.0003706140272153501,0.005782404330848984,0.22530982541790154,0.4635024905524789,0.033870521005644,0.13253009081256667,0.06152516547361058,0.06483979001837085,0.018110883123285987,0.00031123359614162555,0.027077494723913444,6.404587884213066e-05,3.984085640611095e-05,6.284738780603929e-05,0.00023804745168473198,8.66933020409651e-05,1.028070421163859e-05,0.0001604018849589139,0.0001630082044505221,0.0003353369459284203,2.450480267646174e-05,9.588348887560173e-05,4.451251397391423e-05,4.6910594015327605e-05,1.3102946280591053e-05,2.2517273526631737e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.83217152365697,-0.5508846097196773,-0.8977963885502191
200.0,13.4403718475,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027741743894405882,0.0008373754536571725,0.9742879768636085,0.0028735765558007805,0.0015932641579184026,0.002659791205764528,0.008951473020997953,0.0034397849669856877,0.0004303721747005258,0.005763761054223542,0.19806795757926993,0.4977725857232767,0.03264899260807279,0.1349448616390044,0.056011997100723875,0.062027546980659244,0.0182516128543218,0.0002744455146710987,0.02702844753354907,7.971802487199418e-05,4.4199926225108575e-05,7.378724644291256e-05,0.00024832947202620896,9.542563360594434e-05,1.1939274649820494e-05,0.00015989678303482036,0.00016585724583289074,0.0004168225447881326,2.7339464996634622e-05,0.00011299951473366569,4.690307148246289e-05,5.194034529217112e-05,1.5283452593862798e-05,2.2981393735188748e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.723734742534944,-0.6555753375071269,-1.0366837559204356
200.0,15.2670712838,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027744939390914145,0.0009512712874343389,0.9726362345671675,0.0034589804093216885,0.0017238579662433742,0.0030245636133495717,0.00922564905125151,0.0036975748479040884,0.00048453387492011785,0.005748605669842109,0.17734884997468775,0.5269470002690675,0.03127601895451023,0.13563326376367313,0.05132776585986679,0.059047582160906754,0.01817299953636213,0.0002465194809257315,0.026985733377473016,9.596920181098965e-05,4.782833479196694e-05,8.391633413634815e-05,0.00025596507376881775,0.00010258899004846753,1.3443362992503445e-05,0.00015949471589203474,0.00016870686884042064,0.0005012695513556188,2.975197881667773e-05,0.0001290240294393906,4.882662991064379e-05,5.617026950209067e-05,1.7287452665498847e-05,2.3450690399786552e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.62830202282751,-0.7566404100252839,-1.168189841064212
200.0,17.0937707202,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027748971675681248,0.0010651575673532772,0.9711284375396796,0.004061567016477856,0.0018334444452531283,0.0033609045742597687,0.0094351155651656,0.003911253417470686,0.0005335333919650559,0.005735744049728162,0.161064707689699,0.5522247649889315,0.029881264836978377,0.135177391189744,0.047348918333029205,0.05612058094973655,0.01795777098197458,0.00022460102990689003,0.026947815506737156,0.00011270430809912522,5.0876197980264173e-05,9.326164583580187e-05,0.0002618147545745595,0.00010853326029780554,1.4805002981668477e-05,0.000159160999174864,0.00017155929222922644,0.0005882063873078454,3.1828255363194905e-05,0.00014398522116083006,5.0434058668418375e-05,5.977726148287405e-05,1.9127855654247314e-05,2.3923548664066364e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.54267497821463,-0.8541837529721121,-1.2933440469288406
200.0,18.9204701565,0.95,0.018359,0.002565,0.006799,0.010424,0.005273,0.000988,0.005592,0.027753661184397805,0.0011790228630579444,0.9697328865241237,0.004678536982880016,0.001926240656197619,0.003670519639386919,0.009599151741583024,0.004090314796203047,0.0005778635595157328,0.005724486100109904,0.14793358652675195,0.5744175316993854,0.02852812583715379,0.13395976887133745,0.04395092894064751,0.0533446330333949,0.017658478667768464,0.00020694642356041125,0.026913637971958615,0.00012984653026152672,5.3460230531720815e-05,0.00010187035844222256,0.0002664116050935174,0.00011352121099134854,1.6037829441609745e-05,0.00015887544767724502,0.00017441708072920124,0.0006772514028148868,3.363531260219838e-05,0.00015794163022926478,5.18191500736585e-05,6.289454196780866e-05,2.081975007612001e-05,2.439945648057981e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.4646670730634,-0.9484026900438529,-1.412975982849698
