temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.441696955395133,0.99,0.01,308.63,85.09,0.6480251433755629,0.02869546310254005,27.560432009242327,2.417521738014983,1222.3635580407145,6.597374153693996,0.9999799733687853,2.0026631214662866e-05,0.9806182814228515,0.019381718577148464,19.90949520313506,0.6045164413916467,1.0000000009668666,2.0343805984590158,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.2983566358694354,0.99,0.01,308.63,85.09,0.6480251433755629,0.038763152378298686,27.560432009242327,2.417521738014983,1222.1458505555918,6.736570936673274,0.9996335215385237,0.0003664784614762711,0.7350212050385851,0.2649787949614148,19.85525295906265,0.6068357893563537,1.0000000009882952,2.026538356810828,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.155016316343738,0.99,0.01,308.63,85.09,0.6480251433755629,0.04883084165405732,27.560432009242327,2.417521738014983,1221.9288456168872,6.8779692187668475,0.9992878363354206,0.0007121636645793961,0.5891441431359301,0.4108558568640699,19.801210091721394,0.6091562082803605,1.0000000010171357,2.0204816381439223,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.01167599681804,0.99,0.01,308.63,85.09,0.6480251433755629,0.05889853092981596,27.560432009242327,2.417521738014983,1221.7123266151464,7.021166966564656,0.998942708202934,0.0010572917970660116,0.49260572602489633,0.5073942739751036,19.747316151859724,0.6114783412986036,1.0000000010192294,2.014987666204489,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.868335677292343,0.99,0.01,308.63,85.09,0.6480251433755629,0.06896622020557461,27.560432009242327,2.417521738014983,1221.4962064655695,7.165652965230521,0.998598052813759,0.0014019471862409783,0.4240288368554819,0.5759711631445181,19.693567053412096,0.613801074358824,1.0000000010321337,2.009672956345283,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.7249953577666455,0.99,0.01,308.63,85.09,0.6480251433755629,0.07903390948133324,27.560432009242327,2.417521738014983,1221.2804442278311,7.311075287941362,0.9982538304541302,0.0017461695458698644,0.3728159652920937,0.6271840347079063,19.639961074961306,0.6161273311575229,1.0000000010408783,2.004396354714396,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.581655038240948,0.99,0.01,308.63,85.09,0.6480251433755629,0.08910159875709188,27.560432009242327,2.417521738014983,1221.065018440074,7.457206741210814,0.9979100202423321,0.0020899797576679714,0.3331206036586482,0.6668793963413517,19.5865019432063,0.6184503722968024,1.0000000010448329,1.9991020553780325,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.438314718715251,0.99,0.01,308.63,85.09,0.6480251433755629,0.09916928803285052,27.560432009242327,2.417521738014983,1220.8499168931291,7.603899872647384,0.9975666102422934,0.0024333897577065665,0.30145479409150666,0.6985452059084933,19.533194245517592,0.6207777208863186,1.0000000010442804,1.9938779461410026,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.294974399189552,0.99,0.01,308.63,85.09,0.6480251433755629,0.10923697730860914,27.560432009242327,2.417521738014983,1220.6351321753632,7.751056919394337,0.9972235931563659,0.0027764068436341087,0.2756093258046981,0.7243906741953019,19.480042548245166,0.6230976366271357,1.0000000010397716,1.988614050960873,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.151634079663854,0.99,0.01,308.63,85.09,0.6480251433755629,0.11930466658436777,27.560432009242327,2.417521738014983,1220.4206595374335,7.8986114701378165,0.996880964261026,0.0031190357389740005,0.25411714193475954,0.7458828580652405,19.427051080756392,0.6254229155328772,1.0000000010319745,1.9833001675800945,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.008293760138159,0.99,0.01,308.63,85.09,0.6480251433755629,0.12937235586012644,27.560432009242327,2.417521738014983,1220.2064957898517,8.046517338745673,0.9965387203410756,0.0034612796589243372,0.2359659303983257,0.7640340696016743,19.374223640201233,0.6277363085986402,1.0000000010216243,1.977939659722075,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.86495344061246,0.99,0.01,308.63,85.09,0.6480251433755629,0.13944004513588507,27.560432009242327,2.417521738014983,1219.992638698812,8.194741703428136,0.9961968591055873,0.0038031408944125943,0.22043463868853438,0.7795653613114656,19.321563582045457,0.6300567542622049,1.0000000010094579,1.972537180838551,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.721613121086762,0.99,0.01,308.63,85.09,0.6480251433755629,0.1495077344116437,27.560432009242327,2.417521738014983,1219.7790866382238,8.343260780425634,0.9958553788514936,0.004144621148506404,0.20699577059330035,0.7930042294066997,19.269073847596434,0.6323604807062595,1.0000000009961734,1.967097822145735,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.578272801561063,0.99,0.01,308.63,85.09,0.6480251433755629,0.1595754236874023,27.560432009242327,2.417521738014983,1219.5658383809662,8.492057031414602,0.9955142782618208,0.004485721738179249,0.19525453234877874,0.8047454676512212,19.216757000420685,0.6346737659962685,1.0000000009823937,1.96162668830792,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,14.434932482035368,0.99,0.01,308.63,85.09,0.6480251433755629,0.16964311296316098,27.560432009242327,2.417521738014983,1219.3528929690758,8.641117319745618,0.9951735562801745,0.004826443719825629,0.184909575911829,0.815090424088171,19.16461526564389,0.6369649494790949,1.0000000009686378,1.956135501805139,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,15.29159216250967,0.99,0.01,308.63,85.09,0.6480251433755629,0.1797108022389196,27.560432009242327,2.417521738014983,1219.1402496305043,8.790431667076014,0.9948332120302952,0.005166787969704878,0.1757268978483274,0.8242731021516726,19.112650568820918,0.6392691396103892,1.0000000009553058,1.9507145143941207,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.14825184298397,0.99,0.01,308.63,85.09,0.6480251433755629,0.18977849151467824,27.560432009242327,2.417521738014983,1218.9279077244057,8.939992398527325,0.9944932447631573,0.005506755236842755,0.16752202313874506,0.8324779768612549,19.06086456785832,0.6415451489293347,1.0000000009426921,1.9452732005172892,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
