T_K,gamma,rhoL,rhoV,Tc,Pc,Psat
65,11.901473390249016,0.03133958720349464,3.294373872195105e-05,126.8479830448914,34.69460337553617,0.1761197011157125
66,11.682001749126501,0.031190136850604247,3.842633092437596e-05,126.8479830448914,34.69460337553617,0.20827712058823555
67,11.462074737265432,0.031040284655079863,4.459694544875398e-05,126.8479830448914,34.69460337553617,0.24498156516745687
68,11.241743231228629,0.03088996784527204,5.151236166386892e-05,126.8479830448914,34.69460337553617,0.2866774270359799
69,11.02105647267322,0.030739121722113755,5.923136845430537e-05,126.8479830448914,34.69460337553617,0.33383020419809967
70,10.800062169882166,0.030587679549870614,6.781473313390535e-05,126.8479830448914,34.69460337553617,0.3869258450174704
71,10.578806871733745,0.030435572434507632,7.732518326178976e-05,126.8479830448914,34.69460337553617,0.4464700378559902
72,10.357336193547374,0.03028272918847968,8.782740296434317e-05,126.8479830448914,34.69460337553617,0.5129874576336145
73,10.13569505004779,0.030129076180631854,9.938804521856471e-05,126.8479830448914,34.69460337553617,0.5870209806307405
74,9.913927867367558,0.02997453716975528,0.00011207576143709716,126.8479830448914,34.69460337553617,0.6691308781882003
75,9.692078651805218,0.029819033120175403,0.00012596124961745858,126.8479830448914,34.69460337553617,0.7598939989141003
76,9.470191372643855,0.02966248199755564,0.00014111732228111668,126.8479830448914,34.69460337553617,0.859902948442176
77,9.248309922777075,0.02950479854286814,0.00015761899543499482,126.8479830448914,34.69460337553617,0.969765274572596
78,9.026478492971165,0.029345894022214686,0.00017554359984132064,126.8479830448914,34.69460337553617,1.0901026649155094
79,8.804741514922533,0.02918567594986643,0.0001949709159841046,126.8479830448914,34.69460337553617,1.2215501631801202
80,8.583143960877067,0.02902404778152146,0.00021598333427503717,126.8479830448914,34.69460337553617,1.3647554091957212
81,8.361731358100686,0.028860908574351557,0.0002386660422519681,126.8479830448914,34.69460337553617,1.5203779073967039
82,8.140550108780921,0.028696152609902412,0.00026310724079423606,126.8479830448914,34.69460337553617,1.6890883270527794
83,7.919647430473039,0.028529668975321932,0.00028939839171747607,126.8479830448914,34.69460337553617,1.8715678373441844
84,7.69907168123372,0.028361341097695954,0.00031763449952431386,126.8479830448914,34.69460337553617,2.068507479407489
85,7.478872331460355,0.028191046225450794,0.0003479144305876202,126.8479830448914,34.69460337553617,2.2806075769304113
86,7.2591002910806495,0.02801865484981503,0.0003803412736434108,126.8479830448914,34.69460337553617,2.508577186308689
87,7.039807921152943,0.027844030058183727,0.0004150227461892293,126.8479830448914,34.69460337553617,2.7531335868540032
88,6.8210493136616535,0.027667026809863333,0.000452071652243354,126.8479830448914,34.69460337553617,3.0150018109996246
89,6.602880383283926,0.027487491123044182,0.0004916063979496715,126.8479830448914,34.69460337553617,3.294914214113839
90,6.385359092516741,0.027305259159892677,0.0005337515727491443,126.8479830448914,34.69460337553617,3.5936100830845534
91,6.168545650330709,0.027120156194300284,0.0005786386053284942,126.8479830448914,34.69460337553617,3.9118352823132647
92,5.952502736198945,0.02693199544398168,0.000626406505359782,126.8479830448914,34.69460337553617,4.250341935556531
93,5.737295724782989,0.02674057674515676,0.0006772027042378542,126.8479830448914,34.69460337553617,4.609888141574226
94,5.522992949031502,0.0265456850438319,0.0007311840107047259,126.8479830448914,34.69460337553617,4.991237721044831
95,5.309665994752329,0.02634708867252048,0.0007885177005490395,126.8479830448914,34.69460337553617,5.395159991857857
96,5.097390016541606,0.026144537374859056,0.0008493827636516304,126.8479830448914,34.69460337553617,5.822429569278583
97,4.886244073081401,0.02593776003265805,0.0009139713367337548,126.8479830448914,34.69460337553617,6.273826186863444
98,4.676311597536879,0.02572646204004925,0.000982490356542262,126.8479830448914,34.69460337553617,6.750134533193074
99,4.467680762264168,0.025510322256990552,0.0010551634762625192,126.8479830448914,34.69460337553617,7.252144098571464
100,4.260445001542279,0.025288989458714172,0.001132233298204539,126.8479830448914,34.69460337553617,7.780649024527333
101,4.054703653107837,0.025062078177755284,0.0012139639889664673,126.8479830448914,34.69460337553617,8.336447947430052
102,3.8505625232315666,0.02482916380961239,0.0013006443603111877,126.8479830448914,34.69460337553617,8.920343825514838
103,3.6481347244033584,0.024589776820014238,0.0013925915212397667,126.8479830448914,34.69460337553617,9.533143735905066
104,3.4475415168598205,0.024343395848640488,0.0014901552360961755,126.8479830448914,34.69460337553617,10.175658624854535
105,3.248913320006382,0.024089439447381938,0.0015937231626723589,126.8479830448914,34.69460337553617,10.84870298988469
106,3.0523909540362757,0.023827256115784106,0.0017037271970643138,126.8479830448914,34.69460337553617,11.553094466510379
107,2.8581269787038464,0.023556112194946754,0.0018206512241106829,126.8479830448914,34.69460337553617,12.289653284361624
108,2.6662873876139153,0.02327517704334358,0.0019450406720208935,126.8479830448914,34.69460337553617,13.05920154693868
109,2.4770535974284584,0.02298350472824615,0.0020775144099742563,126.8479830448914,34.69460337553617,13.862562275042533
110,2.2906249312329705,0.022680011201357386,0.0022187797276243923,126.8479830448914,34.69460337553617,14.700558134803437
111,2.107221236209746,0.022363445551119545,0.0023696514264124964,126.8479830448914,34.69460337553617,15.574009745155536
112,1.9270867270085184,0.022032353380908327,0.002531076484076621,126.8479830448914,34.69460337553617,16.483733424053565
113,1.7504943313061676,0.021685029561849332,0.0027041664079593864,126.8479830448914,34.69460337553617,17.43053818365611
114,1.5777509996770513,0.021319456402164205,0.00289024040965764,126.8479830448914,34.69460337553617,18.415221716926432
115,1.4092046620734686,0.020933221406473874,0.003090884159552484,126.8479830448914,34.69460337553617,19.438565023547223
116,1.2452533141835538,0.02052340581392785,0.003308031564570283,126.8479830448914,34.69460337553617,20.50132519105874
117,1.086356271510841,0.02008643015640057,0.0035440816130810305,126.8479830448914,34.69460337553617,21.604225662201717
118,0.9330521519518353,0.01961783450098539,0.003802070562195061,126.8479830448914,34.69460337553617,22.74794306094859
119,0.7859647951600681,0.019111955340053836,0.0040859352416141095,126.8479830448914,34.69460337553617,23.93308929157082
120,0.6458766727212613,0.018561430360807433,0.004400934276403158,126.8479830448914,34.69460337553617,25.160187138573715
121,0.5136947395074155,0.01795639697745529,0.0047543609990153245,126.8479830448914,34.69460337553617,26.429636962747836
122,0.39058376803223743,0.017283096356305316,0.005156840722760648,126.8479830448914,34.69460337553617,27.741671339997055
123,0.2780301660473963,0.016521179486971606,0.005624931849007481,126.8479830448914,34.69460337553617,29.096293801192008
124,0.17802768787180906,0.015637676839158638,0.006187110866565613,126.8479830448914,34.69460337553617,30.493197749626823
