temperature,pressure,z_carbon dioxide,z_argon,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_argon,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_argon,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_argon,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4505196683810873,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.028637602762429444,15.082942025387585,2.4262570974070172,1220.0168235216352,6.676339531624574,0.9889719978433537,3.0145575253330055e-05,6.015721162252234e-05,9.617892827035732e-05,0.010841520441500113,0.966499301540154,0.0032909545825621635,0.0057658001290017405,0.02206050709181874,0.0023834366564633846,20.00552478479424,0.6048717788588761,1.0000000015223893,4.6754270962897095,4.038850892558409,6.8045044199086275,1.000000000404939,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.8809194248208327,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.033667400079710565,15.082942025387585,2.4262570974070172,1220.9379486392816,7.509324645910721,0.9946094014480105,0.00018631381551898024,0.00036864027594050525,0.0006131195824802693,0.004222524878049754,0.8330296966172338,0.017235561767078494,0.02996949972891943,0.11896693015080596,0.0007983117359622011,19.807709324018248,0.6093913083410755,1.000000001412649,4.60666815843459,3.984135744274646,6.7252789948625065,1.0000000004112968,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.3113191812605782,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.038697197396991685,15.082942025387585,2.4262570974070172,1220.502836468315,8.328808785481755,0.9938335121035148,0.00034053479517525775,0.0006687011538956691,0.0011555286809746758,0.004001723266439458,0.7293267766613052,0.027447261447689972,0.047372828716535184,0.19518886722996998,0.0006642659444995707,19.676276069685237,0.6138216780448631,1.0000000014531505,4.568448454761622,3.9528241939574396,6.655611142229265,1.0000000004375011,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.741718937700324,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.04372699471427281,15.082942025387585,2.4262570974070172,1220.0366726166803,9.14852179006596,0.992926679159694,0.0004884785772007191,0.0009523319807239437,0.0017085376108054314,0.003923972671576073,0.6492490467829629,0.034884026424867105,0.059784254534111396,0.2555011252085369,0.0005815470495217767,19.54734047968577,0.6182312274159103,1.0000000014606292,4.531231199280821,3.922427782231728,6.587255084105346,1.0000000004454082,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.172118694140069,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.048756792031553926,15.082942025387585,2.4262570974070172,1219.561914210935,9.9687316173999,0.9919949541833145,0.0006302702230941605,0.0012203677251654236,0.0022714272049510344,0.0038829806634747763,0.5856020795383836,0.04040548571475316,0.06878264993336207,0.3046891955577524,0.0005205892557486805,19.419802697829187,0.622620214919084,1.0000000014545487,4.49454017536477,3.892658479642431,6.520171934940598,1.0000000004449958,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.602518450579815,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.053786589348835054,15.082942025387585,2.4262570974070172,1219.0831823661717,10.789538405313955,0.9910596434335996,0.0007661035505768298,0.0014737164176069789,0.002843671245797547,0.003856865352419025,0.5338171822378216,0.044556526660966954,0.07536507959604752,0.3457884612532655,0.0004727502518984984,19.293423226468764,0.6269880159021817,1.0000000014275319,4.458292731615466,3.863257164792432,6.454388164798392,1.0000000004337102,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.032918207019561,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.05881638666611618,15.082942025387585,2.4262570974070172,1218.6020416030124,11.611022205271263,0.9901275206514204,0.0008961892834139225,0.0017132602299106253,0.0034247831177192352,0.0038382467175358814,0.49087116610558634,0.04769789210587771,0.08018875712301823,0.38080829644086495,0.0004338882246526389,19.16811275777903,0.6313339274310472,1.0000000013833217,4.42247093208479,3.8342089472891465,6.389384269930874,1.0000000004139493,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.463317963459306,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.0638461839833973,15.082942025387585,2.4262570974070172,1218.1191758792634,12.433261404712022,0.9892011758819511,0.001020745530747865,0.0019398413741661517,0.004014296926794165,0.0038239402863406826,0.45468623825402393,0.05007770659958863,0.08370333176366081,0.4111311474291412,0.00040157595358545457,19.043825503605152,0.6356572934744819,1.0000000013303527,4.387206099499679,3.805511793501401,6.325137379139148,1.0000000003887233,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.893717719899051,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.06887598130067842,15.082942025387585,2.4262570974070172,1217.6349385170538,13.25633546171401,0.9882816364916003,0.0011399936927425642,0.002154258847550685,0.004611764737201873,0.003812346230904674,0.4237878906468518,0.05187214697980947,0.08622607336032406,0.43773965134520026,0.0003742376678144265,18.92053224220583,0.639965967968022,1.0000000012758241,4.352566112788564,3.777167387300986,6.2616385891967195,1.0000000003608949,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.324117476338797,0.9700000000000001,0.0027830000000000003,0.004877000000000001,0.018639000000000003,0.0037010000000000003,307.29,85.57,0.6508509876663737,0.07390577861795954,15.082942025387585,2.4262570974070172,1217.1495362149692,14.080324703335762,0.9873692473772003,0.001254155741354475,0.002357267800362612,0.005216756717631962,0.0038025723634505532,0.39710099825193207,0.053209672531361024,0.08798664951420922,0.46135189427209367,0.00035078543040399613,18.79821120869609,0.6442588362474595,1.0000000012180421,4.318338198253562,3.7491782249421366,6.198885850197017,1.0000000003326048,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
