temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5199333047181565,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.028531853540739997,38.86619694941692,2.4949834700179765,1222.14835954265,6.797984630010309,0.9994112531407541,1.398633923938978e-05,0.0002246489545931266,3.2603870566945904e-05,0.00011509736373183094,1.0604281484647553e-07,5.007108281001322e-08,0.00020225421721710803,0.9509779670607369,0.013110605965792964,0.023631094968072443,0.008640447938427661,0.003575617065269076,9.807086455516494e-06,1.1048819742081601e-05,4.341109550344235e-05,19.879383074469672,0.6055224864650561,1.0000000011182937,2.031487794520831,4.620123076784134,6.149454007501492,3.738362760807673,3.9960394663628835,6.781875162210422,1.0000000001607332,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7598506038631423,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.04257077223576928,38.86619694941692,2.4949834700179765,1220.667326442704,8.79568496489107,0.9961036977785859,0.00016183681117537782,0.002336523721747275,0.0003635028674703319,0.0009527237398193402,1.0867924176990404e-06,5.529231030728642e-07,8.007536568123449e-05,0.6478086971861574,0.10154449909483315,0.16570464910155014,0.0647432154936556,0.020037298827867336,6.777900920224295e-05,8.204248882186657e-05,1.181879791218792e-05,19.557007287655235,0.6160611948097049,1.0000000009878647,2.000652409814974,4.526553115251614,5.9995678628522615,3.654831970853641,3.919131007316731,6.612768523530946,1.000000000061106,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.999767903008128,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.056609690930798554,38.86619694941692,2.4949834700179765,1219.4970142812922,10.7126866143883,0.9931014769193608,0.0003321567739512532,0.004297484476421472,0.0007161557174312303,0.0014721147583696026,1.9719869327992225e-06,1.0783903918133707e-06,7.756097714098382e-05,0.49411363227227756,0.15618493367807548,0.23001557724013139,0.09599965235996508,0.02346406406268626,9.284120268515333e-05,0.00012049260608237409,8.806578096843838e-06,19.26689236506749,0.6257568419389614,1.0000000009441914,1.9739005852252713,4.4443110969258415,5.867065602526095,3.5822838262923176,3.852071667898898,6.464247986224933,1.0000000000197802,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.2396852021531135,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.07064860962582784,38.86619694941692,2.4949834700179765,1218.5142271859488,12.533014725595534,0.9904117906250287,0.0005250201050966358,0.006081110403356491,0.0010832846929569235,0.001817836959251447,2.7565529319373305e-06,1.614356943614069e-06,7.658630443430566e-05,0.401322817138026,0.19705685063760944,0.2615747318969545,0.11640921475422104,0.023380265856764552,0.00010432429318582325,0.00014467732026176628,7.11810297699603e-06,19.000919060492127,0.6347725895082178,1.0000000008363903,1.9496919448585959,4.370379618938528,5.7469833183441725,3.5176281340679165,3.7918100560843335,6.329162583750779,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.4796025012981,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.08468752832085712,38.86619694941692,2.4949834700179765,1217.648543238988,14.24905138658563,0.9879781593216965,0.0007404854372984566,0.00768124955763263,0.0014583931232351342,0.0020600984986450465,3.4442511728084448e-06,2.150707634862581e-06,7.60191026845015e-05,0.3392523462399991,0.23099798951164255,0.27641123256649397,0.13080879964500997,0.022253574348303037,0.00010907778582152805,0.00016096432748448304,6.015575245098281e-06,18.755450323864853,0.6432301853150109,1.0000000007767023,1.9271996282559063,4.303815485242574,5.636629677365211,3.459335820314604,3.7372205718781952,6.204667261957029,1.0000000000302995,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.719519800443086,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.0987264470158864,38.86619694941692,2.4949834700179765,1216.8630289437385,15.858471736276007,0.985764798678125,0.0009783268510066999,0.009102628754418375,0.0018354376546395196,0.0022364618630148136,4.042665403259438e-06,2.678743553777399e-06,7.562478983844194e-05,0.29482507226513605,0.26090866892124776,0.2817898612167809,0.1413267687813536,0.020862029108737717,0.00011016729372872913,0.00017219713390113076,5.23527911408944e-06,18.52813482659991,0.6511680445762238,1.000000000631563,1.9062533933023331,4.243203306088231,5.534402302701889,3.4065662949259337,3.6875780304678303,6.0897948458444855,1.0000000000266152,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.959437099588072,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.11276536571091568,38.86619694941692,2.4949834700179765,1216.13675106369,17.36260542437438,0.983745035962162,0.00123796549580417,0.010356288172827093,0.0022089626063264613,0.002368672248470922,4.560975021080292e-06,3.191259712859592e-06,7.532327967527874e-05,0.26145928512284516,0.288175682516464,0.28152746415530444,0.14907008421198342,0.019473776779716352,0.00010917057607674478,0.00017988378384352282,4.652853766366648e-06,18.317170751386588,0.6586107677773605,1.0000000005287606,1.8867841679224844,4.187893414774282,5.439693445310162,3.3586739952417375,3.6423261286876816,5.98371893601272,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.199354398733057,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.12680428440594493,38.86619694941692,2.4949834700179765,1215.4569657614811,18.76537063167969,0.9818965791629473,0.001518491362472586,0.011456727736188861,0.0025743056468093407,0.0024701253936317176,5.00875371364316e-06,3.6826816105574856e-06,7.507926262600557e-05,0.2354827804898664,0.3135105467738116,0.27783078556924296,0.15469928460784227,0.018180486500330165,0.00010697479538395455,0.0001849402099341643,4.201053588585644e-06,18.120983437909707,0.6656559032019033,1.0000000006552807,1.8685117449904856,4.137325868174288,5.352120420567847,3.315111324279456,3.6010819775730853,5.885018081729115,1.0000000000365046,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,12.439271697878043,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.14084320310097423,38.86619694941692,2.4949834700179765,1214.815352681566,20.07243847810534,0.9801996885228326,0.0018187295115182627,0.012419935496607852,0.00292773994583984,0.0025494877788300187,5.395270640641697e-06,4.149085992077553e-06,7.487438773874071e-05,0.21468588191034438,0.33729594596172435,0.2720568334324964,0.1586576316649656,0.01700777372551173,0.00010410750003090325,0.00018798566562829784,3.840139298262332e-06,17.938134346556158,0.6722808839318888,1.0000000006286578,1.8514944954779624,4.090994037215093,5.270409262583838,3.27539133446837,3.563441745847585,5.7929747393911715,1.0,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.67918899702303,0.96,0.010671,0.019271,0.007037,0.002931,8e-06,9e-06,7.3e-05,306.37,88.32,0.6528054313411887,0.15488212179600352,38.86619694941692,2.4949834700179765,1214.2060911997007,21.290548839117783,0.9786365366450926,0.002137322264918017,0.013262025075004045,0.003266512773257582,0.0026125881399631044,5.729093101702431e-06,4.588079987638276e-06,7.469792867532015e-05,0.19765972489112385,0.3597469230721095,0.26507222823679266,0.16127135826453357,0.01595585486445649,0.00010089299951827035,0.0001894726049712593,3.545066494441646e-06,17.76728430148374,0.6785643010044581,1.000000000589034,1.8354781985481394,4.048433501156781,5.193982936258827,3.239074387765673,3.5288744358036133,5.706923121855334,1.00000000002909,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
