temperature,pressure,z_carbon dioxide,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_carbon monoxide,y_carbon dioxide,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5488767948003637,0.95,0.05,304.86,88.67,0.6560388374991799,0.028745650104887374,31.196980387365745,2.5236403908914493,1222.195269889824,6.86863276719692,0.9997294419180676,0.00027055808193240374,0.9409789208913025,0.0590210791086975,19.86628210444568,0.6060037505792174,1.0000000011261152,6.774218708225969,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.5259848564793885,0.95,0.05,304.86,88.67,0.6560388374991799,0.039765251567377785,31.196980387365745,2.5236403908914493,1221.0668033514066,8.618541313513749,0.9980416791384473,0.001958320861552721,0.690226670477999,0.309773329522001,19.579886261123143,0.616211002809429,1.0000000010888928,6.614990713244236,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.503092918158414,0.95,0.05,304.86,88.67,0.6560388374991799,0.0507848530298682,31.196980387365745,2.5236403908914493,1219.9379069591835,10.38142189639414,0.9963536263079269,0.003646373692073059,0.5477626149973939,0.4522373850026062,19.298148688556523,0.6262985476150448,1.0000000010964154,6.462588024100915,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.480200979837438,0.95,0.05,304.86,88.67,0.6560388374991799,0.06180445449235861,31.196980387365745,2.5236403908914493,1218.8082983375778,12.156949475381932,0.9946649140222995,0.005335085977700571,0.4559827694076512,0.5440172305923489,19.020949259994524,0.636260361575264,1.0000000012086483,6.314571290678722,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.457309041516464,0.95,0.05,304.86,88.67,0.6560388374991799,0.07282405595484903,31.196980387365745,2.5236403908914493,1217.677877320415,13.945030250197345,0.9929754116687802,0.007024588331219794,0.39197170670785986,0.60802829329214,18.748194613645392,0.6460936897949197,1.000000000203599,6.171863757172294,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.4344171031954875,0.95,0.05,304.86,88.67,0.6560388374991799,0.08384365741733943,31.196980387365745,2.5236403908914493,1216.5466087217821,15.745683425621538,0.9912850737508596,0.00871492624914044,0.34481535829864024,0.6551846417013598,18.47979469559531,0.6557982203020508,1.0000000001583178,6.033322198395824,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.411525164874513,0.95,0.05,304.86,88.67,0.6560388374991799,0.09486325887982985,31.196980387365745,2.5236403908914493,1215.4144856982678,17.55898632820786,0.9895938918578661,0.010406108142133925,0.30865575086091895,0.6913442491390811,18.21565860187945,0.6653755680087408,1.0000000000594234,5.898753651855454,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.388633226553537,0.95,0.05,304.86,88.67,0.6560388374991799,0.10588286034232025,31.196980387365745,2.5236403908914493,1214.2815158965352,19.385048861476445,0.9879018765020277,0.012098123497972355,0.2800676252282399,0.7199323747717601,17.955694036383857,0.6748288579063363,1.0,5.769173812927144,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.365741288232563,0.95,0.05,304.86,88.67,0.6560388374991799,0.11690246180481068,31.196980387365745,2.5236403908914493,1213.1477147216572,21.224000795427937,0.9862090482936753,0.013790951706324765,0.25691461340854044,0.7430853865914596,17.69980805037652,0.6841621620606653,1.0,5.6433560290465135,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.342849349911589,0.95,0.05,304.86,88.67,0.6560388374991799,0.1279220632673011,31.196980387365745,2.5236403908914493,1212.0131029232991,23.0759850066203,0.9845154347707789,0.015484565229221155,0.23779522149888604,0.7622047785011139,17.447907779719788,0.6933802440301946,1.0000000006159016,5.521259516186029,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
