T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_methane,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_methane,x_oxygen,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_methane,y_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_nitrogen,parachor_methane,parachor_oxygen,n_exp,gamma_parachor
200.0,60.06159323108472,0.95,0.02,0.03,0.0,0.0,0.0,0.02800016348798416,0.0037135720531937225,0.9501356302336793,0.019884128756550965,0.029980241009769718,0.0,0.0,0.0,0.06574182029274181,0.7754369850524223,0.15882119465483577,0.0,0.0,0.0,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,14.676295980895752
202.14072279701702,59.29663838593585,0.95,0.02,0.03,0.0,0.0,0.0,0.027842408206556528,0.003632746472145044,0.9501378524417767,0.01988281294062543,0.02997933461759785,0.0,0.0,0.0,0.07298030236907023,0.765546165554426,0.1614735320765038,0.0,0.0,0.0,19.407376071896767,0.02762459627208901,0.0001657319658153149,309.1473760575555,82.3795680252517,2.6669964422572403,78.36558740971863,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,14.354295819717972
204.28144559403404,58.59274372867797,0.95,0.02,0.03,0.0,0.0,0.0,0.027683161956902787,0.003557913463742345,0.950140182704589,0.019881431325164095,0.029978385970246976,0.0,0.0,0.0,0.08082301789507063,0.7551631805667929,0.16401380153813666,0.0,0.0,0.0,18.90455517554121,0.027472566306181275,0.0001830313636975792,309.1473760575555,82.3795680252517,2.9655791999676078,78.31879564667325,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,14.027009666327494
206.4221683910511,57.94839048984136,0.95,0.02,0.03,0.0,0.0,0.0,0.02752233050582735,0.0034888158546027815,0.9501426307518822,0.019879977345085828,0.02997739190303193,0.0,0.0,0.0,0.08929632614532572,0.7442753660564724,0.16642830779820178,0.0,0.0,0.0,18.404218641171816,0.027319075835353326,0.00020169726417447925,309.1473760575555,82.3795680252517,3.289360600162223,78.27162189834347,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,13.6950077450977
208.5628911880681,57.362318161653015,0.95,0.02,0.03,0.0,0.0,0.0,0.027359816489646208,0.003425229533778012,0.9501452080864593,0.019878443175094743,0.029976348738445995,0.0,0.0,0.0,0.09842498898383094,0.7328718312586955,0.16870317975747343,0.0,0.0,0.0,17.906416590134036,0.027164039965132846,0.00022180525438655432,309.1473760575555,82.3795680252517,3.6397244890060274,78.224219494416,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,13.358819419351859
210.70361398508513,56.83349803044302,0.95,0.02,0.03,0.0,0.0,0.0,0.027195519040460765,0.00336696036317815,0.9501479266335083,0.019876820894579327,0.029975252471912364,0.0,0.0,0.0,0.108231767102287,0.7209438087026929,0.17082442419502006,0.0,0.0,0.0,17.411202005865544,0.027007370609812602,0.00024343407701030108,309.1473760575555,82.3795680252517,4.018084029586166,78.17674675330167,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,13.018937755273953
212.84433678210218,56.36111003605997,0.95,0.02,0.03,0.0,0.0,0.0,0.027029333382635662,0.003313841642097903,0.950150799155795,0.019875102160891125,0.029974098683313827,0.0,0.0,0.0,0.11873704234544788,0.7084849361054344,0.1727780215491177,0.0,0.0,0.0,16.918631119575775,0.026848976186756083,0.00026666587706531666,309.1473760575555,82.3795680252517,4.425880884728208,78.12936787029172,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,12.67582361589228
214.9850595791192,55.94452249398047,0.95,0.02,0.03,0.0,0.0,0.0,0.02686115039838419,0.0032657319719137544,0.9501538393260467,0.019873278176021116,0.029972882497932108,0.0,0.0,0.0,0.12995842908569638,0.6954915422157657,0.1745500286985379,0.0,0.0,0.0,16.42876325953184,0.02668876128172535,0.0002915864803165795,309.1473760575555,82.3795680252517,4.864584466056376,78.08225327451973,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,12.32990893536461
217.12578237613621,55.583274289020466,0.95,0.02,0.03,0.0,0.0,0.0,0.026690856156583297,0.003222513487022995,0.9501570618067989,0.019871339650324983,0.029971598542875996,0.0,0.0,0.0,0.14191038775691533,0.6819629189226275,0.17612669332045716,0.0,0.0,0.0,15.941661180994524,0.02652662628157809,0.0003182857066816236,309.1473760575555,82.3795680252517,5.335691255726889,78.03558061999529,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,11.981599969363911
219.26650517315323,55.27705920834695,0.95,0.02,0.03,0.0,0.0,0.0,0.026518331398931755,0.0031840904118563733,0.9501604823388777,0.019869276762729156,0.02997024089839315,0.0,0.0,0.0,0.15460384735765115,0.6679015741752398,0.177494578467109,0.0,0.0,0.0,15.457391056984052,0.026362466970124353,0.00034685772259625627,309.1473760575555,82.3795680252517,5.840724207250848,77.98953546896026,34.052431631256816,56.55314330349872,0.0,0.0,0.0,3.87,11.63127995171785
