index,split
32,train
64,train
42,train
16,train
60,train
39,train
18,train
24,train
36,train
29,train
23,train
30,train
19,train
68,train
34,train
20,train
79,train
71,train
54,train
52,train
37,train
65,train
77,train
80,train
10,train
7,train
47,train
69,train
66,train
1,train
49,train
14,train
3,train
48,train
44,train
50,train
74,train
51,train
13,train
11,train
73,train
25,train
61,train
6,train
67,train
53,train
43,train
58,train
81,train
2,train
57,train
5,train
8,train
59,train
12,train
33,train
26,train
28,val
56,val
72,val
70,val
75,val
82,val
21,val
4,val
17,val
46,val
76,val
45,val
78,test
40,test
31,test
22,test
55,test
63,test
41,test
38,test
15,test
35,test
9,test
62,test
27,test
