timestamp,index,sm_pct,mem_pct,power_w,power_limit_w,temp_c,vram_used_mib,vram_total_mib,pid_count
2026/05/08 15:35:30.299, 0, 0, 0, 71.32, 700.00, 33, 1, 95830,0
2026/05/08 15:35:40.393, 0, 0, 0, 71.49, 700.00, 33, 1, 95830,0
2026/05/08 15:35:50.465, 0, 0, 0, 71.27, 700.00, 33, 1, 95830,0
2026/05/08 15:36:00.647, 0, 0, 0, 124.89, 700.00, 35, 1924, 95830,5
2026/05/08 15:36:10.858, 0, 100, 60, 628.14, 700.00, 51, 40918, 95830,25
2026/05/08 15:36:21.081, 0, 100, 48, 679.98, 700.00, 66, 74148, 95830,25
2026/05/08 15:36:31.348, 0, 97, 55, 682.82, 700.00, 63, 94020, 95830,23
2026/05/08 15:36:41.579, 0, 100, 46, 694.12, 700.00, 64, 94984, 95830,22
2026/05/08 15:36:51.804, 0, 100, 49, 690.34, 700.00, 66, 94746, 95830,22
2026/05/08 15:37:02.039, 0, 100, 50, 695.96, 700.00, 65, 94018, 95830,22
2026/05/08 15:37:12.228, 0, 100, 54, 684.31, 700.00, 65, 94510, 95830,22
2026/05/08 15:37:22.451, 0, 100, 47, 689.77, 700.00, 64, 94688, 95830,22
2026/05/08 15:37:32.773, 0, 0, 0, 125.88, 700.00, 39, 94678, 95830,22
2026/05/08 15:37:43.130, 0, 25, 11, 391.11, 700.00, 50, 93400, 95830,22
2026/05/08 15:37:53.452, 0, 100, 46, 698.62, 700.00, 65, 94242, 95830,22
2026/05/08 15:38:03.706, 0, 100, 45, 698.04, 700.00, 66, 94634, 95830,22
2026/05/08 15:38:13.946, 0, 100, 47, 702.41, 700.00, 66, 95068, 95830,22
2026/05/08 15:38:24.431, 0, 100, 48, 688.79, 700.00, 63, 92699, 95830,21
2026/05/08 15:38:34.752, 0, 100, 47, 701.55, 700.00, 66, 92701, 95830,21
2026/05/08 15:38:45.265, 0, 100, 50, 697.20, 700.00, 67, 90326, 95830,20
2026/05/08 15:38:55.581, 0, 100, 47, 694.57, 700.00, 68, 87528, 95830,19
2026/05/08 15:39:05.990, 0, 100, 47, 698.00, 700.00, 66, 74976, 95830,16
2026/05/08 15:39:16.318, 0, 100, 43, 702.03, 700.00, 67, 69360, 95830,14
2026/05/08 15:39:26.643, 0, 100, 42, 696.96, 700.00, 66, 57982, 95830,16
2026/05/08 15:39:36.919, 0, 100, 49, 695.03, 700.00, 66, 50508, 95830,16
2026/05/08 15:39:47.251, 0, 100, 57, 665.51, 700.00, 65, 52470, 95830,17
2026/05/08 15:39:57.385, 0, 73, 40, 607.41, 700.00, 62, 52226, 95830,19
2026/05/08 15:40:07.614, 0, 100, 48, 701.74, 700.00, 67, 71672, 95830,20
2026/05/08 15:40:17.902, 0, 100, 51, 685.73, 700.00, 65, 84482, 95830,22
2026/05/08 15:40:28.167, 0, 100, 52, 693.54, 700.00, 64, 93364, 95830,22
2026/05/08 15:40:38.404, 0, 100, 50, 688.23, 700.00, 65, 90186, 95830,20
2026/05/08 15:40:48.606, 0, 100, 52, 685.98, 700.00, 67, 91054, 95830,20
2026/05/08 15:40:58.857, 0, 100, 49, 698.19, 700.00, 66, 93352, 95830,20
2026/05/08 15:41:09.124, 0, 100, 46, 597.45, 700.00, 63, 94400, 95830,20
2026/05/08 15:41:19.422, 0, 100, 45, 694.45, 700.00, 64, 90083, 95830,18
2026/05/08 15:41:29.739, 0, 98, 43, 687.57, 700.00, 66, 83209, 95830,15
2026/05/08 15:41:39.888, 0, 100, 50, 693.82, 700.00, 64, 78330, 95830,13
2026/05/08 15:41:49.973, 0, 100, 47, 692.40, 700.00, 65, 62052, 95830,8
2026/05/08 15:42:00.102, 0, 100, 48, 700.09, 700.00, 67, 53314, 95830,7
2026/05/08 15:42:10.174, 0, 100, 37, 692.45, 700.00, 66, 43191, 95830,6
2026/05/08 15:42:20.255, 0, 0, 0, 134.55, 700.00, 44, 18137, 95830,3
