feature,importance_mean,importance_std
temperature,4.089917015568347,0.47463794554276745
pressure,0.00026638554447018677,0.00022127918702081188
z_carbon dioxide,0.0,0.0
z_oxygen,0.0,0.0
z_carbon monoxide,0.0,0.0
