temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.430471700471754,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.029024023172578867,10.237465604212284,2.4064076242294594,1221.9820590543304,6.645787081820015,0.9982327370605765,1.8453460580958788e-06,4.1736858719538824e-05,1.3586940439654313e-05,0.0017100937942062563,0.9832299264729076,0.0017953054983041617,0.011482839864331502,0.0031123103498808696,0.00037961781457596994,19.920771859148118,0.6047026851443065,1.000000000732312,2.0342941458582002,6.163484285780933,6.797138169028906,1.0000000001408131,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.696148226254458,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.03219665901904058,10.237465604212284,2.4064076242294594,1221.8884429645113,7.07162310288762,0.9985336864026643,1.4003691256610208e-05,0.00030702324851616405,9.910521550561465e-05,0.001046181442057387,0.8907881939968963,0.012286334306715973,0.07622628139125684,0.020488609297180323,0.0002105810079506528,19.848430297948248,0.607078715262255,1.0000000007933043,2.0269610166822636,6.128851315916383,6.75849565919903,1.000000000158707,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.9618247520371614,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.03536929486550229,10.237465604212284,2.4064076242294594,1221.6625762456558,7.493531396344912,0.9982005692941384,2.696100462256048e-05,0.0005722986302408676,0.00018319232264647534,0.0010169787483517193,0.8142200020826152,0.021543093850866536,0.12952253613711626,0.03452701098564664,0.00018735694375524584,19.783278330634012,0.6094343707976194,1.0000000008800332,2.020017301251735,6.095745532709638,6.7215695926238626,1.0000000001915441,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.227501277819865,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.038541930711964,10.237465604212284,2.4064076242294594,1221.4343844169591,7.912968691909289,0.9978511475850512,4.07232054329236e-05,0.000836193016340382,0.0002654601055383303,0.001006476087637179,0.7501169632933958,0.029867875617875912,0.17387159136962993,0.04597251697600765,0.0001710527430907706,19.718989302875414,0.6117618129318274,1.0000000009617591,2.01325176331378,6.063515979988176,6.685401233401703,1.0000000002375893,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.4931778036025687,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.04171456655842571,10.237465604212284,2.4064076242294594,1221.2068492314859,8.329699199131534,0.9974993282822012,5.5352060326756145e-05,0.0010984796697179743,0.0003458949270626848,0.0010009450606914686,0.6956767664655786,0.037510779364156734,0.21124698675717365,0.055407490100632124,0.00015797731245893154,19.655443754155435,0.6140760924816683,1.0000000010271155,2.0066223385189277,6.032086016131651,6.649879287409512,1.0000000002856022,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7588543293852723,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.04488720240488742,10.237465604212284,2.4064076242294594,1220.9806891028882,8.743438387472906,0.9971482106244213,7.091496192353009e-05,0.001358933720314436,0.00042448607783289477,0.0009974546155079051,0.6488726997324846,0.04465573847801206,0.2430722776477178,0.06325225426231837,0.00014702987946704017,19.592632222616732,0.6163613140853229,1.0000000010560806,2.0001045914341247,6.001173060624702,6.614945159884653,1.0000000003101563,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.024530855167976,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.04805983825134913,10.237465604212284,2.4064076242294594,1220.7562277344089,9.15387657677889,0.9967989790683198,8.748448123779835e-05,0.00161731551235227,0.0005012205082589602,0.0009950004298311418,0.6082062078720619,0.0514417586877226,0.27039725714089463,0.06981711908802943,0.00013765721129129415,19.530578896234026,0.618628225057428,1.0000000010849506,1.9938065482324783,5.970747214475833,6.5805676890637494,1.0000000003321239,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.2902073809506795,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.05123247409781084,10.237465604212284,2.4064076242294594,1220.5336802743677,9.560682008170854,0.9964522660585052,0.00010513849038956563,0.0018733679999853963,0.0005760821349395512,0.000993145316180313,0.5725460293466074,0.057976696206319886,0.29401182293617045,0.0753359378958728,0.00012951361502947732,19.46930684637149,0.6208682848395619,1.0000000011024588,1.9876208781366376,5.940793896058767,6.546731763464221,1.000000000346242,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.555883906733383,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.05440510994427255,10.237465604212284,2.4064076242294594,1220.3132268565182,9.963500769109775,0.9961085032245867,0.00012396028113206617,0.002126816178130621,0.0006490518024382197,0.0009916685137124643,0.5410223412797233,0.06434629637234116,0.31452084490567767,0.07998815830365272,0.00012235913860515567,19.408846634371443,0.6230807585947787,1.0000000011124028,1.981515327367586,5.911308780114359,6.51343325462444,1.0000000003548188,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.821560432516087,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.05757774579073426,10.237465604212284,2.4064076242294594,1220.0950373973103,10.361956672864741,0.9957680404110465,0.00014403859927124873,0.002377367018323311,0.0007201073844040779,0.0009904465869548344,0.5129554523048455,0.07062023744712491,0.33239461693055444,0.08391367605575192,0.00011601726172321264,19.349232199860563,0.6252720489317526,1.0000000011230945,1.9754888472083338,5.882294512506498,6.480675430667371,1.000000000359987,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
