temperature,pressure,z_carbon dioxide,z_argon,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_argon,y_carbon dioxide,y_argon,gamma,interfacial_thickness,E_carbon dioxide,E_argon
200.0,2.523455289064255,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1222.3275043273677,6.916275954209575,0.9996760085792772,0.0003239914207227447,0.9499638118267651,0.05003618817323486,19.87666719050523,0.6055528187152099,1.0000000011875203,5.793516981702975
200.0,4.716760039926486,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1221.5086192421384,12.431654924951648,0.9942522773873884,0.005747722612611645,0.5226899826052892,0.4773100173947109,19.282672206023282,0.6254212880184298,1.0000000008338161,5.610166457390706
200.0,6.9100647907887165,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1220.677544772664,18.037829899933037,0.9888077257572401,0.011192274242759925,0.3657602585985762,0.6342397414014239,18.701985576293954,0.6449488335433706,1.000000000800464,5.429563297545952
200.0,9.103369541650949,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1219.8334287687976,23.734808309165054,0.9833394070231857,0.016660592976814288,0.28449335132978326,0.7155066486702168,18.13450147352622,0.6641421037343727,1.000000000820114,5.252965679291506
200.0,11.29667429251318,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1218.9758561564436,29.52492695738858,0.9778464437050894,0.022153556294910535,0.2349250171159323,0.7650749828840676,17.580090274729436,0.6830514638977234,1.0000000008961114,5.083132519219733
200.0,13.48997904337541,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1218.1044968862755,35.41117083319717,0.9723283856299786,0.027671614370021438,0.20162553452056395,0.798374465479436,17.038526795331514,0.7017439312653408,1.0000000009149328,4.919258592362269
200.0,15.683283794237642,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1217.219047058378,41.39687356485337,0.9667849349052097,0.033215065094790386,0.17778422985496445,0.8222157701450357,16.509521834583833,0.7202911983558956,1.0000000000261728,4.76291963076653
200.0,17.87658854509987,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1216.319212501764,47.4856413446504,0.9612158690112121,0.038784130988787885,0.15992950786678198,0.8400704921332179,15.992749637087037,0.7387639316281642,1.0000000005459713,4.613130722375247
200.0,20.069893295962103,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1215.4047042211064,53.68133445116936,0.9556210187686356,0.04437898123136439,0.1461063736036249,0.8538936263963751,15.487867804310934,0.7572524021711978,1.0000000005388816,4.4703838318269735
200.0,22.263198046824336,0.95,0.05,305.33,88.32,22.263298046824335,2.5233552890642548,1214.475235931482,59.988068515774565,0.9500002562705689,0.04999974372943104,0.13513007798251717,0.8648699220174828,14.994529264622193,0.7758059892199562,1.0000000006436327,4.334324459119246
201.0,2.656007273871065,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1219.2344898833594,7.254924254675533,0.9996583888657365,0.0003416111342634295,0.9499656717727545,0.05003432822724547,19.6391389328626,0.6100025132504022,1.0000000011481422,5.643123967921058
201.0,4.8481862001600575,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1218.406809461136,12.748114728712826,0.9942359854325831,0.005764014567416948,0.535111353837991,0.46488864616200903,19.05696464068277,0.6295247052231858,1.0000000008359775,5.467775601766418
201.0,7.040365126449049,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1217.5668394583975,18.33092052075046,0.988793017642894,0.011206982357106033,0.37767686586030697,0.622323134139693,18.48764912268013,0.6487430247331546,1.0000000007368295,5.295353529157043
201.0,9.23254405273804,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1216.713704040251,24.00323370977017,0.9833264756370876,0.016673524362912386,0.29503525154060134,0.7049647484593987,17.931071638736448,0.6676754589948807,1.0000000008241392,5.1266434727420265
201.0,11.424722979027033,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1215.8469728836706,29.76726654770698,0.9778354356315637,0.02216456436843627,0.2442469122781623,0.7557530877218378,17.38710651980465,0.6863570097871325,1.0000000008522323,4.964194657100332
201.0,13.616901905316025,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1214.9663055278595,35.62589050500534,0.9723194196235602,0.027680580376439855,0.2099619178551768,0.7900380821448232,16.855543038940787,0.7048394562229824,1.0000000009399168,4.807341623002494
201.0,15.809080831605016,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1214.0713893464917,41.58232663740769,0.9667781089446515,0.033221891055348514,0.18533082390646916,0.8146691760935308,16.33611142091363,0.7231870230636332,1.0000000005781104,4.6575571958959054
