T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_wsd_UC,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5488982965,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027774371276812912,0.00015946595149490486,0.9997458249352232,2.999958576726372e-06,5.1102219520582396e-05,0.00016581791076201543,3.425497591739831e-05,0.940979297039261,0.002780376483028786,0.0053151199987409095,0.04345104977974001,0.007474156699229296,0.027767311724194495,8.332196332505749e-08,1.4193320180338519e-06,4.605488217849648e-06,9.514104192081055e-07,0.00015005415893937246,4.4337538138024253e-07,8.475806679088166e-07,6.928962996578717e-06,1.1918735096646171e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.89566454605652,19.900722813566762,-0.024266680144648944,-0.02932494765489224
200.0,4.4377161213,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02776379355987411,0.00027766616861149416,0.9967165273618055,4.1219111661574836e-05,0.0006198723027436125,0.0021775653115967803,0.00044481591219255043,0.5550922670756094,0.02190504369230148,0.037366755918909894,0.3295367455363075,0.0560991877768718,0.027672631903387784,1.1443989068933634e-06,1.721000664685744e-05,6.045747377431595e-05,1.234977715826106e-05,0.00015413034302475272,6.082289555308729e-06,1.0375483949444581e-05,9.150120554976741e-05,1.5576846532220757e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.693775087123218,19.758652080597464,-0.3104144164231002,-0.375291409897347
200.0,6.3265339461,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02775320871188587,0.00039715854607295947,0.993744926937533,8.355597654025648e-05,0.0011123881102869924,0.004208977150309355,0.0008501518253303868,0.3989019488551165,0.030957728361550786,0.04727334256118746,0.44747301943100054,0.07539396079114481,0.02757961036367513,2.3189464560471775e-06,3.087233939341522e-05,0.00011681262131609416,2.3594441045184967e-05,0.0001584273180329681,1.2295126385795132e-05,1.8775011999610167e-05,0.00017771773380409331,2.9943355850492788e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.49642800646307,19.619147205657754,-0.5848059166426616,-0.7075251158373455
200.0,8.2153517709,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027742644610219327,0.0005178956384358296,0.9908237994335408,0.00013049356785994358,0.001541827223742502,0.006254600046792483,0.0012492797280642984,0.314561439874122,0.03696465186689606,0.050662302985776786,0.512362992721667,0.08544861255153814,0.027488072539031957,3.6202366770579536e-06,4.2774364718649346e-05,0.00017351914627722502,3.465832351443927e-05,0.00016290999773090222,1.9143831978164316e-05,2.6237785749448305e-05,0.00026535055922648004,4.425346375083469e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.30321677420473,19.48198739800203,-0.8476296718571987,-1.026400295654497
200.0,10.1041695958,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02773213230404594,0.0006398627349116021,0.9879485302593906,0.00018257079027740722,0.001918541921908666,0.008309019846305736,0.001641337182117556,0.26187214445807827,0.041730020484480636,0.05144532454595419,0.5535614691283114,0.09139104138317564,0.027397919350741155,5.063077310827281e-06,5.32052584092297e-05,0.00023042683769469415,4.551777989003401e-05,0.00016756222655011212,2.670148503511696e-05,3.2917946062389226e-05,0.00035420335557812574,5.847772168585817e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.113875101858856,19.347035312497926,-1.0991160179422117,-1.3322762285812821
200.0,11.9929874206,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02772170330196577,0.0007630498912341514,0.9851160828689675,0.00024040706405481315,0.002250813105896537,0.010367096226509291,0.0020256007345719348,0.2259059154366995,0.04593760092051433,0.05103102014177943,0.5819927990128123,0.0951326644881945,0.02730909576728824,6.66449330142421e-06,6.239637310983986e-05,0.0002873935656942195,5.615310257204709e-05,0.00017237748420312495,3.5052681385956314e-05,3.893921436875258e-05,0.0004440895419857858,7.259096929053184e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.92822159452332,19.21420421784039,-1.3395471952279472,-1.6255298185450187
200.0,13.8818052454,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027711389836913836,0.0008874456896060893,0.9823246359616834,0.000304716212369775,0.002545323309399158,0.012423871089649954,0.002401453426897809,0.19984665677919997,0.049912959555015804,0.050032863596951326,0.6026569212754274,0.09755059879340548,0.02722158093353868,8.444109750606661e-06,7.053444648774372e-05,0.00034428273504885334,6.654761208795786e-05,0.00017735305414088854,4.4295040812581845e-05,4.440144913776387e-05,0.0005348252870971543,8.657085841770067e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.74614446333653,19.083451414189867,-1.5692342249237505,-1.906541175777086
200.0,15.7706230702,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027701225558891478,0.0010130346689345873,0.9795733845206381,0.0003763197045945332,0.002807503002996274,0.01447444162459643,0.0027683511471745773,0.18013955897317263,0.0538391621054241,0.048750253775457816,0.6181661178912439,0.09910490725470163,0.02713538327609293,1.0424517019228573e-05,7.777127394326496e-05,0.0004009597722819533,7.668671955409894e-05,0.0001824876184864105,5.454093775918389e-05,4.938569719389802e-05,0.0006262237085845353,0.00010039670691055964,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.567592098824974,18.95477397837955,-1.7884982424106042,-2.175680121965179
200.0,17.659440895,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027691246261674383,0.0011397956232570383,0.9768624116141186,0.00045616052889977434,0.003041793196945968,0.01651384053980671,0.003125794120228861,0.16474893264735946,0.05783438325215934,0.04734012184223949,0.6300160521084202,0.1000605101498215,0.027050537603779682,1.2631653540619286e-05,8.42310444937166e-05,0.00045728882511380945,8.655713474655122e-05,0.00018778011236772889,6.591937690458137e-05,5.3958063680239495e-05,0.0007180895387748554,0.000114048531529633,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.39256636630775,18.828205638414104,-1.9976573998345017,-2.4332966719408553
200.0,19.5482587198,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027681490571894053,0.0012677001017179306,0.974192602791153,0.0005453174527693468,0.0032518469851809196,0.018536929208093245,0.0034733035628034623,0.1524249019730622,0.061984643061500144,0.045888367929761066,0.6391213380931382,0.10058074894253838,0.026967103349372232,1.5095199927523954e-05,9.001597166152772e-05,0.0005131298311057006,9.614621982707006e-05,0.00019322906373559653,7.857793831401335e-05,5.8172688692227925e-05,0.0008102141853107712,0.00012750622566532155,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.22111786512303,18.703814638827907,-2.1970180119535954,-2.679714785658472
200.0,21.4370765446,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02767200058472047,0.0013967109187087217,0.9715655898926703,0.0006450187038866496,0.0034406853538233545,0.020538303380675638,0.0038104026689439953,0.1423573995433807,0.06635922710080298,0.044443019720817115,0.6460687023328766,0.10077165130212264,0.02688516357160426,1.784895795110701e-05,9.521064712283902e-05,0.0005683359431592226,0.00010544146488303868,0.00019883213430121983,9.268465704876324e-05,6.207405090445231e-05,0.0009023712107843038,0.00014074886566998267,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.053342693100088,18.581702440793993,-2.386869435298385,-2.91522918299229
200.0,23.3258943694,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02766282238356494,0.001526780634186966,0.9689837083420657,0.0007566536368362218,0.0036108188649106674,0.02251221697364535,0.004136602182542036,0.13399812891725912,0.07101847334601775,0.043030911255547664,0.6512476842050993,0.10070480227607632,0.026804824216434656,2.0931175161678856e-05,9.988544091924936e-05,0.0006227514596022272,0.00011443009144712742,0.0002045857482481597,0.00010842962977422312,6.569876197638811e-05,0.0009943123523034544,0.0001537541418847408,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.889379842024656,18.462002702432887,-2.5674811486999385,-3.1401040091081693
200.0,25.2147121942,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027654006399356446,0.0016578500434558782,0.9664499585974795,0.0008817800132823252,0.003764343520767784,0.024452527425149986,0.004451390443320352,0.12696248916339464,0.07601774945499917,0.04166660299887558,0.6549231280046233,0.10043003037810735,0.02672621333971247,2.4384750130134033e-05,0.00010409917981268827,0.0006762103498955367,0.00012309877980561513,0.00021048476817680029,0.00012602602923738845,6.907697959234471e-05,0.0010857643362227243,0.00016649793022662044,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.7294086913884,18.344880180984713,-2.7391027224695925,-3.3545742120659057
200.0,27.103530019,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.0276456075294676,0.00178984678184592,0.9639679604294947,0.0010221235767201935,0.0039030172135786113,0.02635267031842244,0.004754228461784052,0.12097248529062289,0.08140924639204565,0.04035738645775306,0.657277999264813,0.09998288259476541,0.026649479905015167,2.8257227248622136e-05,0.00010790128206735051,0.0007285355809765568,0.00013143353415990636,0.00021652221348932428,0.00014571007766730449,7.223353827512143e-05,0.0011764269117622505,0.00017895404065191933,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.573645893840375,18.230529037511225,-2.9019651760970877,-3.5588483197679377
200.0,28.9923478438,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027637684877973696,0.0019226842154018294,0.9615418828055521,0.0011795658593840583,0.004028321887350598,0.0282056778628149,0.005044551584898343,0.11582194981414756,0.08724231055669102,0.03910619989530696,0.6584402622166251,0.09938927751722945,0.026574791553953363,3.260046951447284e-05,0.00011133349090964009,0.0007795396365421169,0.00013941972705410318,0.00022268903470472437,0.00016773941342253422,7.518887326305537e-05,0.0012659726989489467,0.00019109419506256899,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.422340563110115,18.119169715494703,-3.056283987314629,-3.7531131396992166
200.0,30.8811656686,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.0276303010078795,0.0020562608646503655,0.9591763390575392,0.0013561150734958405,0.0041415149513807795,0.030004252303112496,0.005321778614471797,0.11135453928695377,0.0935626236922939,0.03791338129243087,0.6585008907949426,0.09866856493337896,0.026502330967795692,3.74698676820127e-05,0.00011443130473528436,0.00082902652265136,0.00014704234501515165,0.00022897398123693466,0.00019238916149247302,7.795980219819289e-05,0.0013540496110790445,0.00020288830864372055,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.275767107550017,18.011043855110856,-3.2022646105763446,-3.9375413581371834
200.0,32.7699834934,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027623520544890794,0.0021904606639525964,0.9568762300671466,0.0015538552518680026,0.00424367297141281,0.031740911547268394,0.005585330162304189,0.10744936472380215,0.10041040192859624,0.036777748481073395,0.657526832950054,0.09783565191647417,0.026432290200177476,4.292295247376223e-05,0.00011722518751161952,0.0008767957222395299,0.00015428648248840798,0.00023536360679418436,0.00021994503567626,8.056021135653362e-05,0.0014402866630704233,0.00021430514705519512,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.134214630125765,17.906406379144155,-3.340109035185087,-4.112300784203477
200.0,34.6588013182,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02761740803577292,0.002325154381818981,0.9546465263286981,0.0017748699407771206,0.004335729589840484,0.033408217224973356,0.005834656915711093,0.1040113580912204,0.10781777247864957,0.035697278232677356,0.6555710291272906,0.0969025620701621,0.02636486264755289,4.901730736486985e-05,0.000119741613215399,0.0009226483668498264,0.00016113810078993755,0.00024184246502474422,0.000250692966116694,8.300168290172108e-05,0.0015243038509688985,0.00022531341680692317,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,16.997972357426747,17.805514280553837,-3.4700250012502156,-4.277566924377306
200.0,36.547619143,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027612025048544715,0.0024602024705877314,0.952491987292801,0.002021140095773402,0.004418508881026021,0.03499908641056628,0.006069277319833249,0.10096467323237932,0.11580558869837378,0.03466953841882956,0.6526805727250786,0.09587962692533862,0.026300232611666956,5.580777095111324e-05,0.00012200397790010778,0.0009663956506447371,0.0001675850373818,0.0002483935385283826,0.00028490519542360586,8.529408407214076e-05,0.001605726357522854,0.00023588329504074804,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,16.86731108058039,17.708612046722962,-3.5922366477198278,-4.4335376138624
