T,P,z_carbon dioxide,z_hydrogen,z_argon,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_wsd_UC,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5486070954,0.95,0.02,0.03,0.027775355272349336,0.00015937656909418074,0.9996342333659486,2.5494621882637014e-05,0.00034027201216878364,0.940956490464238,0.023639416136989472,0.03540409339877257,0.027765195974141788,7.081221803244547e-07,9.451176027225141e-06,0.00014996641711709146,3.7675690393029936e-06,5.642582937786304e-06,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.890522244100378,19.897800195502914,-0.011853264285303311,-0.01913121568783893
200.0,43.9394217888,0.95,0.02,0.03,0.02792411792717605,0.002738247894674559,0.9577034211726252,0.01376124597561435,0.028535332851760457,0.07898369439193334,0.725408202426769,0.19560810318129762,0.02674302327208434,0.0003842706554479319,0.0007968239996437799,0.00021627693488233024,0.0019863474830747563,0.0005356234767174721,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.5835579815689,18.360128608540787,-1.8846134574245532,-2.6611840843964387
200.0,43.3645493625,0.95,0.02,0.03,0.027921398193198332,0.0027026715594811175,0.9579991598335129,0.013538778908723665,0.028462061257763467,0.07966452265149578,0.7230025727415244,0.19733290460697975,0.026748676010460968,0.00037802163696014867,0.0007947005457772171,0.0002153070396698369,0.0019540384907801955,0.0005333260290310846,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.59777136615098,18.369297285406002,-1.865312452870958,-2.6368383721259807
200.0,42.7896769362,0.95,0.02,0.03,0.027918682745305137,0.002667086115743956,0.9582968672404458,0.013316379131431485,0.028386753628122714,0.08036482570211334,0.720542943563633,0.1990922307342536,0.026754386212305803,0.00037177576428663764,0.0007925207687126977,0.00021433991082428952,0.0019217500805758464,0.0005309961243438199,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.612101144074956,18.378544004627233,-1.8459227972463985,-2.6123656577986765
200.0,42.2148045099,0.95,0.02,0.03,0.027915971760141104,0.00263149161613798,0.9585966160550653,0.013094056228517167,0.028309327716417455,0.08108538907857718,0.7180276200316582,0.20088699088976447,0.026760156063160026,0.00036553330390098497,0.0007902823930800895,0.000213375521551562,0.0018894836622688157,0.000528632432317602,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.626551768454604,18.38787188817081,-1.8264434530170277,-2.587763572733234
200.0,41.6399320836,0.95,0.02,0.03,0.027913265423407295,0.0025958881114970423,0.958898482706082,0.01287182029016769,0.028229697003750248,0.08182704141473277,0.7154548401586253,0.20271811842664203,0.026765987861877397,0.0003592945362418502,0.0007879830252880463,0.0002124138440074809,0.001857240713880792,0.0005262335536087696,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.641127924543657,18.397284220076244,-1.8068733361435623,-2.56302963167615
200.0,41.0650596573,0.95,0.02,0.03,0.027910563930419297,0.002560275650742037,0.9592025476245747,0.01264968194363497,0.0281477704317903,0.08259065744694498,0.712822771794357,0.20458657075869807,0.02677188402769675,0.00035305975658729446,0.0007856201461352492,0.00021145484924018973,0.00182502278591954,0.0005237980155823075,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.65583454435702,18.406784456610296,-1.7872113130553426,-2.5381612253086185
200.0,40.490187231,0.95,0.02,0.03,0.027907867486704065,0.00252465428080822,0.9595088954959964,0.01242765238718481,0.028063452116818807,0.08337716127259864,0.7101295094484505,0.20649332927895078,0.026777847107816045,0.0003468292759923751,0.000783191102895644,0.0002104985071285035,0.001792831505957272,0.0005213242677224445,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.670676822342443,18.416376237145762,-1.7674561970869025,-2.5131556118902214
200.0,39.9153148047,0.95,0.02,0.03,0.027905176308638886,0.002489024046571101,0.9598176155302408,0.012205743426464348,0.02797664104329477,0.08418752988958457,0.7073730709682484,0.20843939914216697,0.02678387978550874,0.00034060342229349773,0.0007806931008366435,0.0002095447863165993,0.0017606685835368163,0.0005188106767176853,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.685660232188074,18.426063395823196,-1.7476067449403452,-2.488009908575467
200.0,39.3404423784,0.95,0.02,0.03,0.02790249062413533,0.002453384990774247,0.9601288017511147,0.01198396751350802,0.02788723073537723,0.08502279704530968,0.7045513940675818,0.21042580888710835,0.026789984888822765,0.0003343825411855999,0.0007781231941269617,0.00020859365414460776,0.001728535815434477,0.0005162555211951618,19.91263411995266,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.70079054485243,18.435849974054673,-1.7276616529095552,-2.4627210821117966
