temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_oxygen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_oxygen,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_oxygen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_oxygen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.5486694966910073,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.02827770439022531,48.200405978524685,2.5234351452386212,1222.264372457672,6.845128864385082,0.9996530062454385,1.477384981539308e-05,0.0001556640662086286,7.619904839252833e-05,0.00010035679014502776,0.9409622530876519,0.013695443451682747,0.016193359948082617,0.019970110158943923,0.009178833353638803,19.874813638262964,0.6056379378159903,1.0000000004572132,2.0310713719059454,4.619141082629348,6.147845967203397,3.9951308817405704,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.106246476761643,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.045559153187192315,48.200405978524685,2.5234351452386212,1221.162965418502,9.351701980275879,0.9963087468365814,0.00017175139878765466,0.0016300257777844482,0.0008535619036938284,0.0010359140831526473,0.5962479742454494,0.09880311744245393,0.10610747890776383,0.13953605223669005,0.059305377167642837,19.508707899315453,0.6180880928203131,1.0000000003516116,1.9955933624187268,4.517596877852218,5.974946500885975,3.9123291166561067,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.6638234568322785,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.0628406019841593,48.200405978524685,2.5234351452386212,1220.0830188865289,11.77994301898976,0.9931611195057964,0.0003475314252112128,0.0029690410407933296,0.001659688091593036,0.0018626199366059259,0.44019122892645113,0.1443672068184975,0.14075578199488242,0.19700006785771249,0.07768571440245652,19.161212389243165,0.6300293291272446,1.0000000002804894,1.9632378700207143,4.421865842761463,5.8151539823103455,3.834332352824503,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.221400436902915,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.08012205078112632,48.200405978524685,2.5234351452386212,1219.0257620647442,14.124651633899965,0.99020290790875,0.0005430299229029175,0.004177278425205553,0.0024863768605113273,0.0025904068826302423,0.3513258259466767,0.1760736902525906,0.1558834372733453,0.23164336102545224,0.08507368550193513,18.831777941513568,0.6414882510741059,1.0000000011095602,1.9325981034126811,4.332578299295242,5.665436244348246,3.7611891597699803,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.77897741697355,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.09740349957809331,48.200405978524685,2.5234351452386212,1217.992684621963,16.38285295174134,0.9874256155333488,0.0007588781374794572,0.005261444866679549,0.0033248552168223563,0.003229206245669942,0.29399839776944786,0.20141563432715995,0.16205265616835687,0.2549700973203258,0.08756321441470953,18.519809797780884,0.6524312960969617,1.00000000125275,1.9034712351276326,4.249068948870209,5.524366305865562,3.692932613527214,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.336554397044186,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.11468494837506031,48.200405978524685,2.5234351452386212,1216.98516696535,18.553076800409006,0.9848194048105287,0.000995468949959442,0.006229966131960692,0.004166402718375868,0.003788757389175352,0.25397957761860906,0.22334144947224335,0.16352096494584548,0.2715767611207547,0.0875812468425475,18.224617930549687,0.6629029559623589,1.00000000139239,1.8759400414757337,4.171219363054214,5.39264864646708,3.629748647846761,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.894131377114821,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.13196639717202732,48.200405978524685,2.5234351452386212,1216.0043535375876,20.635021780851496,0.9823735742533474,0.0012529696624293506,0.007092313248185178,0.0050028030936295044,0.004278339742408562,0.22447673238555033,0.24322211509185512,0.16234166934394031,0.2836830504456318,0.08627643273302242,17.9454398665448,0.6729109845715926,1.0000000013621968,1.849899580936002,4.099018832381326,5.268705393980556,3.570986110290336,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,13.451708357185456,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.14924784596899432,48.200405978524685,2.5234351452386212,1215.0510905113254,22.629347166860615,0.9800770430480022,0.0015313325889651245,0.007858381778444314,0.005826671878323089,0.004706570706265253,0.2018379720716515,0.2617634800897916,0.1596252429437539,0.2925190416904527,0.08425426320435035,17.68146328092314,0.6824639533878859,1.0000000012269583,1.8252536905333474,4.0321927874100725,5.1525339997252315,3.516397952083699,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,15.009285337256092,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.16652929476596132,48.200405978524685,2.5234351452386212,1214.1258961730855,24.537519093229548,0.9779187359433338,0.0018303081459993813,0.008538002562903319,0.0066316660145350195,0.005081287333228404,0.1839254219624265,0.2793523010397183,0.15601947506660024,0.29884602244335395,0.0818567794879009,17.43184612145972,0.6915822966674462,1.0000000011451522,1.801987235619272,3.97010096496559,5.043931979598974,3.4657129769326622,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,16.566862317326727,0.9499990500009501,0.01158898841101159,0.013723986276013725,0.016906983093016907,0.007780992219007781,305.5,90.13,0.6546644844517185,0.1838107435629283,48.200405978524685,2.5234351452386212,1213.2289551378635,26.361686034053594,0.9758878549927501,0.0021494613495935022,0.009140596087730884,0.00741258681299224,0.005409500756933377,0.16940457507532802,0.2962078679764349,0.1519215221814026,0.3031802692214835,0.0792857655453511,17.195729550883538,0.7003061505980028,1.0000000010243522,1.7801352516941948,3.9124144230767595,4.941816891800193,3.4186510693127894,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
