Complexity,Loss,Equation
1,831.5249924719814,"83.13174096020194"
2,829.124672083418,"abs(Pc)"
3,720.0059477086514,"Pc - 10.445990828182168"
4,364.2824970837673,"invsquare(0.13613474900590739 - z_hydrogen)"
5,351.7601666505956,"(Tc * 58.255357433737494) + -17746.00913020775"
7,225.41728317262326,"(460852.1700182094 / (temperature / z_hydrogen)) + 36.630298374330835"
9,111.24622032789476,"(114902.4569969218 / ((temperature + -165.6712831053409) / z_hydrogen)) + 43.74808334641162"
10,73.8295468962786,"invsquare((-0.017826524685104175 - (-2.8920220440590096 / temperature)) / z_hydrogen) + 57.78929446324639"
12,69.63547121943438,"(Pc * 0.6387989709609698) + invsquare((-0.019466730170407107 - (-3.215469812815753 / temperature)) / z_hydrogen)"
14,46.12345494734032,"invsquare(inv_(7.917354510541844 - inv_((-0.04909259102569394 - (-9.015999088584705 / temperature)) / (z_hydrogen + -0.01321778185165414))))"
16,45.39114829943108,"invsquare(inv_(10.520393159138873 - inv_((-0.0634613412277075 - (-11.739334257851338 / temperature)) / (z_hydrogen + -0.013191356414112213)))) + -48.057520293036745"
17,45.181715459819756,"invsquare(inv_(inv_((-0.04851797817559536 - (-8.896354566518086 / temperature)) / (z_hydrogen + -0.013387828328830655)) - 8.140105660650717)) + safelog(z_argon)"
18,44.8264175954744,"invsquare(inv_(inv_((-0.04870776513545145 - (-8.939516104943214 / temperature)) / (z_hydrogen + -0.013570302274904892)) - 8.395091755811555)) + safelog(square(z_argon))"
19,37.55283134443718,"(invsquare(z_hydrogen + (-0.2746257241489444 - (-0.34637464622545666 / (temperature / Pc)))) - (-9.945328864855849 / invsquare(temperature / Pc))) + -69.64925365125664"
21,37.372729915725344,"invsquare((-0.3479215167225042 / (temperature / Pc)) - (z_hydrogen + -0.27540502241194037)) + (-69.44371990159418 - ((z_argon + -9.975759273522746) / invsquare(temperature / Pc)))"
22,19.466655818813905,"invsquare((-0.5004370277751331 / (temperature / Pc)) - (z_hydrogen + -0.3530626519097199)) - ((-9.437635884305427 / invsquare(temperature / Pc)) + (safelog(z_hydrogen) * -11.865617195841082))"
24,19.4608437426332,"(invsquare((z_hydrogen + -0.35306268322263357) - (-0.5004370916031605 / (temperature / Pc))) - ((safelog(z_hydrogen) * -11.865616425338697) + (-9.437636072542643 / invsquare(temperature / Pc)))) - z_hydrogen"
25,19.041565754572346,"((invsquare((-0.4574453005179672 / (temperature / Pc)) - (z_hydrogen + -0.33109427660135354)) + -35.36370252634691) - safesqrt(safelog(Tc) / z_hydrogen)) - (-9.742297179299092 / invsquare(temperature / Pc))"
26,16.745815394208734,"(abs(invsquare((-0.33768521631695914 + z_hydrogen) - (-0.47035758461677857 / (temperature / Pc))) - safesqrt(safelog(Tc) / z_hydrogen)) - (-9.371495003197925 / invsquare(temperature / Pc))) + -31.388876716413904"
28,14.148048656493614,"(-25.338020586867746 - (-8.80217940389907 / invsquare(temperature / Pc))) + abs(invsquare((z_hydrogen + -0.3303519895311923) - (-0.453858531704985 / (temperature / Pc))) - safesqrt(safelog(Tc / 0.11221805361710187) / z_hydrogen))"
30,14.070952924318702,"abs(invsquare((-0.43952694664579245 / (temperature / Pc)) - (z_hydrogen + -0.32260247866095926)) + -39.146080388444666) + abs((-0.16389071090653057 - ((temperature / Pc) / safesqrt(z_hydrogen))) - (-10.225058843348222 / invsquare(temperature / Pc)))"
