T,P,z_carbon dioxide,z_argon,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_argon,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,y_carbon dioxide,y_argon,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_nitrogen,rhoL4_methane,rhoL5_oxygen,rhoL6_carbon monoxide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_nitrogen,rhoV4_methane,rhoV5_oxygen,rhoV6_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4414308726,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027774467664337343,0.0001527978737673602,0.9997724337322988,5.179838136808313e-05,1.614389805515261e-05,9.694732073573556e-05,5.992725295909064e-05,2.7494145832405484e-06,0.9805246183755086,0.005618293730085314,0.004412014499989092,0.003104634946534167,0.005714800913376977,0.0006256375345057163,0.027768147132393582,1.4386724683728389e-06,4.483881745091947e-07,2.6926602249188285e-06,1.6644475495248274e-06,7.636352643807215e-08,0.00014982207686433,8.584633361575272e-07,6.741464346290962e-07,4.7438161865426274e-07,8.732094285677702e-07,9.559608502152691e-08,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.897732205858613,-0.004051707734177512,-0.008580791054569659
200.0,2.5536423407,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.02777285529544143,0.00015980972551033154,0.9992743766662658,0.0001715605764822299,5.487667772392026e-05,0.0002925214742645199,0.00019735133714209553,9.313268121400183e-06,0.938877082509865,0.017796639205566903,0.014337099535737767,0.008963476199910348,0.017999624023718044,0.002026078525202259,0.027752702663594635,4.764727065043483e-06,1.5240820295210115e-06,8.124156575557706e-06,5.481010128809295e-06,2.5865604786329494e-07,0.00015004168884384244,2.8440760264480517e-06,2.2912079414205545e-06,1.4324506711260624e-06,2.87651497451955e-06,3.2378705297495034e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.865266886653014,-0.013681750345810428,-0.028106918768422418
200.0,2.6658538089,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.02777143835388332,0.0001668256523299143,0.9988020088272738,0.00029276295543948145,9.620336640165222e-05,0.00045791896301251704,0.0003348394438303504,1.6266444042382596e-05,0.9007193937429262,0.02910059704414564,0.0240741208048683,0.013451802490328445,0.029264396494368582,0.0033896894233628886,0.02773816841588146,8.13044836928825e-06,2.671705859459535e-06,1.2717068252376294e-05,9.298972972783154e-06,4.5174254795992086e-07,0.00015026310042736858,4.854726085079572e-06,4.016180907541316e-06,2.2441057254622082e-06,4.882052035214296e-06,5.654871492483249e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.834653171219994,-0.02378420614080312,-0.047574446051424246
200.0,2.778065277,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027770178219122862,0.00017384588521094564,0.998351401802117,0.0004146386928178474,0.0001400961639688785,0.0005987614463732839,0.0004715066569227653,2.3595237800227813e-05,0.8656302783929797,0.03956256712429867,0.03363906696975182,0.01689193184145644,0.03955796510366632,0.00471819056784702,0.027724396353355926,1.1514590396095761e-05,3.890495441231215e-06,1.662771207652587e-05,1.3093823894248013e-05,6.552439588349108e-07,0.00015048626201262486,6.8777895029411585e-06,5.848013375026789e-06,2.936592843900954e-06,6.876989460590568e-06,8.202380158612995e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.805594931966088,-0.03429253119348985,-0.06699791734700256
200.0,2.8902767451,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027769044069776136,0.00018087059995859154,0.9979194422500746,0.0005365468234148883,0.00018654516222352325,0.0007195303009494214,0.000606646797554425,3.128866578315313e-05,0.8332538836977901,0.04922137625604021,0.04304948949262446,0.019525779969147623,0.0489359238182798,0.00601354676611766,0.027711268969928742,1.4899392384906428e-05,5.180180830788556e-06,1.998066863660377e-05,1.684600165607739e-05,8.68856339016876e-07,0.00015071112986224575,8.902699854217565e-06,7.786386992442069e-06,3.5316395376791798e-06,8.851069900540197e-06,1.087673811466749e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.7778574068968,-0.04515436790870453,-0.08638913372513102
200.0,3.0024882132,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.0277680113754025,0.00018789992670602778,0.9975036725131418,0.0006579493570080306,0.00023555416459790458,0.0008237880265158572,0.0007396982385429006,3.933770019350425e-05,0.8032875166525846,0.058119106002972466,0.052323314304030394,0.02153552525805026,0.05745675294679429,0.007277784835568088,0.02769869332535069,1.8269945229837754e-05,6.540870722078047e-06,2.28749552912127e-05,2.0539949102224456e-05,1.092329706455399e-06,0.0001509376655028877,1.0920575758178385e-05,9.831546922743766e-06,4.046523617563454e-06,1.0796119667468993e-05,1.3674952371854841e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.75125508748087,-0.056328439824056886,-0.10575743175007801
200.0,3.1146996814,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.02776706058717633,0.0001949339591163017,0.997102151365826,0.0007783917659346024,0.0002871366836240266,0.0009143705274715766,0.000870215103042212,4.773455410156065e-05,0.775472040010993,0.06629887742560862,0.0614779410997545,0.023059105399487894,0.06517917765047615,0.008512858413679728,0.027686595848578757,2.1613651325265282e-05,7.97294169098923e-06,2.5389381835431648e-05,2.4163315490048998e-05,1.325448255839881e-06,0.000151165834943338,1.292390266154029e-05,1.1984138456893947e-05,4.495002709202265e-06,1.2705635151352084e-05,1.659445193975109e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.725641218989644,-0.06778221632602666,-0.12511026680345694
200.0,3.2269111495,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027766176067968395,0.00020197276235957916,0.9967133395674892,0.000897487409122518,0.0003413123824793283,0.000993544318491039,0.0009978442589229227,5.64720634949288e-05,0.7495842806883307,0.0738034096794783,0.07052961609592505,0.02420165373557473,0.07216048308517421,0.009720556715517041,0.027674918075723674,2.491979342048062e-05,9.4769397060988e-06,2.7586926478551853e-05,2.7706319381665316e-05,1.5680132579216836e-06,0.0001513956077919403,1.4906278524519935e-05,1.4245061391054619e-05,4.888074858644056e-06,1.4574452101914323e-05,1.9632876915059347e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.700899216411795,-0.07948996913445328,-0.14445364862885768
200.0,3.3391226176,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027765345245763944,0.00020901637964726693,0.9963360087824051,0.0010149055655287302,0.00039810402208681424,0.0010631309947432943,0.00112230745886702,6.554317636894494e-05,0.72543097666365,0.08067414767584616,0.07949302742316969,0.025043879933320932,0.07845551954488013,0.010902448759132943,0.027663613264629974,2.8179203418752494e-05,1.1053495616967631e-05,2.9518199110520017e-05,3.1161254067338825e-05,1.819828920387753e-06,0.0001516269564262171,1.6862218278334337e-05,1.6615344799191836e-05,5.234581115983578e-06,1.6398488658616234e-05,2.2787903689238054e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.67693586065706,-0.09143119338567374,-0.16379244455708175
200.0,3.4513340858,0.99,0.002878,0.002248,0.001624,0.002931,0.000319,0.027764557954990332,0.0002160648374429113,0.9959691703057213,0.0011303624510923653,0.00045753489075593505,0.0011246041415874188,0.0012433876671286374,7.494054371437345e-05,0.7028439105556591,0.0869507837551236,0.08838106920800529,0.025648203438961622,0.0841161787074829,0.012059854334767427,0.027652643750336835,3.13840137834989e-05,1.270325399082333e-05,3.1224136865526045e-05,3.452210894451328e-05,2.080691069136208e-06,0.00015185985528194857,1.8787006957584514e-05,1.9096041351458354e-05,5.541674906741961e-06,1.817454847875117e-05,2.605710466426713e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.65367599211578,-0.1035893645778927,-0.18313060255259472
