Complexity,Loss,Equation
1,817.65607,"82.7648"
3,691.76587,"z_hydrogen * 3016.461"
4,354.39246,"invsquare(z_hydrogen + -0.13626003)"
5,340.85657,"-17662.723 - (Tc * -57.982777)"
7,340.85638,"(z_hydrogen - (Tc * -57.976025)) + -17660.682"
8,338.49173,"-17664.318 - (Tc * (-57.98391 - inv(temperature)))"
9,174.03667,"invsquare(inv(temperature / -18.541248) - (z_hydrogen + -0.2128881))"
10,163.42009,"square(z_hydrogen * ((Tc * -1.409057) + temperature)) + 56.372437"
11,108.08755,"Tc * (((z_hydrogen / (temperature + -162.12238)) + 0.0003408333) * 407.9189)"
12,80.94953,"square((Tc * (z_hydrogen * 56.83008)) / (temperature + -139.54745)) + 58.439873"
13,41.79657,"square(sqrt(temperature) * ((Tc * (z_hydrogen / (temperature + -179.16313))) + 0.4432211))"
14,23.847683,"square((((z_hydrogen * -19.65036) * Tc) / (temperature + -174.70528)) + (temperature * -0.026425865))"
15,23.338654,"square((temperature * 0.026444905) + abs(((z_hydrogen * -20.002209) * Tc) / (temperature + -174.02243)))"
16,22.804987,"square(((((z_hydrogen * -20.476185) * Tc) / (temperature + -171.92023)) + (temperature * -0.02158428)) - 1.255458)"
17,20.80571,"square((((Tc * z_hydrogen) * 15.333037) / (temperature + -175.0776)) + sqrt(temperature * 0.3728456)) + -50.57037"
19,7.25437,"-130.48483 - ((((z_hydrogen * (Tc * -3.0902772)) / (temperature + -168.91396)) + ((0.11019041 - z_hydrogen) * -6.2476435)) * temperature)"
20,7.253106,"abs(-129.23112 - ((((z_hydrogen * Tc) * (-3.0807946 / (temperature + -168.91476))) + ((0.11003897 - z_hydrogen) * -6.211341)) * temperature))"
21,7.2346883,"-130.95981 + ((temperature - -1.7751637) * ((((3.0586236 * z_hydrogen) * Tc) / (temperature + -168.90521)) + (6.166268 * (0.11116879 - z_hydrogen))))"
23,7.2279787,"((temperature - -1.7733024) * ((((z_hydrogen * Tc) * 3.0538168) / ((temperature - z_hydrogen) + -168.91553)) + ((0.11132808 - z_hydrogen) * 6.158331))) + -130.96024"
25,7.2255387,"((temperature - -1.7732996) * ((((z_hydrogen * Tc) * 3.0538065) / (((-168.91554 + temperature) - z_hydrogen) - z_hydrogen)) + (6.1583285 * (0.11132492 - z_hydrogen)))) + -130.96024"
30,6.558799,"z_hydrogen + (-129.78197 - (((1.822327 / square(0.6526113 - (z_hydrogen * temperature))) + temperature) * (((z_hydrogen * (-3.1126995 / (temperature + -168.62064))) * Tc) + ((0.11150593 - z_hydrogen) * -6.0902896))))"
