temperature,pressure,z_carbon dioxide,z_oxygen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_oxygen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_oxygen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.303789779614497,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.027347931856772284,5.4969374205458905,2.2809799798163337,1209.0220400831608,6.288797915545466,0.937153161556835,0.00012849511351160648,0.06271834332965329,0.9718933779203258,0.01362772189846711,0.014478900181207087,20.58395607241767,0.6026372473867333,1.0000000003995584,4.24152125043688,1.0000000000159524,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.4120028232947015,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.028632512147373,5.4969374205458905,2.2809799798163337,1216.7490773994841,6.577577730159024,0.9734018477689614,0.00028729618169595064,0.02631085604934278,0.9658397205944464,0.028306884283432854,0.005853395122120687,20.174254382102344,0.6042359444440301,1.0000000004835807,4.0976609855549,1.0000000000575762,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.5202158669749064,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.029917092437973726,5.4969374205458905,2.2809799798163337,1217.9214401095537,6.80795713199536,0.9791561383416166,0.0006823788945092311,0.020161482763874135,0.9316207898264662,0.06407030214698424,0.004308908026549494,20.076318346902738,0.6054020055765286,1.0000000005309546,4.066703018231725,1.0000000000729694,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.628428910655111,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.031201672728574444,5.4969374205458905,2.2809799798163337,1218.0500241022244,7.029013802959768,0.9799960783918252,0.0011157202469915552,0.018888201361183153,0.8957302393388997,0.10038846055690773,0.0038813001041926643,20.028276672207102,0.6064915605792457,1.0000000005601168,4.053587819309937,1.0000000000735005,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.7366419543353153,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.03248625301917516,5.4969374205458905,2.2809799798163337,1218.0182119989804,7.248804344400022,0.9800795998398714,0.0015550218530645098,0.018365378307064178,0.8619874634358319,0.13437854570384983,0.0036339908603182655,19.987949494448408,0.6075608732802927,1.0000000005907321,4.043222572470898,1.0000000000779015,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.84485499801552,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.033770833309775886,5.4969374205458905,2.2809799798163337,1217.9355796253606,7.468330474370581,0.9799235605796158,0.001996270971287949,0.018080168449096188,0.8305846146862382,0.16596530958733666,0.0034500757264250624,19.950100138578314,0.6086169712796888,1.0000000006195953,4.033738228175775,1.0000000000837401,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.9530680416957247,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.0350554136003766,5.4969374205458905,2.2809799798163337,1217.8305852824187,7.687851555981745,0.9796622740641086,0.002438428040051535,0.017899297895839956,0.8013763923089834,0.1953251420790432,0.003298465611973453,19.91336793358984,0.6096977584645472,1.0000000006441596,4.024649752467454,1.0000000000890792,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0612810853759296,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.03633999389097732,5.4969374205458905,2.2809799798163337,1217.7137865059296,7.9074630697284825,0.9793455838233442,0.0028811096663438136,0.017773306510311986,0.7741717385012694,0.22266115804847247,0.003167103450258088,19.877247796688398,0.6107708313336083,1.000000000662136,4.015777408775625,1.0000000000935108,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.169494129056134,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.03762457418157804,5.4969374205458905,2.2809799798163337,1217.5899850427963,8.127207865376196,0.9789961647731653,0.0033241431973216,0.017679692029513153,0.7487848269578018,0.24816504708346018,0.003050125958737949,19.841509808837515,0.6118332747895998,1.0000000006751024,4.007039605910313,1.000000000096885,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.2777071727363385,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.03890915447217876,5.4969374205458905,2.2809799798163337,1217.4616748702156,8.347107757340959,0.9786257965060466,0.0037674402641960547,0.017606763229757284,0.7250461075322995,0.2720096852795487,0.002944207188151909,19.80603441090902,0.6128854818621435,1.000000000682737,3.998394095223768,1.0000000000989564,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.3859202164165434,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.04019373476277948,5.4969374205458905,2.2809799798163337,1217.330278672009,8.567174851861628,0.9782412001357227,0.0042109514605299875,0.01754784840374729,0.702803872613068,0.29434888894873,0.0028472384382020096,19.770753291480904,0.6139472560132504,1.000000000686308,3.9898168850280333,1.0000000000999203,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.494133260096748,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.0414783150533802,5.4969374205458905,2.2809799798163337,1217.1966667861323,8.787416296540872,0.9778464883624332,0.004654647345532739,0.017498864292034115,0.6819232108595707,0.3153190213765373,0.0027577677638920793,19.73562457534702,0.6150180568837846,1.0000000006868992,3.9812933915662305,1.0000000000999871,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.6023463037769528,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.04276289534398092,5.4969374205458905,2.2809799798163337,1217.0614013061,9.007836509835391,0.9774443180575053,0.005098509526938199,0.017457172415556405,0.6622842824301372,0.33504098594697296,0.0026747316228899823,19.7006211484887,0.6160787035255453,1.0000000006853733,3.972814277021932,1.0000000000993363,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.710559347457157,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.04404747563458164,5.4969374205458905,2.2809799798163337,1216.9248613095458,9.228438320805955,0.9770364816161445,0.005542526100465806,0.01742099228338969,0.6437805289347607,0.35362215732932595,0.0025973137359134495,19.665724667791864,0.6171294479334172,1.000000000682379,3.964373314546162,1.000000000098133,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.8187723911373617,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.04533205592518236,5.4969374205458905,2.2809799798163337,1216.7873116535104,9.449223592130247,0.9766242318494898,0.005986689155697902,0.01738907899481232,0.6263170163779742,0.3711581186579799,0.002524864964045876,19.63092227033718,0.6181726454649678,1.0000000006783676,3.955966215477128,1.0000000000965121,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.926985434817566,0.97,0.012892,0.017108,309.49,84.24,0.6462244337458399,0.046616636215783075,5.4969374205458905,2.2809799798163337,1216.6489429228366,9.670193578934816,0.9762084706595135,0.006430993335431434,0.01736053600505494,0.6098089655569479,0.3877341796096108,0.002456854833441418,19.596204659981552,0.6192420867818407,1.0000000006736218,3.947589948450649,1.0000000000945688,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
