index,split
32,train
64,train
42,train
16,train
60,train
39,train
18,train
24,train
36,train
29,train
23,train
30,train
19,train
68,train
34,train
20,train
35,train
71,train
54,train
52,train
37,train
65,train
38,train
9,train
10,train
7,train
47,train
69,train
66,train
1,train
49,train
14,train
3,train
48,train
44,train
50,train
55,train
51,train
13,train
11,train
73,train
25,train
61,train
6,train
67,train
53,train
43,train
58,train
62,train
2,train
57,train
5,val
8,val
59,val
12,val
33,val
26,val
28,val
56,val
72,val
70,val
63,val
27,test
21,test
4,test
17,test
46,test
41,test
45,test
15,test
40,test
31,test
22,test
