idx,split,source_id,temperature,pressure,actual,predicted,residual
17152,test,88,250.0,39.82208645728133,49.7481031210956,48.29152,1.4565839560565408
7748,test,40,200.0,7.242060747707541,44.01676765723131,41.86731,2.1494580869188127
9684,test,50,200.0,55.55659655047255,121.63578488730565,117.703354,3.9324310054697094
8146,test,42,205.0,15.605195860990046,112.5710137130004,114.38173,-1.8107154129761653
17161,test,88,255.0,39.130736675426434,51.78438378184348,49.47766,2.3067226490309807
15388,test,79,245.0,31.73247599679025,83.23124553212203,79.96556,3.2656846190360937
7396,test,38,215.0,51.26424760712506,74.1686190056508,75.81831,-1.6496945929820157
4648,test,24,205.0,23.62972549951982,94.26307186109342,91.03993,3.22313961011686
15332,test,79,215.0,5.517149797814487,110.06204241609834,111.61289,-1.55084973478057
15416,test,79,260.0,27.103717982825227,79.13606868034877,80.79597,-1.6598984217020103
13888,test,71,270.0,35.687799607850906,35.68789960785091,37.2747,-1.586800556944013
19087,test,98,255.0,25.72428127553995,45.00076717358254,46.3816,-1.380832252686993
9727,test,50,225.0,15.601296648346215,75.23258536132715,76.82228,-1.5896955224619091
2072,test,10,275.0,67.41597173245054,74.89814942713753,73.451164,1.4469851815320567
4072,test,21,210.0,46.542000679353336,130.85195443489903,123.874756,6.977198575524028
12639,test,65,220.0,43.62517934257887,43.62527934257887,45.09803,-1.4727507477531603
12331,test,63,270.0,39.15168092361749,63.04836957042515,64.408966,-1.3605964940279733
19086,test,98,255.0,23.31473303828463,45.00076717358254,46.34325,-1.3424831010756648
12217,test,63,210.0,48.79260114149018,61.463656648969504,59.95374,1.5099174827097386
1921,test,10,200.0,39.04752160524243,111.66569983019112,107.142334,4.523365845816116
15373,test,79,235.0,71.97138453349548,89.08184695693701,87.16455,1.9172961756870137
8173,test,42,220.0,6.768823500172809,90.296559371133,88.947044,1.3495149985744064
15237,test,78,265.0,30.01618328321608,37.0230779730773,35.22525,1.7978277289366744
3130,test,16,220.0,47.50743932189933,59.18171708056763,57.58409,1.5976258940441923
4196,test,21,275.0,40.705636072161575,78.80648385534741,80.30427,-1.4977840279533723
4126,test,21,240.0,14.24203006517389,85.89490604072213,87.72814,-1.8332357439458349
18982,test,98,200.0,28.33649175726365,41.13550743877799,39.373493,1.762014244197914
5032,test,26,200.0,42.90602600751176,42.906126007511766,45.69958,-2.7934551387284685
4732,test,24,245.0,59.62359318694092,59.623693186940926,61.193745,-1.570051472482902
4125,test,21,235.0,90.01385198986142,90.01395198986143,93.13845,-3.1244986326971684
12560,test,64,285.0,51.850049860205466,61.50830603974216,60.133408,1.3748984469687215
4124,test,21,235.0,81.3415504283986,90.01395198986143,88.04945,1.9644982545098628
4137,test,21,245.0,24.15394718881218,82.71455781713829,80.85484,1.8597146774898476
17153,test,88,250.0,43.13072534521942,49.7481031210956,48.222054,1.526049593263572
15499,test,80,200.0,34.732491384999314,98.7203511040806,96.04247,2.6778782647251376
14142,test,73,205.0,13.086651010119166,32.17785177666031,30.724352,1.4534998937257413
16092,test,83,200.0,41.29836666307653,52.33222360751756,50.212654,2.119569493748031
4053,test,21,200.0,2.719736032414056,162.87531207850523,157.58794,5.287375677138044
4168,test,21,260.0,38.13364746447975,77.8812558834888,80.039375,-2.158119421686976
12315,test,63,260.0,44.176833989015066,57.746284204923285,56.326607,1.4196774544350035
4650,test,24,205.0,53.90111679733708,94.26307186109342,91.999054,2.2640179060152974
7211,test,37,215.0,30.3115844228866,30.3116844228866,31.98329,-1.6716052957413297
15324,test,79,210.0,17.01474720459659,117.7543730313632,114.48657,3.267800765738201
9709,test,50,215.0,32.85164052950809,87.73065796055899,90.54773,-2.817071531628514
