T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,y_carbon dioxide,y_hydrogen,y_nitrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4676823785,0.98,0.01,0.01,0.02777520372864057,0.00015436483844706984,0.9999306007735766,1.5307163004871968e-05,5.409206341847018e-05,0.9707035249111986,0.014657283003306173,0.014639192085495273,0.02777327615098805,4.2515957096782885e-07,1.5024180815505552e-06,0.00014984249280291842,2.2625691228783403e-06,2.2597765212731014e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.90824295930674,-0.007931524898630471,-0.009313237449237732
200.0,3.5613453532,0.98,0.01,0.01,0.027774757617771834,0.00022174390103944108,0.998942879995516,0.00024387899701038877,0.0008132410074735733,0.6833989338013343,0.16275796986175675,0.15384309633690887,0.027745396365874392,6.77368003002885e-06,2.2587571867411074e-05,0.00015153954554730263,3.609058716240572e-05,3.411376832973272e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.846010594203836,-0.12002441143227571,-0.1410262276806975
200.0,4.6550083278,0.98,0.01,0.01,0.02777466449638376,0.0002892853560157472,0.9979889317311814,0.0004849035983457643,0.00152616467047272,0.5298356657282307,0.2481106950201904,0.22205363925157898,0.027718807749938002,1.3468034757142831e-05,4.238871168861388e-05,0.00015327369919003163,7.177479074023025e-05,6.423686608548531e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.78637776987751,-0.2268844125574816,-0.26675635424207655
200.0,5.7486713025,0.98,0.01,0.01,0.027774915467047995,0.0003569402231382446,0.9970676367657944,0.000738205332522434,0.0021941579016831908,0.4343352576471847,0.3061063016692695,0.2595584406835458,0.027693469326099254,2.050359070813466e-05,6.094255024060603e-05,0.00015503172378139308,0.00010926165162185188,9.264684773499966e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.729267615109435,-0.3288056121106422,-0.3868291371545496
200.0,6.8423342772,0.98,0.01,0.01,0.027775499606266532,0.00042468104359016646,0.9961778700215534,0.0010034126914642205,0.0028187172869823286,0.36922081143327895,0.3496570926120906,0.2811220959546305,0.02766933803655509,2.7870288816687298e-05,7.829128089475434e-05,0.00015680107951469296,0.00014849273898920613,0.0001193872250862674,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.674600276784137,-0.4260663880136164,-0.5015537902083906
200.0,7.9359972518,0.98,0.01,0.01,0.027776403831058814,0.0004924883114548176,0.9953183658082084,0.0012800385541122342,0.0034015956376792413,0.3219856886871295,0.38457386103261243,0.2934404502802581,0.027646364869158318,3.5554867798346046e-05,9.448409410214663e-05,0.00015857418813414097,0.00018939813144961095,0.00014451599187106568,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.62227861686679,-0.5189501666825329,-0.6112465952920729
200.0,9.0296602265,0.98,0.01,0.01,0.027777613246195192,0.0005603466185958639,0.9944877158076217,0.001567516759324761,0.003944767433053487,0.28615624838719367,0.41384736177970854,0.2999963898330979,0.027624495147796194,4.3541874297452444e-05,0.00010957622410154595,0.0001603466861738421,0.00023189796978807884,0.000168101962633943,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.57219117700913,-0.6077259993192996,-0.7162114821667345
200.0,10.1233232012,0.98,0.01,0.01,0.02777911162021382,0.0006282432479226281,0.9936844009116141,0.0018652280213955622,0.004450371066990348,0.25804680873660046,0.4391692875768601,0.3027839036865395,0.02760366988818903,5.1814377403497894e-05,0.00012362735462129496,0.00016211616523675108,0.00027590513961515327,0.00019022194307072377,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.524216585935076,-0.6926748016605018,-0.8167656340801877
200.0,11.2169861759,0.98,0.01,0.01,0.027780881875657845,0.0006961675285209434,0.9929068312077574,0.002172521477039383,0.00492064731520333,0.2354051364453836,0.4615670972188445,0.303027766335772,0.02758382739131645,6.035456252596081e-05,0.00013669992181543662,0.00016388141204031818,0.000321328025317429,0.00021095809116319632,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.478227700810564,-0.77406804080913,-0.9132174076107766
200.0,12.3106491505,0.98,0.01,0.01,0.02778290654589191,0.0007641104672140566,0.9921533855568007,0.0024887330264401633,0.0053578814167592505,0.21677752261483288,0.48170130175405146,0.30152117563111547,0.027564904790114857,6.91442370912618e-05,0.0001488575186857932,0.00016564197408672568,0.00036807300674090754,0.00023039548638642326,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.434095168476496,-0.8521680424130373,-1.0058659020982113
200.0,13.4043121252,0.98,0.01,0.01,0.02778516817134086,0.0008320644900302281,0.9914224466998817,0.002813200585109791,0.0057643527150085215,0.20118379502767758,0.5000172435262994,0.298798961446023,0.027546839410398434,7.816525135699005e-05,0.00016016350958543706,0.0001673978918120505,0.0004160465927410307,0.0002486200054771469,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.391690367500704,-0.9272251864102401,-1.0949975202526865
