T,P,z_carbon dioxide,z_nitrogen,z_methane,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_methane,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_methane,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_methane,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.375454861,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027839974265356015,0.0001484736454340779,0.953806385360001,5.3316520191856966e-05,0.00038951583239218773,0.04575078228741492,0.9604191575914099,0.01571257898314625,0.013575828429332708,0.010292434996110988,0.026553945222554668,1.4843305500596322e-06,1.0844110749747233e-05,0.0012737006015015372,0.00014259693347232278,2.3329038807986003e-06,2.015652736690619e-06,1.5281553442658778e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,20.416884942540737,-0.045357028429855006,-0.05440229115637152
200.0,2.7570887468,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027781567863503744,0.0001725658355823883,0.982890265368822,0.0003207128134808637,0.0020767081353566187,0.014712313682340609,0.858402285189092,0.07863077820569744,0.060068681793489925,0.0028982548117207126,0.02730623260972113,8.909904792413834e-06,5.769420799510022e-05,0.00040873114099510027,0.00014813090760948722,1.3568985943559625e-05,1.0365802266026183e-05,5.001397633152622e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.91631226594891,-0.040894535322902215,-0.08875706620708357
200.0,3.1387226326,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027766769475146346,0.00019658423575324554,0.981931038234036,0.0006709088948107254,0.003754464121330169,0.013643588749823103,0.7581957417071709,0.14399643369710835,0.09542278884053823,0.0023850357551824827,0.02726505277913559,1.862897262103462e-05,0.00010424933975968268,0.0003788383836300382,0.00014904933043486933,2.8307428869538937e-05,1.8758616017660536e-05,4.688604311767132e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.762597312315407,-0.07113484538970738,-0.15898045987642107
200.0,3.5203565183,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.02775488407407852,0.0002206493778393922,0.9804936254531175,0.0010574360280320432,0.0051463464458517,0.013302592072998807,0.679252440759735,0.20188705332928292,0.11676745506988849,0.0020930508410936005,0.027213486909824242,2.9349014373783403e-05,0.00014283624900965995,0.00036921190087083777,0.00014987662844952412,4.4546252710934464e-05,2.5764666313060075e-05,4.6183036587351946e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.63549816587873,-0.10636846276167589,-0.22894324946260625
200.0,3.9019904041,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027744841688446036,0.0002447614374810279,0.9791037330739967,0.001474064850080069,0.0062907840688366514,0.013131418007086738,0.6156931333316562,0.2534516871469933,0.128974315100901,0.001880864420449617,0.027165078070704562,4.089769590397445e-05,0.0001745368080860713,0.0003643291137514311,0.00015069793636145434,6.203519927808984e-05,3.1567938762227565e-05,4.603630792561687e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.526015363367414,-0.14541653704500135,-0.29821958894232736
200.0,4.2836242899,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027736211911939344,0.00026892031252428176,0.9778268996932523,0.0019152532882732271,0.007231159896909656,0.013026687121564746,0.5634657023704903,0.29954357173862567,0.13527639604305597,0.0017143298478281127,0.027121214103086703,5.312187106858488e-05,0.00020056498326980369,0.00036131095451425095,0.00015152737277818618,8.055335092659083e-05,3.637857070105712e-05,4.610181184476405e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.430139641186106,-0.18750404485925642,-0.36686059941881766
200.0,4.6652581756,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027728692143230902,0.0002931265407054258,0.9766620218021587,0.0023761525535218424,0.00800691787228307,0.012954907772036376,0.5198036362495381,0.34083389092805805,0.13778398125822633,0.0015784915641776744,0.027081560530537525,6.588760264195915e-05,0.00022202136069667065,0.000359222649354746,0.00015236824173992856,9.990745940291206e-05,4.0388141790845104e-05,4.626977717400983e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.344960774244445,-0.23196614393378212,-0.43493366005119327
200.0,5.0468920614,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.02772204843793559,0.00031738100091381285,0.9755941880578343,0.00285274308516452,0.008651177767281588,0.012901891089719555,0.48276700153359803,0.3778967540595247,0.13787129167606618,0.0014649527308110788,0.027045469337107723,7.908388198791664e-05,0.00023982836910977167,0.0003576668497301751,0.00015322107415489356,0.00011993725004549292,4.3757728549430116e-05,4.649481639962436e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.268216205876133,-0.27824475365405377,-0.5024844232654608
200.0,5.4285259472,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.027716098592166144,0.0003416846693008631,0.9746070127939618,0.0033418081000052675,0.00919060771770706,0.012860571388325961,0.45095839374847996,0.41124002518993175,0.1364332132586371,0.0013683678029512288,0.027012304055213977,9.26218827758454e-05,0.00025472778962589196,0.00035644486455043334,0.00015408556963639777,0.00014051441201030042,4.661713735393155e-05,4.675503002333392e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.198145985062034,-0.3258869616977833,-0.5695396671313304
200.0,5.8101598329,0.9600000000000001,0.014720000000000002,0.012740000000000001,0.012540000000000003,0.02771070130824332,0.00036603849003571373,0.973685930153604,0.0038408220458401392,0.009646220539057213,0.012827027261498605,0.42334674160568775,0.4413147752344761,0.13405340799157353,0.0012850751682626333,0.02698151997852559,0.00010643187249039213,0.0002673035361112563,0.00035544592111608214,0.00015496120205888542,0.00016153819395727802,4.906870704537706e-05,4.70386974173245e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.13338916463325,-0.3745332272443278,-0.636114012896634
