T,P,z_carbon dioxide,z_hydrogen,z_argon,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,n_exp,gamma_parachor
200.0,2.5488217835523366,0.95,0.02,0.03,0.027775359164232776,0.00015937614266462396,0.9997350215830242,2.5476095239481094e-05,0.00023950232173622612,0.9409702245123679,0.02362652836153368,0.03540324712609838,0.027767999293530504,7.076076953787882e-07,6.652263006891315e-06,0.00014996820474504638,3.765504954817576e-06,5.642432964759994e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,19.890076795199285
200.0,4.6435974879640085,0.95,0.02,0.03,0.027777186057227586,0.00028907118601272645,0.9962993916362269,0.00038735012379451756,0.0033132582399784632,0.5303186639085858,0.1977790768615331,0.27190225922988104,0.02767439357018213,1.0759496457930453e-05,9.203299058752417e-05,0.00015329984514073937,5.7172232316865554e-05,7.859910855512151e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,19.594041421664787
200.0,6.738373192375679,0.95,0.02,0.03,0.02777965674350896,0.00041956735389940086,0.9930687845848859,0.000789768435858459,0.0061414469792556515,0.3736608562059951,0.2770680486685306,0.34927109512547444,0.02758710995846177,2.1939496055005962e-05,0.000170607288992182,0.00015677589669413388,0.00011624870802992579,0.00014654274917534125,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,19.309224606388874
200.0,8.833148896787351,0.95,0.02,0.03,0.027782791729382746,0.0005506538715462031,0.9900452570623751,0.0012332770965411597,0.008721465841083766,0.29113927165137055,0.32876707075772865,0.3800936575909007,0.02750622117962717,3.42638807178209e-05,0.0002423066690377562,0.00016031696709396893,0.00018103686034964776,0.00020930004410258632,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,19.035928671069584
200.0,10.927924601199022,0.95,0.02,0.03,0.02778659400838566,0.0006821868479142671,0.9872267728903948,0.0017171268442700077,0.011056100265335054,0.2402357254553547,0.3685805831242656,0.39118369142037973,0.027431669532514157,4.771310648263117e-05,0.00030721136938887013,0.0001638856523047857,0.0002514408262039453,0.00026686036940553617,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.774073884658343
200.0,13.022700305610693,0.95,0.02,0.03,0.027791048057961037,0.0008140465467359028,0.9846063818226379,0.0022395277101036866,0.013154090467258437,0.20571838327856962,0.4019755875493773,0.3923060291720531,0.027363243275408067,6.223882221862699e-05,0.0003655659603343464,0.00016746433950801248,0.00032722683891670614,0.00031935536831118413,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.523291930653798
200.0,15.117476010022365,0.95,0.02,0.03,0.02779612244921377,0.0009461324597721058,0.9821729398975358,0.0027978766709919954,0.015029183431472092,0.18078296774152997,0.4312824720969055,0.3879345601615646,0.027300599303696185,7.77701225446921e-05,0.00041775302297289305,0.00017104463395419502,0.0004080503461816398,0.0003670374796362711,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.282994683918197
200.0,17.21225171443404,0.95,0.02,0.03,0.0278017740557476,0.0010783624029657975,0.9799123248192503,0.003389026179179224,0.016698649001570417,0.16193377407598133,0.45763055954354853,0.38043566638047016,0.027243301049067147,9.422094010255436e-05,0.00046425206657789593,0.0001746232937338958,0.0004934915898599635,0.00041024751937193823,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,18.05244546762299
200.0,19.30702741884571,0.95,0.02,0.03,0.02780795269008172,0.0012106712329725965,0.9778087508475697,0.004009554037825209,0.018181695114605146,0.1471912620073611,0.4816269825710259,0.371181755421613,0.027190859483517123,0.00011149748899216956,0.0005055957175724298,0.00017820022665724437,0.0005830919328221352,0.000449379073493217,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.830828516994004
200.0,21.40180312325738,0.95,0.02,0.03,0.027814605315980075,0.0013430087561030243,0.9758459403808789,0.0046559945057660125,0.019498065113355074,0.13535079578358103,0.5036342451140873,0.3610149591023317,0.02714276968089557,0.00012950464953125334,0.0005423309855532517,0.00018177730388286163,0.000676385201061556,0.0004848462511586067,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.61730844636122
200.0,23.49657882766905,0.95,0.02,0.03,0.027821679351488493,0.0014753371718574347,0.9740080198396862,0.005325011075386853,0.020666969084926923,0.12563740950095684,0.5238946138090567,0.35046797668998636,0.027098538813757993,0.00014815075068253794,0.0005749897870479624,0.00018535754041263606,0.0007729211978883966,0.0005170584335564019,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.41107485706313
200.0,25.591354532080725,0.95,0.02,0.03,0.027829124938430032,0.0016076284787398035,0.9722801167690627,0.0060135075458099384,0.021706375685127295,0.1175299768101468,0.5425886299595951,0.3398813932302582,0.027057704844717586,0.00016735065281053653,0.0006040694409019073,0.00018894453782562068,0.0008722809337634581,0.0005464030071507249,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.21137148143658
200.0,27.686130236492396,0.95,0.02,0.03,0.027836896278674098,0.0017398621275223922,0.9706486930771594,0.006718686543329277,0.02263262037951127,0.11066515232299155,0.5598631848248108,0.3294716628521977,0.027019846992219456,0.00018702738043558048,0.0006300219060190608,0.0001925421073632697,0.0009740847518707576,0.000573235268288365,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,17.01751202291027
200.0,29.780905940904066,0.95,0.02,0.03,0.027844952245100172,0.0018720230587504277,0.9691016776805684,0.007438068869610698,0.023460253449820816,0.10478184414591295,0.575845012231287,0.31937314362279995,0.026984589935661888,0.0002071126724700761,0.0006532496369682072,0.00019615402837954256,0.0010779951411633913,0.0005978738892074936,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.82888601810773
200.0,31.87568164531574,0.95,0.02,0.03,0.027853256489776716,0.002004100149768712,0.96762846332168,0.00816948692208459,0.02420204975623545,0.09968758521262165,0.5906471380908345,0.3096652766965438,0.026951603775707253,0.00022754681463069858,0.000674105899438764,0.0001997839044546963,0.0011837160179083025,0.0006206002274057132,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.64495802768001
200.0,33.97045734972741,0.95,0.02,0.03,0.02786177723943344,0.002136085033945682,0.9662198215322412,0.00891106297468209,0.02486911549307676,0.09523735418557926,0.604371975498584,0.30039067031583666,0.02692060143185644,0.0002482780515671555,0.0006928977560098477,0.0002034350869484,0.0012909899317987117,0.0006416600151985701,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.465262868527468
200.0,36.06523305413908,0.95,0.02,0.03,0.0278704869205227,0.0022679712290509992,0.9648677753537341,0.009661180092939389,0.02547104455332634,0.09131978406330266,0.6171128766144327,0.29156733932226464,0.026891334713030082,0.0002692617934170815,0.0007098904140755328,0.00020711064289872039,0.0013995942492384325,0.0006612663369138463,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,3.87,16.289398856251896
