T,P,z_carbon dioxide,z_hydrogen,z_argon,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,n_exp,gamma_parachor_fixed
200.0,2.5486070954254747,0.95,0.02,0.03,0.027775355272349336,0.00015937656909418074,0.9996342333659486,2.5494621882637014e-05,0.00034027201216878364,0.940956490464238,0.023639416136989472,0.03540409339877257,0.027765195974141788,7.081221803244547e-07,9.451176027225141e-06,0.00014996641711709146,3.7675690393029936e-06,5.642582937786304e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,19.049220332550888
200.0,4.5111026196788675,0.95,0.02,0.03,0.027777126802821548,0.0002809798961204524,0.995257121390042,0.0003734460984817602,0.00436943251147616,0.5446647558834569,0.19578082238762978,0.25955442172891335,0.027645383262262353,1.0373259631546838e-05,0.00012137028092764433,0.0001530398465286053,5.501047513685296e-05,7.292957445499417e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,18.76096891535129
200.0,6.473598143932261,0.95,0.02,0.03,0.027779724075305788,0.0004031801860262358,0.9912836020380731,0.0007749877462757025,0.007941410215651232,0.38742446996534863,0.28198105118315964,0.3305944788514917,0.0275375849449929,2.1528945753282104e-05,0.00022061018455960587,0.00015620186987174507,0.00011368917267189982,0.00013328914348259088,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,18.489330257715363
200.0,8.436093668185654,0.95,0.02,0.03,0.027783179740905002,0.0005257451197983307,0.9877136399207619,0.0012300668393682027,0.011056293239869836,0.3031593089331485,0.3419301176553309,0.3549105734115205,0.02744182559046205,3.41751680914937e-05,0.00030717898235145655,0.00015938452719303732,0.00017976809066935927,0.0001865925019359341,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,18.23438487402758
200.0,10.398589192439047,0.95,0.02,0.03,0.027787478150914372,0.0006485180264554699,0.9845290513797368,0.0017358445709474448,0.013735104049315739,0.2506561713295364,0.3899181956872921,0.35942563298317143,0.027357579504154888,4.8234743088585455e-05,0.0003816639036708966,0.00016255504554951508,0.00025286897874620036,0.00023309400215975438,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,17.99538569751178
200.0,12.36108471669244,0.95,0.02,0.03,0.027792562312805778,0.0007713846439363585,0.9816964785481722,0.0022874527159254298,0.016016068735902254,0.21481012306955002,0.4308369779347125,0.35435289899573746,0.027283860552312078,6.357417214495432e-05,0.0004451275883487438,0.0001657012302979302,0.0003323410288187849,0.00027334238481964337,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,17.770981310065117
200.0,14.323580240945834,0.95,0.02,0.03,0.027798348831195634,0.0008942657072555615,0.9791737808314522,0.0028789225433919104,0.017947296625155845,0.18878216310213608,0.46673227725181443,0.3444855596460496,0.027219414325913408,8.002929311920128e-05,0.0004989052121630223,0.00016882141460376648,0.00041738267001559265,0.00030806162263620246,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,17.55949035107685
200.0,16.28607576519923,0.95,0.02,0.03,0.027804743575786994,0.0010171099489287001,0.9769163947460143,0.0035040461995765187,0.019579559054409123,0.16902727691790037,0.4986261340315968,0.33234658905050274,0.02716290985089523,9.742910605693604e-05,0.0005444046188348242,0.0001719193249935229,0.0005071576017193926,0.00033803302221578456,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,17.35915286632284
200.0,18.24857128945262,0.95,0.02,0.03,0.027811653654588007,0.0011398865107362752,0.9748819429884662,0.00415698213995407,0.020961074871579728,0.15352502960264852,0.5271375329062531,0.3193374374910984,0.027113078952507034,0.00011561254752471069,0.0005829621545562632,0.0001750011103044464,0.0006008769630626373,0.0003640084373691915,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,17.1683068347139
200.0,20.21106681370601,0.95,0.02,0.03,0.027818994491675963,0.001262578163700762,0.9730327571614129,0.004832575462335434,0.022134667376251683,0.14103968138261772,0.552712801190388,0.30624751742699413,0.02706879291169362,0.00013443739016731786,0.0006157641898150252,0.00017807362192900602,0.0006978431135808644,0.0003866614281908914,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,77.54368100633978,34.052431631256816,56.55314330349872,3.87,16.985482165753243
