method,target,N_train,n_trials,r2_y,r2_err,rmse_y,rmse_err,mae_y,mae_err,mape_y,mape_err
AL-MT,P_bubble,25,20,0.9131034638032819,0.08000877943461736,6.919256926718754,1.5232081583633674,3.4567124488204812,1.1102815300949291,15.59345750455326,12.411653031681059
AL-MT,P_bubble,50,20,0.9630417328724379,0.02858342861363506,4.953700543030111,0.9728748816701104,2.430264944625493,0.66291049275733,6.533516110214235,2.3775526642513958
AL-MT,P_bubble,75,20,0.9741077881246015,0.007649817248972025,4.08432466717362,0.6452649180293011,1.9993665722555078,0.3271703246349785,4.812398812035802,1.1511221724840939
AL-MT,P_bubble,100,20,0.9826824679312519,0.00762734735576387,3.761909375529355,0.792732069095209,1.7681501265115513,0.3993901173445916,4.412895457809845,1.2399115647450356
AL-ST,P_bubble,25,20,0.8830207239740118,0.03240273286158596,10.921383163704206,1.4850795062922544,8.190354557152641,1.1971879795264924,30.624822280473058,5.058990086731329
AL-ST,P_bubble,50,20,0.9546496233713115,0.008464189042802174,7.069609170307389,0.6704159359497691,5.137523184153876,0.5748643920224384,17.361356417360604,2.547192953462791
AL-ST,P_bubble,75,20,0.9724140062071859,0.00442418224042899,5.336636189834932,0.41070766775608175,3.774787619393578,0.3036188271100137,11.988526687432548,1.3401252272351798
AL-ST,P_bubble,100,20,0.979685107200398,0.0024540467305240116,4.350972135540959,0.2417699371599801,3.0398214446783354,0.17077292109728492,9.426836049767596,0.8383377233425916
Random,P_bubble,25,20,0.863143479531295,0.05744783754279671,7.57087319246258,1.8362051844720368,5.118933075086369,1.0718332913690098,17.6881901290944,3.859168038438219
Random,P_bubble,50,20,0.9247792649718252,0.02419932547425857,6.183728800551296,1.2795095275411046,3.827722953355914,0.6645652387235526,12.74432760807463,2.569934639001517
Random,P_bubble,75,20,0.9499843541435855,0.016628353337643523,5.138545987933491,0.5330670207472099,2.9658720660385502,0.26600986346423366,9.225489211414796,1.2594081723328618
Random,P_bubble,100,20,0.9656917621082013,0.014536333747876027,4.207074220160196,0.7623220281573128,2.448846934310797,0.2840285964429271,7.7426266436729945,0.967630641869223
Stratified,P_bubble,25,20,0.8274770089789444,0.057794289391651925,9.356749948658809,2.2711269596954375,6.319513584702081,1.3176946852127778,21.14955960873239,4.358556920599221
Stratified,P_bubble,50,20,0.9338484862869197,0.029222534850083904,5.865531919282541,1.4368320039958749,3.697729817099373,0.7592542668334652,12.56652556377664,2.522872848003506
Stratified,P_bubble,75,20,0.9463336505619735,0.01843292053295629,5.4353221451109475,0.8740751198180429,3.106157636396843,0.36662752663184683,9.714631623689597,1.0040160631845538
Stratified,P_bubble,100,20,0.9644143409972532,0.01193051861121202,4.386931010102421,0.7136248180126623,2.5518371738724968,0.25936034130142555,8.254181680518085,1.2080055006914183
AL-MT,gamma,25,20,0.9974479452723741,0.0011285527818160244,0.2461803170464562,0.05319730989768057,0.1251597384743231,0.030274571146512854,2.1493224854065667,0.626826233537119
AL-MT,gamma,50,20,0.9981951175243727,0.0004924589087553312,0.22078670062978428,0.03016148341200366,0.11037313029444404,0.014214826379016937,1.860662218612496,0.31959643035262236
AL-MT,gamma,75,20,0.998464919064513,0.0007321973566115024,0.19679546478131288,0.03576113943402778,0.10222094491156061,0.013811749615538318,1.7487337657611246,0.2644376895745304
AL-MT,gamma,100,20,0.9990097760008609,0.0006543949060344536,0.16106787623745575,0.03205345092518707,0.08444049120532696,0.011585500559900827,1.4843186736859573,0.24276934733034142
AL-ST,gamma,25,20,0.9941457022631985,0.0014041832744067025,0.4439338793014658,0.041693922944758655,0.28854108216130725,0.02298209101199467,5.144985299734749,0.8673665810312714
AL-ST,gamma,50,20,0.9976528480384352,0.0002883224386787363,0.29088698464502494,0.01629853045342547,0.18918595646399597,0.010420951779966985,3.1097895908783935,0.2617834590658545
AL-ST,gamma,75,20,0.9985024987105625,0.0001778440539905713,0.23218380237876896,0.013259291336522663,0.15319244649439767,0.007818013882199555,2.5104447404247963,0.18383703770966994
AL-ST,gamma,100,20,0.9988265376126936,0.00011802332138038798,0.2060050941324186,0.00988916649154058,0.1345699343264916,0.0062251328011880755,2.1549946822631427,0.14735437422412323
Random,gamma,25,20,0.9964353443477613,0.0013309209591680067,0.3314578289738007,0.04623486052859036,0.20861152656383597,0.02960070156601963,4.341309666518381,2.46435080229952
Random,gamma,50,20,0.9983679279735262,0.0004781467688602758,0.23620785900523483,0.03177490126997897,0.14383067540541486,0.019414774067421252,2.4590808739498877,0.572538724668291
Random,gamma,75,20,0.9989452755771697,0.00024089140040902874,0.19597596529638242,0.020335003561663192,0.1170663553040832,0.010768698335684678,1.8979504313046114,0.24132539862206454
Random,gamma,100,20,0.9991375087757719,0.00025578908809546503,0.1753894133002203,0.022511714357488513,0.10665049121415004,0.01178399842329795,1.7210423260056498,0.21694614328723402
Stratified,gamma,25,20,0.9965433931574162,0.0016478807274136068,0.3330353116011261,0.06226821973913971,0.21096259346283164,0.034480757456852903,3.7283973067062512,1.3906435026865342
Stratified,gamma,50,20,0.9982741373673873,0.0006969816659409113,0.24071528432702788,0.038554567035526344,0.1464178738650717,0.02210012839488607,2.381245222979768,0.5196469742891149
Stratified,gamma,75,20,0.9988426146216062,0.00022534482544910253,0.20464472333242717,0.01870646940300653,0.12404540731702748,0.01095015131977925,1.9535911957665746,0.25956039858138985
Stratified,gamma,100,20,0.9990736225733775,0.000190279558668525,0.1836679691426226,0.018135019611610226,0.11124905130497689,0.009197795897204625,1.7684101623185184,0.21639099427778669
