method,target,N_train,n_trials,r2_y,r2_err,rmse_y,rmse_err,mae_y,mae_err
AL-MT,P_bubble,25,20,0.9294992644000001,0.07029235264016098,6.7762169216000006,1.85556736299643,3.5657209077999994,1.1938686234496674
AL-MT,P_bubble,50,20,0.9756543558,0.01351562560681234,4.1315099407,0.6629053086232867,2.0476538188999998,0.31836105980778273
AL-MT,P_bubble,75,20,0.9861052880000001,0.0051227966020008986,3.1639568855999998,0.5350944251711007,1.4918231138,0.2883774956822407
AL-MT,P_bubble,100,20,0.9931119554000001,0.0029943757909385547,2.3341816922,0.4471674990716134,1.0388350566,0.2039216446289819
AL-ST,P_bubble,25,20,0.9325407945000002,0.018640714176740278,8.259193383900001,0.9336169409198077,6.3937757338,0.6820016445727115
AL-ST,P_bubble,50,20,0.9789708434,0.0029819909662874983,4.7345085072,0.3019786168044301,3.3759310278,0.22867371161916564
AL-ST,P_bubble,75,20,0.988179365,0.0012581927200235059,3.4137597651,0.12135736270363286,2.4503394852,0.08392708481264606
AL-ST,P_bubble,100,20,0.9915828428000001,0.0008199833934278076,2.7901123684,0.13708526999127793,2.0305870979000002,0.1027170369948373
Random,P_bubble,25,20,0.8617696144,0.05861719541892949,7.4945061322,1.9633691624296992,4.953920656599999,1.0283574486890832
Random,P_bubble,50,20,0.9578122949999999,0.014327622337500021,4.499423879000001,0.8169987030426362,2.8694780204,0.40604740175304055
Random,P_bubble,75,20,0.9668724506999998,0.014732700084702104,4.1417393498,0.7496695560142976,2.4440713772000002,0.31746965147284095
Random,P_bubble,100,20,0.9785217416,0.007410421374954259,3.3144929690999994,0.449815085225964,2.0229445159000004,0.2098319082968182
Stratified,P_bubble,25,20,0.8452449335000001,0.062367095671844855,8.8460024821,1.985345521890511,5.679655354300001,1.1258186242904906
Stratified,P_bubble,50,20,0.9447029382000002,0.01542210303561019,5.334485583600001,0.8319251875085246,3.2493827795000003,0.339339865715141
Stratified,P_bubble,75,20,0.9668209299000001,0.011654180023344606,4.1442746227,0.7194635053129466,2.5257306846,0.2388650641756361
Stratified,P_bubble,100,20,0.9768440303,0.007036918328518491,3.4633090657,0.575379438894443,2.104879081,0.25092001050287066
AL-MT,gamma,25,20,0.9949734895000001,0.0027359476528646402,0.31939866510000003,0.0943763293411549,0.16357876259999998,0.05538171335514743
AL-MT,gamma,50,20,0.9974658240999998,0.0008909918028726813,0.2415414201,0.04132376974107731,0.11493385029999999,0.017756465129248618
AL-MT,gamma,75,20,0.9985851451000001,0.0005982896360408509,0.1863809132,0.03232235903219696,0.0878603758,0.015694228978195546
AL-MT,gamma,100,20,0.9991949697999999,0.0004164095650071152,0.1427816805,0.029707394520759763,0.06486999389999999,0.010575631836417456
AL-ST,gamma,25,20,0.9942100829999999,0.0016601280163021678,0.43833516119999993,0.05717521716237006,0.2994081274,0.0374493747223331
AL-ST,gamma,50,20,0.9979668897,0.0005359482492744212,0.26467162330000005,0.0337011642447217,0.1818171181,0.01868861368744569
AL-ST,gamma,75,20,0.9986875677,0.00033068233454847237,0.2123835106,0.021108425105559412,0.1456685439,0.011211223975920904
AL-ST,gamma,100,20,0.9991724674,0.0001330191203796403,0.1734237581,0.012535808862284377,0.12268790030000001,0.006745357560426256
Random,gamma,25,20,0.9969130020000001,0.001259588481690738,0.3129040231,0.04647073559754313,0.20930956269999998,0.031662348769944344
Random,gamma,50,20,0.9987510258000001,0.00030240575784404555,0.2113230386,0.022549620168921647,0.14716569699999998,0.013014534960428863
Random,gamma,75,20,0.9990015349,0.00023118059960173143,0.19061487650000003,0.020911280736890556,0.13535325589999997,0.011839480832792543
Random,gamma,100,20,0.9992245994,0.00015289190392127225,0.1689009236,0.015847152484425694,0.12216618179999998,0.009688398222044968
Stratified,gamma,25,20,0.9962685243999999,0.001588862303751845,0.344712632,0.06515588963356074,0.23100569980000002,0.040635157099174736
Stratified,gamma,50,20,0.9986622482000002,0.00035383036920143106,0.2179927257,0.02686144336355109,0.1490812045,0.015131948130976939
Stratified,gamma,75,20,0.9989927648000002,0.00015727234484018909,0.19172043700000002,0.012656424138711252,0.13690534029999998,0.007766080359541927
Stratified,gamma,100,20,0.9991990101999999,0.00010590186878505814,0.1727406413,0.01135069606769539,0.12635826999999997,0.00807603936574449
