method,N_train,trial,target,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std
AL-MT,25,0,P_bubble,0.9480739635394986,0.0711507881350214,6.850990476143819,6.626236695654537,3.4711370096210046,3.7612034156106704,6.505186391015272,5.3665786759993335
AL-MT,25,1,P_bubble,0.6681904354382888,0.549951099828774,10.070339568189391,8.67710928385504,6.7134853478383105,7.0590415863039295,46.878969256388544,75.1668984738703
AL-MT,25,2,P_bubble,0.7307189538180551,0.49173322700805727,8.394687232850435,7.216014229666212,4.452257762733501,4.508804880677522,36.89945550641489,65.61495844244509
AL-MT,25,3,P_bubble,0.9096507098001254,0.10267179530969806,8.309951961538271,6.7590986484040325,4.168422666821419,3.2927674727631366,6.701003084335238,5.51674623168957
AL-MT,25,4,P_bubble,0.9240545622578888,0.0935516243098796,6.770325652046218,5.594488005531824,3.694700532319988,3.39539894411822,15.036088248632101,18.506549136785516
AL-MT,25,5,P_bubble,0.8791193928981192,0.21977275724207962,7.167483452685522,5.898335653632398,3.0099991761916853,2.2641328901969273,22.707465605312052,36.747610117113425
AL-MT,25,6,P_bubble,0.9903080929048992,0.002066289514216509,4.252844292483872,1.2256121660864312,1.9999655777591336,0.8149185946847073,14.414706443035561,16.885789211916407
AL-MT,25,7,P_bubble,0.8710064064917653,0.14516554443756263,8.42972213925228,6.739497968149665,3.424741777700568,2.434300640124475,5.942532844387086,4.348095720288838
AL-MT,25,8,P_bubble,0.9531767356973326,0.04865511040364853,6.291405800726086,4.200161254932108,2.728577565117054,1.6723512392721689,14.617023612883852,22.026701776110365
AL-MT,25,9,P_bubble,0.9413269153184836,0.06250479416470084,7.238394783603878,7.206341641889982,3.3269974816234464,3.683636931405752,4.262438206928389,5.104565954371286
AL-MT,25,10,P_bubble,0.9322120426593988,0.07503489518665289,7.7308871769519785,5.790837598429484,4.3700895454040785,3.4318844558064803,33.098921568083,49.27521826626425
AL-MT,25,11,P_bubble,0.933990947619912,0.08683837717559759,6.081366331217538,5.040730180210763,3.269949669327392,2.851017173255911,13.125042309112965,14.304787500012027
AL-MT,25,12,P_bubble,0.9489620747416222,0.07057112096071186,6.1625661718118545,4.575242139392578,2.960882583474482,2.3533420595568986,21.791427260033565,34.462459663187005
AL-MT,25,13,P_bubble,0.898692716207756,0.16405090619840346,7.524515044162901,3.2609030533616443,3.712708043796453,2.265878034170662,21.053655619365003,32.13475055685414
AL-MT,25,14,P_bubble,0.9731031025514991,0.047934297646719914,4.225372675014584,5.453911049564539,1.7380629780237178,2.0383814023220554,2.853385354089754,2.3964386926771706
AL-MT,25,15,P_bubble,0.9829532196615091,0.01776257521019271,4.256492414415543,4.159863475693677,1.8834917749040998,1.8508464718614372,3.390447804357934,2.6671232040970674
AL-MT,25,16,P_bubble,0.9518490474409305,0.05978421005198251,7.338353082590143,6.315426738035268,3.1503482740635813,2.744597241048749,3.8295340689158315,2.862812977520519
AL-MT,25,17,P_bubble,0.9676834051356963,0.03770521811582995,5.700233318517293,4.087646920681236,2.770544609594399,1.8800505166449117,9.520299820390278,7.239405556407441
AL-MT,25,18,P_bubble,0.9304050425652471,0.09994256763193621,8.130692622483341,7.824589855692803,3.7748433258162324,3.7253383476968893,4.9103219125645845,4.424402602913522
AL-MT,25,19,P_bubble,0.9265915093176094,0.088976748141133,7.45851433769013,6.420047065674641,4.513043274279076,3.9201546440054202,24.33124517481931,36.414306644247745
AL-MT,50,0,P_bubble,0.9778203965023217,0.01955750249030543,5.0265811615098155,1.7906314928231193,2.1381598701265774,1.187960820100543,4.807657741814749,3.386325474423784
AL-MT,50,1,P_bubble,0.9491262134959332,0.09073335605419833,4.381111082033873,3.7210007249326775,2.1119117610699663,2.1700102134192347,5.745584734709328,5.49437141881747
AL-MT,50,2,P_bubble,0.9730614232043259,0.038507983225145176,4.299662745159655,3.387336907129439,2.1718790966504775,2.232243450378085,5.148346958315978,6.66444676833292
AL-MT,50,3,P_bubble,0.9765071727022118,0.01909600969551012,4.738838923941604,2.3990773748812217,2.1318616488105637,1.0943241703762483,3.979156347796656,2.4508826605665526
AL-MT,50,4,P_bubble,0.9763950795333021,0.020890088786064936,4.829594955671968,1.6583049684216258,2.040735582435445,0.9681423998113508,4.565371779352355,2.7993165510865405
AL-MT,50,5,P_bubble,0.9886576513956609,0.011262266271868554,3.327980950297713,2.097383973694244,1.720678901908726,1.2551179072469698,6.7059092717076485,7.695580749653848
AL-MT,50,6,P_bubble,0.9613476713951314,0.06398874529263722,4.8916430678170695,3.8208898658185917,2.762863062224759,2.981504061271749,11.68792362019364,14.630698083610758
AL-MT,50,7,P_bubble,0.9725846266662579,0.024613418762042455,5.0335193420148,2.3124581643734574,2.399621331370828,1.7120091516752207,6.494209201282968,5.78353543241053
AL-MT,50,8,P_bubble,0.9673564911425558,0.051971188315433306,4.423486630997772,3.0665384664529802,2.1374183108102938,2.054741861198457,4.009413883776572,3.9761303694357277
AL-MT,50,9,P_bubble,0.9409090495167696,0.07083045376725206,6.300418914990282,4.8470120405888535,3.301842109510507,3.502983161678752,8.642729555961848,12.413509013357809
AL-MT,50,10,P_bubble,0.9758381756115988,0.026642728919822868,4.07281953585993,3.022077267725664,1.888117900159409,1.8143517280976504,7.248028032800988,11.070294616731518
AL-MT,50,11,P_bubble,0.9825525094467471,0.022844133832466505,3.801823614371415,1.8565134583842497,1.7752910016549053,1.1985699047871674,5.486412159227934,3.5682727725133114
AL-MT,50,12,P_bubble,0.9551995002027859,0.05385815022840541,5.685465452777359,3.5844886890388463,2.3928849651515227,1.743250874002895,4.505095875240872,3.297078697368308
AL-MT,50,13,P_bubble,0.8530707975864203,0.28192012471094363,7.1284603037162,9.635817804617933,4.500489233253459,6.921755912037309,8.480917960149977,10.634601754736703
AL-MT,50,14,P_bubble,0.9687009806929838,0.04506165762361337,4.06427374336545,4.447153146939695,2.279055081555609,2.7466672809631074,4.876228404062024,6.334699994180447
AL-MT,50,15,P_bubble,0.9811684163862735,0.016632537180747274,4.592840512051001,2.900299669432167,2.0097187273674173,1.2179732108555936,5.635065326227647,5.719818956375487
AL-MT,50,16,P_bubble,0.952616364594372,0.0440676123919592,6.71851054139033,2.6689325083667756,3.441081928968883,2.2123926921717265,9.684886429737775,9.175625008555258
AL-MT,50,17,P_bubble,0.967734613717569,0.03969513242147347,5.121170462367151,2.207287792001919,2.6193709950792234,1.828446439534874,11.602137527715504,8.764432225147313
AL-MT,50,18,P_bubble,0.9629428179901864,0.031864126022574,5.916125581764116,2.932036928517261,2.6405859577706314,1.3947876769344854,7.084253638943261,8.068793868348338
AL-MT,50,19,P_bubble,0.9772447056653528,0.01483068356589703,4.7196833385047166,2.1312092998761267,2.141731426630666,1.2160025654341748,4.280993755266979,2.928255977989472
AL-MT,75,0,P_bubble,0.9616041984572069,0.04458530408647709,5.506354977589419,3.1567477175295084,2.6491700693191316,1.898276867883007,5.900287834440711,3.7123623901356955
AL-MT,75,1,P_bubble,0.9749775494696442,0.035654432634268735,4.069826177323174,2.9825925395655855,1.9295545928558524,1.681435405109582,4.833286300992915,2.967005663091349
AL-MT,75,2,P_bubble,0.9698911769670339,0.045408844469681235,4.384423342468212,4.085632522079492,2.114520823258959,2.167303763832117,3.5538125804294305,2.5756693199841627
