method,N_train,trial,target,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std
AL-MT,25,12,gamma,0.9959451859999999,0.004782184251868999,0.314657952,0.24559648677749943,0.15899261000000003,0.12923667182455992
AL-MT,25,13,gamma,0.9975308680000001,0.002635747726277298,0.270089782,0.1354452323438219,0.13133761799999996,0.05112099236677997
AL-MT,25,14,gamma,0.998327016,0.0020778037476585965,0.190347086,0.1585661476373695,0.089711542,0.07752106546487332
AL-MT,25,15,gamma,0.9948173879999999,0.0063488252688553275,0.315067152,0.30514339775193633,0.142746412,0.12947454082095886
AL-MT,25,16,gamma,0.996399098,0.0034935557810196944,0.288823928,0.2219232774987369,0.140135458,0.09943334378801175
AL-MT,25,17,gamma,0.992890762,0.005708732813559954,0.41992277,0.2921840089876044,0.23277162999999995,0.1578069536708112
AL-MT,25,18,gamma,0.993047776,0.008513836286277988,0.36981060800000004,0.3389287666453752,0.192263868,0.19163142314832435
AL-MT,25,19,gamma,0.9915819100000001,0.009707717558975457,0.443227246,0.3429978524062544,0.23185728,0.16983285127906228
AL-MT,50,0,gamma,0.997232,0.0025589111243730324,0.27061879600000005,0.17179297397037535,0.12002299599999999,0.07538855348880667
AL-MT,50,1,gamma,0.9971829700000001,0.00380752966718316,0.254694138,0.1932497995079866,0.121625326,0.10562978069935497
AL-MT,50,2,gamma,0.998044836,0.0032577453692675387,0.179667146,0.19830751915463346,0.10295767199999999,0.11968657596891095
AL-MT,50,3,gamma,0.9973125340000001,0.003177201778915521,0.25069609000000004,0.19755005755804955,0.12288039199999998,0.08905391220112442
AL-MT,50,4,gamma,0.997897862,0.0017896532708588954,0.245485472,0.1357723691678834,0.116629758,0.05416460451414204
AL-MT,50,5,gamma,0.9971401180000001,0.0034179473576952373,0.25098802400000003,0.20984596347495538,0.119989402,0.09350767474674651
AL-MT,50,6,gamma,0.995267022,0.006532152113435223,0.328012236,0.2654209160980402,0.161219684,0.14855630915224888
AL-MT,50,7,gamma,0.9975521520000001,0.001638222282590507,0.27112273,0.13877536924414016,0.11791331399999998,0.06407249715523958
AL-MT,50,8,gamma,0.99611725,0.005273298327108017,0.275507188,0.2657973713678583,0.13710851000000002,0.14066129283238585
AL-MT,50,9,gamma,0.99760315,0.003875513607128726,0.211191046,0.21293480445055282,0.092798888,0.08380435463075994
AL-MT,50,10,gamma,0.9983317280000001,0.0016475172422332936,0.213477994,0.12816985833113287,0.09232706799999998,0.0656595648046185
AL-MT,50,11,gamma,0.996864132,0.005104277927563889,0.24350227200000002,0.24554713394833674,0.110323226,0.09671275138044427
AL-MT,50,12,gamma,0.99851113,0.0010436159136195393,0.21885164000000001,0.09554344836224261,0.10286638399999999,0.045586935818631893
AL-MT,50,13,gamma,0.9988792439999999,0.0012867237779974278,0.171143436,0.10922078147850538,0.093733566,0.07322142844621801
AL-MT,50,14,gamma,0.9981648919999999,0.002444242982646381,0.197151798,0.17138635715498318,0.104822478,0.09699259693917602
AL-MT,50,15,gamma,0.9985410119999999,0.0013642832821727084,0.191018534,0.13716879132961207,0.086374806,0.053258237894419524
AL-MT,50,16,gamma,0.996993638,0.0021953388156218554,0.29975283399999997,0.15486775243230355,0.13133004,0.07314435336834854
AL-MT,50,17,gamma,0.998184706,0.0016843012333973926,0.21552480200000002,0.14065911358364028,0.11775289600000001,0.07987738836623054
AL-MT,50,18,gamma,0.99676361,0.004930390980386861,0.257578122,0.23879403593931264,0.115937772,0.0982604272257145
AL-MT,50,19,gamma,0.9967324959999999,0.003455375506694482,0.284844104,0.20333262887282627,0.130062828,0.07434187573739295
AL-MT,75,0,gamma,0.9984627359999999,0.0013025623442830003,0.2132969,0.10294067843501907,0.092667312,0.04971571091562964
AL-MT,75,1,gamma,0.997291006,0.004558556315763139,0.23178766,0.21205962074247534,0.111072638,0.10938297982086745
AL-MT,75,2,gamma,0.9988603919999999,0.0013735133864567867,0.16251561199999998,0.121523098780427,0.07369775,0.050541961302722316
AL-MT,75,3,gamma,0.998416514,0.0024637176787984725,0.17623899199999998,0.16278579118400946,0.08704770799999999,0.07598403617272444
AL-MT,75,4,gamma,0.9994816099999999,0.000285379950522127,0.133596568,0.03838269855899108,0.060943937999999996,0.019002904140740594
AL-MT,75,5,gamma,0.9987336860000001,0.0012739115225571822,0.18608619600000004,0.1112222922437864,0.09173846,0.05114697618085512
AL-MT,75,6,gamma,0.998395948,0.0015846665276379151,0.209837124,0.12058444611903688,0.106992566,0.06874885756897918
AL-MT,75,7,gamma,0.998597086,0.0016150217460158055,0.184762272,0.13055640601597004,0.07530600200000001,0.04582673988018498
AL-MT,75,8,gamma,0.998669362,0.0009102263773897143,0.198805666,0.09897628796738572,0.101449284,0.05975490317331042
AL-MT,75,9,gamma,0.997816976,0.002907507321762731,0.20463468,0.19225927710902227,0.10451252,0.08975162513444021
AL-MT,75,10,gamma,0.999002044,0.0006690767355871653,0.179596118,0.06920516057716229,0.09270208399999999,0.046634095863143994
AL-MT,75,11,gamma,0.997639034,0.00237863682033722,0.245493792,0.16632873954165653,0.095125174,0.05055329901497492
AL-MT,75,12,gamma,0.999075052,0.0005890213729025408,0.17154047,0.07277687807970606,0.07916403200000001,0.0366135196864685
AL-MT,75,13,gamma,0.998627476,0.0010918152352408419,0.198467522,0.10471439917182994,0.08854298600000002,0.042087003395557925
AL-MT,75,14,gamma,0.99839313,0.002328711345761863,0.18604918,0.15744339326570828,0.08500784800000001,0.06333617009354336
AL-MT,75,15,gamma,0.9980800200000001,0.0024907286636404115,0.211118042,0.16003412298228506,0.108027184,0.08459602688253595
AL-MT,75,16,gamma,0.999349228,0.000697219284340321,0.13770358,0.0760194839126186,0.06448923999999999,0.02071071685383488
AL-MT,75,17,gamma,0.99946409,0.00046254771243624753,0.12701647,0.0626917140244224,0.061969516,0.03228249445429928
AL-MT,75,18,gamma,0.998138298,0.002395910446017546,0.21728850200000002,0.15480560915845606,0.102647034,0.05550807532993216
AL-MT,75,19,gamma,0.9992092140000001,0.0006323438946206491,0.15178291800000002,0.08318668718290023,0.07410424,0.03383371673397707
AL-MT,100,0,gamma,0.999451154,0.0003581684290163087,0.13485362,0.04471512163618835,0.062821982,0.024690542442040758
AL-MT,100,1,gamma,0.999682232,0.00018103328504999737,0.104265176,0.031064951508048166,0.051137774000000004,0.009577446356687362
AL-MT,100,2,gamma,0.9994751940000001,0.0006094395829153212,0.114601972,0.0774892639297322,0.061112096000000005,0.03901647250166657
AL-MT,100,3,gamma,0.9993618900000001,0.0007902253704608407,0.128877454,0.08638571812346892,0.056818062,0.025681638271300686
AL-MT,100,4,gamma,0.999642908,0.0003641876197456422,0.10301214,0.05048713429909723,0.05093844000000001,0.020609805574943206
AL-MT,100,5,gamma,0.9994065320000001,0.00041213839798786255,0.133913322,0.06118183824351093,0.06805450799999999,0.028445025222968177
AL-MT,100,6,gamma,0.999092554,0.0006733111447941648,0.166960602,0.07583301075099719,0.076890116,0.03483612906982669
AL-MT,100,7,gamma,0.999714798,0.00024298417013461486,0.09275102399999999,0.04534263239146029,0.043453996,0.01375439683248175
AL-MT,100,8,gamma,0.9993337480000001,0.00049959471572065,0.13750502599999997,0.07742516888588404,0.060025397999999994,0.029713083845845686
AL-MT,100,9,gamma,0.9989258119999999,0.001418207066565359,0.15319943,0.12511102923668227,0.07521382,0.05967738940570943
AL-MT,100,10,gamma,0.999054926,0.0011329762175015248,0.1616454,0.09070167496631648,0.071075706,0.03126899784656143
AL-MT,100,11,gamma,0.9985650280000001,0.0015673732831256192,0.195021726,0.1259513895530695,0.079267726,0.03189741543360628
AL-MT,100,12,gamma,0.9993310360000001,0.00043522941819689414,0.145963096,0.05958460549152292,0.06369450800000001,0.024055361202045083
AL-MT,100,13,gamma,0.99873984,0.0018442789904458488,0.167337958,0.1357729409440851,0.07403880199999999,0.05116288788421091
AL-MT,100,14,gamma,0.9986869840000001,0.0008903081052894186,0.19764533,0.0984183182955718,0.079395944,0.03486773448841585
AL-MT,100,15,gamma,0.9982377760000001,0.00324084762875144,0.16544286,0.19330408104982327,0.075806858,0.0781414910467668
AL-MT,100,16,gamma,0.9995245779999999,0.00048652334424569715,0.115740298,0.06731779757725928,0.055352387999999995,0.019934950305985112
AL-MT,100,17,gamma,0.9994587340000001,0.0004003493433290575,0.128962982,0.058851505034428944,0.060059171999999994,0.023051149976951173
AL-MT,100,18,gamma,0.998748254,0.00173142937595042,0.175829974,0.12897604998384693,0.074390414,0.037349385743170455
AL-MT,100,19,gamma,0.9994654180000001,0.0003765083160515828,0.13210422,0.050572157598195076,0.057852168,0.019164986447222344
AL-ST,25,0,P_bubble,0.9298340420000001,0.04753259680950257,8.648658068,2.478530084164254,6.676567177999999,1.6513798749246107
AL-ST,25,1,P_bubble,0.923060464,0.034126164233466746,8.875629472,2.4901766532405083,7.061594484000001,1.924746251754043
AL-ST,25,2,P_bubble,0.920622206,0.03901301001372265,9.084277466,2.1388078736960976,6.747038056000001,1.6592100905130123
AL-ST,25,3,P_bubble,0.942065798,0.03614240281049802,8.240042586000001,3.1482273025003567,6.295964958,2.6530124073781827
AL-ST,25,4,P_bubble,0.9680024360000001,0.011516693375400096,6.112047442,2.2424226093756086,4.764216488,1.8538453849546024
AL-ST,25,5,P_bubble,0.9406049500000002,0.02226091466726828,8.784154236000001,3.4954990029107855,6.952981489999999,2.886649381891551
AL-ST,25,6,P_bubble,0.935107906,0.02966048616474826,8.736712742,0.5557683665607963,6.943981061999999,0.5486936156160834
AL-ST,25,7,P_bubble,0.876186644,0.11001090221789048,9.864649702,2.6891871290180207,7.597964088,2.375975383254814
AL-ST,25,8,P_bubble,0.9371053459999998,0.04360438856311396,7.61144439,3.5531644325694653,6.218797273999999,3.235705711804532
AL-ST,25,9,P_bubble,0.9459569779999999,0.03313072236726353,7.504655456,3.0828025760418303,5.9369432060000005,2.2740200263527637
AL-ST,25,10,P_bubble,0.951755712,0.02603271118805369,6.998120646000001,3.3881244539418747,5.519430947999999,2.8133130093534833
AL-ST,25,11,P_bubble,0.92989134,0.022628087268542138,8.337115456,2.844488672823942,6.212637458000001,2.1960927180427174
AL-ST,25,12,P_bubble,0.921725462,0.04183002572087299,9.007886869999998,3.6148490095567,6.936054858,2.8552544754052858
AL-ST,25,13,P_bubble,0.942385922,0.028329365881519745,8.078033358,1.757371551227734,6.094104064,1.1586858880436677
AL-ST,25,14,P_bubble,0.9182268779999999,0.07863514940107011,8.101700174000001,3.0751731387321226,6.587951318,2.6789383991201468
AL-ST,25,15,P_bubble,0.94255684,0.030082899508665085,8.250391982,4.394019996123709,6.216442442,3.1444064472389397
AL-ST,25,16,P_bubble,0.9493495580000001,0.03414769089447156,6.895490248,2.9164441652692297,5.388666402,2.3799910636892774
AL-ST,25,17,P_bubble,0.9185111359999999,0.03518204678646459,9.841102767999999,2.080057127144448,7.262754767999999,1.6809710585446926
AL-ST,25,18,P_bubble,0.9198347200000001,0.07294742212007958,7.95693091,2.166934551338839,5.95873647,1.6443593833903616
AL-ST,25,19,P_bubble,0.938031552,0.035224845892487526,8.254823706,3.2852407468952287,6.502687664,2.597418739106078
AL-ST,50,0,P_bubble,0.979361288,0.010290862919999267,4.934260603999999,1.3521647534485963,3.527445832,1.0110413375486949
AL-ST,50,1,P_bubble,0.98385146,0.0041238063826567,4.169399488000001,0.7892995132634131,2.917485696,0.5030270407974898
AL-ST,50,2,P_bubble,0.978010884,0.0022363869317146424,5.029667196,0.8358578232024785,3.4913109060000003,0.33923809295513585
AL-ST,50,3,P_bubble,0.9795119380000001,0.012556662552476896,4.597943840000001,1.5335972876775712,3.24674616,1.0097699033116065
AL-ST,50,4,P_bubble,0.9826351560000001,0.006371777603983371,4.373032354,1.1617911904607683,3.1533434060000003,0.8630988353781377
AL-ST,50,5,P_bubble,0.9821026939999999,0.009918485901423852,4.576002758,1.5391137498839262,3.3366371379999995,1.0631052317490017
AL-ST,50,6,P_bubble,0.978604492,0.006351254068384931,4.933134198,1.038410590395514,3.6294199760000003,0.8253666286374902
AL-ST,50,7,P_bubble,0.97668964,0.011033976476859109,4.92659386,0.9475580739992381,3.289601298,0.5341290353702235
AL-ST,50,8,P_bubble,0.977441284,0.013355778410705357,4.608180115999999,1.3839853980093126,3.401114118,1.0952492422881925
AL-ST,50,9,P_bubble,0.9715114120000001,0.02000466285904901,5.322963678,1.9862605975970027,3.987572,1.3038452495599815
AL-ST,50,10,P_bubble,0.978842234,0.004740216669004055,5.007864168,0.7022406691257825,3.3942580720000004,0.4292550425412268
AL-ST,50,11,P_bubble,0.978580032,0.009011894468122455,4.976316368,1.4993658769427418,3.399499606,1.0991584599813837
AL-ST,50,12,P_bubble,0.9827859200000001,0.007844999157532145,4.370080327999999,1.4694257583702939,2.969578304,0.7817771172582707
AL-ST,50,13,P_bubble,0.98037814,0.011626516378821295,4.301702898,0.6072333830269766,3.2945070900000006,0.38682794824149874
AL-ST,50,14,P_bubble,0.974793934,0.013277669089353879,4.877556432,1.4238104771155107,3.5195934980000003,1.0549116785808756
AL-ST,50,15,P_bubble,0.9764435739999999,0.011426969411119656,5.093928144,1.3903115473424517,3.433107872,0.5219076930411382
AL-ST,50,16,P_bubble,0.982047848,0.007519979388432931,4.487818352,1.2466881625100976,3.29317292,0.8884523488150917
AL-ST,50,17,P_bubble,0.9799739220000001,0.007421847326832867,4.764784371999999,0.5567669064315854,3.53890417,0.3348756421667583
AL-ST,50,18,P_bubble,0.9765092259999999,0.015160467581639548,4.665234428,1.555583745826898,3.3732991300000004,1.1872857393337712
AL-ST,50,19,P_bubble,0.97934179,0.014679030467793173,4.6737065620000005,1.254882085131264,3.3220233639999996,0.7088431660093096
AL-ST,75,0,P_bubble,0.9873760500000002,0.009310715197594643,3.387046488,0.714411131590185,2.525770988,0.4973120701606117
AL-ST,75,1,P_bubble,0.98864022,0.005317460903796096,3.366075362,0.7475495363447197,2.44811931,0.47992308789087706
AL-ST,75,2,P_bubble,0.987014042,0.008064145916954642,3.4751159799999995,0.949199199765257,2.4754451000000004,0.4366733134486587
AL-ST,75,3,P_bubble,0.988858746,0.004952235903531246,3.343197902,0.8420792129569981,2.356820684,0.4533170723257967
AL-ST,75,4,P_bubble,0.990173736,0.00281019848384845,3.1351326379999995,0.3796323544292008,2.214859686,0.2379452792319078
AL-ST,75,5,P_bubble,0.9864530119999999,0.007656819929904052,3.6542797559999998,1.3879824962350074,2.518006376,0.7345256927752699
AL-ST,75,6,P_bubble,0.987268892,0.006179729294315072,3.41194163,0.1589667596810652,2.465764248,0.16022589314696567
AL-ST,75,7,P_bubble,0.98888059,0.0032322384849017565,3.3620154739999997,0.18973058164693474,2.446496658,0.05567840471987668
AL-ST,75,8,P_bubble,0.989429884,0.005173466548953824,3.3561257859999998,0.9243055458360746,2.443278374,0.5659470297038551
AL-ST,75,9,P_bubble,0.987543316,0.0033423929583016104,3.5629599900000004,0.47237798120486585,2.554344366,0.2128540500765596
AL-ST,75,10,P_bubble,0.9875706799999999,0.004531044608577591,3.518083018,0.46776014187663184,2.468494798,0.3309637358798419
AL-ST,75,11,P_bubble,0.988650432,0.0035772244829834357,3.41610791,0.38482649592767315,2.4291955080000003,0.2849118397412775
AL-ST,75,12,P_bubble,0.988624812,0.005818908672946832,3.4659328240000002,1.0749283643102934,2.4404820280000004,0.4988827851099166
AL-ST,75,13,P_bubble,0.9871886080000001,0.006910677249831325,3.4769081880000003,0.8268094663094585,2.418241334,0.4341268578616238
AL-ST,75,14,P_bubble,0.98786454,0.006823738423978464,3.3625665960000006,0.7262249738518192,2.4688862580000004,0.5536065951642561
AL-ST,75,15,P_bubble,0.9854711120000001,0.00729341604907715,3.581969366,0.6266837263014131,2.484208762,0.3486423883341902
AL-ST,75,16,P_bubble,0.99010993,0.0017563491091465828,3.3075939439999997,0.7211181038216798,2.3140683080000004,0.3996869812044793
AL-ST,75,17,P_bubble,0.9889302019999999,0.004170074970824383,3.32386916,0.3875053938738856,2.449203646,0.321537985084465
