method,N_train,trial,target,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std
AL-MT,25,0,P_bubble,0.9736288240000001,0.02753013512905056,6.013335186000001,5.795115826744112,3.0882975099999994,3.147732067732237
AL-MT,25,1,P_bubble,0.8331096179999999,0.26035238957636214,8.718413172000002,5.526976211083033,5.582606654,4.265821702955348
AL-MT,25,2,P_bubble,0.722199888,0.5346971541582477,7.307090385999999,8.198152725178495,4.06530579,4.686619423528929
AL-MT,25,3,P_bubble,0.9766951840000001,0.01964885762841863,4.852472,4.207433653574776,2.40460415,2.0879928265270222
AL-MT,25,4,P_bubble,0.9172729199999999,0.08481475137595654,9.568807092,9.226249770268877,5.42989469,5.493502208877
AL-MT,25,5,P_bubble,0.948347704,0.08009543459540415,5.756758683999999,4.465606319856122,2.866137922,2.5332848109504953
AL-MT,25,6,P_bubble,0.96784365,0.02520910014645027,7.4625483180000005,4.873678315629609,3.9829820259999997,2.95690304424539
AL-MT,25,7,P_bubble,0.9840843340000001,0.02425674241364458,2.6495704079999998,1.9050688086611052,1.3168927339999998,0.9227161188382035
AL-MT,25,8,P_bubble,0.92554644,0.08861532876547464,8.227705777999999,7.331433545943291,4.130752029999999,4.378152663532656
AL-MT,25,9,P_bubble,0.942255488,0.05555669869386173,6.829697586,5.595865344674836,3.283593248,2.9011549453716015
AL-MT,25,10,P_bubble,0.97037748,0.03134854291587859,6.572761412,5.066103658799036,3.5957537520000002,2.776275408262916
AL-MT,25,11,P_bubble,0.956118208,0.037173873524396356,7.338987668,6.104944632753286,3.8410635419999997,3.310507229256602
AL-MT,25,12,P_bubble,0.943974528,0.06632190035274634,7.202804296000001,5.233881927255444,3.5231678119999996,2.6956603542414195
AL-MT,25,13,P_bubble,0.78328639,0.39730473295851554,8.608896684,6.758545307020504,4.809494774,4.088420662806072
AL-MT,25,14,P_bubble,0.974492266,0.03223283340098391,5.3376193359999995,5.823218794960544,2.437954058,2.7907724448597104
AL-MT,25,15,P_bubble,0.9784212460000001,0.027430509367113574,4.405797957999999,4.889924171326538,2.042459248,2.3456981888406134
AL-MT,25,16,P_bubble,0.9831584240000002,0.02322978825897007,4.278857032,4.581128232656763,2.037968814,1.8585641934247419
AL-MT,25,17,P_bubble,0.929891378,0.07118221038634454,9.725590558,6.405849363115113,5.1012275439999994,3.6418101765819575
AL-MT,25,18,P_bubble,0.9601013380000001,0.04781630498963899,6.4697809820000005,6.490912861667452,3.027848114,3.124321667224744
AL-MT,25,19,P_bubble,0.91917998,0.11642892055793833,8.196843896,5.77751080336562,4.746413744,3.551530142854465
AL-MT,50,0,P_bubble,0.9849697339999999,0.011184717700982186,4.36319797,2.772721569737216,1.896634702,1.2678849729952948
AL-MT,50,1,P_bubble,0.9270093620000001,0.1345975909226404,5.230807724,4.87434241681764,2.5026697739999997,2.827269531764728
AL-MT,50,2,P_bubble,0.9682070420000001,0.05614013902672042,3.868527702,4.242842688349538,2.179220264,2.758331426486707
AL-MT,50,3,P_bubble,0.9814679399999999,0.015734204036115713,4.2510386339999995,2.197855030407099,2.101057236,1.3326602147084916
AL-MT,50,4,P_bubble,0.97851755,0.023109708998817778,4.810604876000001,2.679520746008402,2.27130863,1.1586709475452601
AL-MT,50,5,P_bubble,0.98448675,0.02319789875796771,3.4657103640000004,2.679163960837569,1.693015088,1.5836488436952993
AL-MT,50,6,P_bubble,0.983780172,0.026519017384290387,3.2666371420000004,2.5259949654346308,1.8140569500000001,1.7036229258260827
AL-MT,50,7,P_bubble,0.962722548,0.06220714899781743,4.359236548,4.299264478786307,2.4152313879999996,2.8893286090991186
AL-MT,50,8,P_bubble,0.9685482820000001,0.04388805901709365,4.873651736000001,3.5901978550507856,2.35711733,2.0513867776662478
AL-MT,50,9,P_bubble,0.980802178,0.025654822468855545,3.583958638,2.882965003079962,1.897582688,2.004133897894482
AL-MT,50,10,P_bubble,0.9906954179999999,0.013922502096659772,2.496135864,1.9241430991410131,1.2902760619999998,1.3901246449023972
AL-MT,50,11,P_bubble,0.98495654,0.015106377212137945,4.055917920000001,2.197952664143035,1.931028852,1.2969878567731632
AL-MT,50,12,P_bubble,0.9708742600000001,0.036719364079003315,4.864182212,3.0610690736093824,2.063863306,1.6413402908573858
AL-MT,50,13,P_bubble,0.9813825679999999,0.02559392163053594,3.60172612,2.9160781466957357,1.7874039680000002,1.458239531524004
AL-MT,50,14,P_bubble,0.978483994,0.027924208727617413,3.927398458,3.4848773732761336,2.085216394,2.298934268744875
AL-MT,50,15,P_bubble,0.9834454879999999,0.012251700876159842,4.3563884680000005,2.4067697415422677,1.9242302500000001,1.1423239372702154
AL-MT,50,16,P_bubble,0.9694381140000001,0.0481621904070596,4.329499805999999,3.319437151909541,2.544015582,2.535822358510418
AL-MT,50,17,P_bubble,0.972634738,0.03881739739176723,4.741649669999999,2.796812539657968,2.42082816,1.8731617579314124
AL-MT,50,18,P_bubble,0.981611594,0.02733403378884177,3.62055094,2.472438433509586,1.683953344,1.5305085567351981
AL-MT,50,19,P_bubble,0.9790528439999999,0.019836939633750564,4.563378022,1.9863400864114436,2.09436641,1.1412376296218094
AL-MT,75,0,P_bubble,0.9753814780000001,0.024946267457680638,4.4229558959999995,1.8500515206149326,2.00646498,1.1577449322148952
AL-MT,75,1,P_bubble,0.9814495039999999,0.01849236981641522,3.807062906,1.8310552827600586,1.851736756,1.2910619589841825
AL-MT,75,2,P_bubble,0.991767842,0.010421478457922182,2.221615792,1.4602687667125493,1.090918388,0.7762094072786014
AL-MT,75,3,P_bubble,0.9906956499999999,0.009941253166155663,2.5555987360000003,1.5485602567089625,1.339047818,1.0675610635077453
AL-MT,75,4,P_bubble,0.99143154,0.006686593802318207,3.031078002,1.0256287521095546,1.2086276919999999,0.5495901723303653
AL-MT,75,5,P_bubble,0.992144494,0.008798409500537232,2.350256722,1.6308400928156506,1.1563007299999999,0.89786526159895
AL-MT,75,6,P_bubble,0.983974928,0.02061617127429862,3.2636905819999997,1.7952901059482766,1.575432948,0.987122688871022
AL-MT,75,7,P_bubble,0.986049148,0.016090898339249312,3.071187138,1.8094962032856197,1.434694992,1.0289782629935291
AL-MT,75,8,P_bubble,0.9849570099999999,0.010871943989647834,3.5547114960000004,1.767796142776133,1.7060673579999999,0.8986538755748886
AL-MT,75,9,P_bubble,0.974940066,0.026528716475569307,4.044244146,2.6466807092631415,1.985762072,1.5545602135028571
AL-MT,75,10,P_bubble,0.9856334880000001,0.014623351009263796,3.5086114260000003,2.3249940848108452,1.93921509,1.7998799706921218
AL-MT,75,11,P_bubble,0.98995751,0.008602682709378542,3.0235104020000003,0.9887973071398883,1.32126893,0.6080970048365254
AL-MT,75,12,P_bubble,0.9914823519999999,0.005746076501082811,2.828168454,0.9368068580200709,1.1755535080000001,0.3635469729992676
AL-MT,75,13,P_bubble,0.9878856659999998,0.016009265267731172,2.8808257760000004,1.5769192466564825,1.186796686,0.7200864958490855
AL-MT,75,14,P_bubble,0.9809359719999999,0.027400937101516358,3.1207182739999997,2.5082515788797015,1.557612286,1.4173985680780155
AL-MT,75,15,P_bubble,0.9855098339999999,0.013830549083226755,3.4001022880000003,1.406800948221125,1.612614186,0.9744603763755179
AL-MT,75,16,P_bubble,0.9846425919999999,0.02414060278498483,2.843767778,1.867173399814661,1.340147104,0.9648702166361816
AL-MT,75,17,P_bubble,0.9910425380000001,0.005586502189357505,3.15485512,1.656580565175082,1.296245512,0.6362224003559394
AL-MT,75,18,P_bubble,0.988632494,0.01254517575599898,2.929021148,1.7765885194163833,1.57003299,1.205887958799807
AL-MT,75,19,P_bubble,0.9835916539999999,0.016405287876971382,3.26715563,2.1317450141910803,1.4819222499999998,1.0421436249585223
AL-MT,100,0,P_bubble,0.9939932599999999,0.0056252149993862525,2.573537568,1.3527744637977286,1.174731292,0.8527258144890486
AL-MT,100,1,P_bubble,0.9938586600000001,0.006454375930802288,2.305687082,0.9530677322747072,1.05844914,0.6055407771596654
AL-MT,100,2,P_bubble,0.988530398,0.019724867317829433,2.200224346,2.001016047918691,1.083447794,0.9896593541997138
AL-MT,100,3,P_bubble,0.995845332,0.004406733311410628,1.8333875539999998,1.0691971712790609,0.8055645960000002,0.5199932699180843
AL-MT,100,4,P_bubble,0.997349874,0.001669497772931714,1.7492220280000002,0.5489780926317446,0.6817114240000001,0.19677438810735678
AL-MT,100,5,P_bubble,0.996426688,0.0028717278905174854,1.867208652,1.048476732803074,0.9279279020000001,0.5438212813190342
AL-MT,100,6,P_bubble,0.9874390719999999,0.019974583260376055,2.8108250959999994,1.9272387685542036,1.22709235,0.79095869298826
AL-MT,100,7,P_bubble,0.9958364599999999,0.003393976837581544,2.018292212,0.9946231667212383,0.855926226,0.4940005517929477
AL-MT,100,8,P_bubble,0.9955780080000001,0.003657169869516045,1.999847364,1.1974149007559012,0.783649544,0.4215547389720502
AL-MT,100,9,P_bubble,0.9933933419999998,0.00859400300317703,2.165403822,1.5164541139112646,1.0645635260000001,0.8351204061220638
AL-MT,100,10,P_bubble,0.9910181259999999,0.006354715086933813,3.163851526,1.235693329870151,1.350732132,0.7074217017787439
AL-MT,100,11,P_bubble,0.989900804,0.012781453137266655,2.8599845779999997,1.6245175070193776,1.225129686,0.7226879232331868
AL-MT,100,12,P_bubble,0.997439888,0.0018919687652749304,1.6394670220000003,0.6040807932251517,0.7846536239999999,0.39552325010103245
AL-MT,100,13,P_bubble,0.993825326,0.00464812006565493,2.55638355,1.4392649297298608,1.234131472,0.9541378245596054
AL-MT,100,14,P_bubble,0.9894178979999999,0.012722487782337852,2.857405872,1.8081185602351426,1.30209998,0.847493460572338
AL-MT,100,15,P_bubble,0.9946685860000001,0.005768823916947384,2.286357268,1.0357360494128047,1.0064049320000001,0.5562537793182804
AL-MT,100,16,P_bubble,0.9913657260000001,0.014403863041982311,2.154039576,1.6623145480596389,0.983180196,0.753670412343635
AL-MT,100,17,P_bubble,0.9918498240000002,0.007836531121909985,2.7418012419999997,1.5633199782580551,1.128235712,0.6416508803648524
AL-MT,100,18,P_bubble,0.990046276,0.010152593429967726,2.922805688,1.5246377305536116,1.298442074,0.913654496511389
AL-MT,100,19,P_bubble,0.9944555600000001,0.007882684349336812,1.977901798,1.053110389847298,0.8006275300000001,0.36569268536746324
AL-MT,25,0,gamma,0.998576194,0.0014670364721655622,0.18161796800000002,0.13544684671432428,0.09270498199999999,0.06532783224150068
AL-MT,25,1,gamma,0.991205916,0.006919714248613442,0.49581378000000004,0.2902706199617279,0.291196212,0.19486645605291347
AL-MT,25,2,gamma,0.9974006039999999,0.004125914365725999,0.22648424399999997,0.20091267358259485,0.11817281399999999,0.10984891363095559
AL-MT,25,3,gamma,0.990421212,0.01353190957819686,0.41611821400000004,0.4218091073281755,0.21202862600000003,0.22796691474089362
AL-MT,25,4,gamma,0.9942467599999999,0.00849621925221331,0.35940206799999996,0.30412014186540764,0.18957557399999997,0.17814524428683304
AL-MT,25,5,gamma,0.9964588219999999,0.005399163938268208,0.278545768,0.24076855986024143,0.133888208,0.11894928111892722
AL-MT,25,6,gamma,0.9975339580000002,0.0019250474601048271,0.269062852,0.14199730211313824,0.125141946,0.07118637189354649
AL-MT,25,7,gamma,0.994980734,0.007036394198902158,0.284705392,0.3193642875049374,0.143240812,0.14124284042153662
AL-MT,25,8,gamma,0.99723804,0.0032223752427363362,0.25872396799999997,0.1946360789034686,0.1221404,0.08890452506825419
AL-MT,25,9,gamma,0.9979059920000001,0.003952325959985586,0.16860218200000002,0.2258805935231235,0.09702153999999999,0.12378557137269966
AL-MT,25,10,gamma,0.992064794,0.008713982402969615,0.414243964,0.33089466027972614,0.20237607,0.15366254822704067
AL-MT,25,11,gamma,0.99089676,0.015004925802663579,0.422706378,0.4130124194390183,0.22427165000000002,0.2351702642978868
