temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.412521077703336,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.02881654416750282,11.098683568914682,2.3886347303993425,1221.3203254991704,6.603988376857161,0.9949687719177762,4.619289116133572e-06,4.609596724373231e-05,9.873346826527264e-06,0.004970639479037318,0.9869822577991838,0.0045379347119259665,0.005083350487697342,0.0022860727169007606,0.0011103842842920314,19.95972793096201,0.6048218949882931,1.0000000008547345,2.0357858028749933,4.6485132830607965,6.79907394023202,1.0000000001697016,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.365318372761358,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.0401973049780382,11.098683568914682,2.3886347303993425,1221.3275094766848,7.827317265541782,0.9956569142088476,0.00018340963087867403,0.001220854223851081,0.0003251133008124064,0.0026137086356102742,0.7189373663384563,0.1294022143740656,0.09705648357460271,0.05417724158291683,0.00042669412995852325,19.749041760615945,0.6112924540913668,1.0000000008791892,2.015843695121662,4.585895779184156,6.691198428297667,1.0000000001922904,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.31811566781938,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.05157806578857358,11.098683568914682,2.3886347303993425,1220.8917914630445,8.725130048849216,0.9944328444702268,0.00042164461233750486,0.0019442977903888345,0.0006088151995602061,0.002592397927486751,0.5667583241234798,0.23229394907619363,0.12116308684026571,0.07944964074850337,0.00033499921155744875,19.600502318466752,0.6163770189852145,1.0000000009290828,2.0009825567935806,4.546130224916868,6.608090567178027,1.0000000002209286,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.270912962877402,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.06295882659910895,11.098683568914682,2.3886347303993425,1220.5033723096326,9.388484660864599,0.9934944585309271,0.0007052083451913035,0.0023815091111331274,0.0008344496396639605,0.0025843743730844604,0.4691308100158976,0.31879216698833374,0.12219967037606402,0.08959999156294646,0.0002773610567581925,19.48058969559596,0.6209518241989159,1.0000000009809524,1.9890127213366855,4.515267541273175,6.542375412375353,1.0000000002615173,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.223710257935425,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.07433958740964434,11.098683568914682,2.3886347303993425,1220.1542382277073,9.898004099119555,0.9927398473303698,0.0010194735562266092,0.0026553789159953433,0.001005451656481707,0.0025798485409264846,0.4011512710063899,0.39086923144146263,0.1159317052118704,0.09181036368922998,0.0002374286510469631,19.379790800740235,0.6249668707086414,1.0000000010159444,1.9788857671217581,4.490309665231476,6.486393047786119,1.0000000002985183,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.176507552993447,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.08572034822017972,11.098683568914682,2.3886347303993425,1219.83350630795,10.309744226478252,0.9920991550168686,0.0013536000231061628,0.0028361028835247252,0.0011343852719950607,0.0025767568045054214,0.35108213603338506,0.45067364515623864,0.10785164612284155,0.09018450407468093,0.00020806861285377682,19.291363544838322,0.6284882230923728,1.0000000010337387,1.9699157448872897,4.469861390233952,6.4363903012923105,1.0000000003212124,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.129304848051468,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.0971011090307151,11.098683568914682,2.3886347303993425,1219.5326331215015,10.658597920433659,0.9915304759737306,0.0017005791450687036,0.002961600920387624,0.0012329584354993505,0.002574385525313909,0.31266567840723863,0.5004537442809581,0.09983567768774992,0.08685934189791376,0.00018555772613966656,19.211044108771016,0.6316784673998228,1.000000001036966,1.961679059365279,4.452079855096201,6.390297498959792,1.000000000333609,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.082102143109491,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.1084818698412505,11.098683568914682,2.3886347303993425,1219.245730777828,10.965822770261672,0.9910089950233804,0.0020560356577875986,0.0030526951647427024,0.0013098507964024422,0.0025724233576869694,0.2822581848850937,0.5422015149532626,0.09247573792748628,0.08289681628102735,0.0001677459531302315,19.136206647515145,0.6346361023407346,1.0000000010336287,1.954408469905491,4.435829721177956,6.34685271384441,1.0000000003401954,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.034899438167512,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.11986263065178586,11.098683568914682,2.3886347303993425,1218.9688683305835,11.244570958788145,0.9905196730961762,0.0024172170010331173,0.0031213041802927435,0.0013710916838977785,0.002570714038600365,0.2575929953188476,0.5775384631962636,0.08590360030841028,0.07881164036590887,0.00015330081056957274,19.065214634721414,0.6374760337502814,1.0000000010310728,1.9475453734534296,4.420628200553367,6.305277450860199,1.0000000003446832,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.987696733225535,0.99,0.002825,0.00318,0.001426,0.002569,308.84,83.72,0.6475845097785261,0.13124339146232125,11.098683568914682,2.3886347303993425,1218.6994108106828,11.503217581428395,0.9900530789236184,0.0027823492269259376,0.0031745773035872322,0.0014208233788550973,0.0025691711670133783,0.23718565083397483,0.6077376806722687,0.08008969206639209,0.0748456251999983,0.00014135122736620365,18.997020766270285,0.640518321343098,1.000000001034959,1.9408632896756812,4.406169435909613,6.265079251248478,1.0000000003495688,19.912634119959286,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
