feed,n_points,n_isotherms,phase_eq_s,cdft_sweep_s,total_stage_s,phase_eq_per_point_ms,cdft_per_point_s,total_per_point_s,outer_workers,rayon_threads,node
0,95,19,1.5970208380022086,15.831494268990355,17.428515106992563,16.810745663181144,0.16664730809463532,0.18345805375781646,4,4,c109
1,100,20,1.8113029839878436,57.87386812301702,59.68517110700486,18.113029839878436,0.5787386812301701,0.5968517110700486,4,4,c109
2,100,20,2.201803748990642,51.05917308002245,53.26097682901309,22.01803748990642,0.5105917308002245,0.5326097682901308,4,4,c109
3,105,21,3.5106213690014556,181.10480482599814,184.6154261949996,33.43448922858529,1.724807665009506,1.7582421542380915,4,4,c109
4,100,20,3.0557995150156785,176.05919420701684,179.11499372203252,30.557995150156785,1.7605919420701683,1.7911499372203252,4,4,c109
