temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.402193394418531,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.028682906202012314,11.830629047566875,2.3784093014044863,1220.8256453957833,6.572757890242993,0.99264185315829,4.099332343407248e-06,1.99350751841341e-05,0.007334112434182487,0.9887222620882403,0.00405135497309603,0.005582243242931157,0.0016441396957324777,19.98742077451097,0.6043091585925006,1.000000000497524,2.036547385072397,6.174199226155102,1.0000000000193896,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,2.7232323379589682,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.03251620702040559,11.830629047566875,2.3784093014044863,1221.4023851203015,6.932125331505901,0.9960160442432239,5.9199866107645225e-05,0.0002741291866688804,0.003650626703999624,0.8800260508382797,0.05159107984722578,0.0676556221080342,0.0007272472064603374,19.892253202127314,0.6064935944527526,1.0000000005177254,2.0289737453422076,6.139100167154182,1.0000000000270857,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0442712814994053,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.03634950783879887,11.830629047566875,2.3784093014044863,1221.2227403895724,7.26552220566711,0.9957770572616427,0.00011875494946846812,0.0005222341331655492,0.0035819536557233373,0.7910459948923888,0.09272860996662124,0.11558320636805808,0.0006421887729319297,19.836659698146626,0.6085256196130601,1.00000000053008,2.0228316080421034,6.109958949173847,1.0000000000293259,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.365310225039843,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.040182808657192155,11.830629047566875,2.3784093014044863,1221.0391160998627,7.586149218709257,0.9955016944572294,0.00018163372995880458,0.0007584660370345299,0.0035582057757773348,0.7187850439117611,0.12845644386278934,0.15217815701796794,0.0005803552074815885,19.78334590179814,0.6105327614185996,1.0000000005372323,2.017084131695278,6.082260456800724,1.0000000000311342,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.6863491685802794,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.04401610947558542,11.830629047566875,2.3784093014044863,1220.8585693292764,7.894040286564875,0.9952235636038106,0.0002478362597076811,0.000982765205853586,0.0035458349306282007,0.6589552725179997,0.16016653527125196,0.18034736834918777,0.0005308238615605858,19.73194533558963,0.6124500391086003,1.0000000005417995,2.0116441263625906,6.055821539822343,1.000000000033219,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.007388112120717,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.04784941029397871,11.830629047566875,2.3784093014044863,1220.6824869823483,8.1892329935275,0.9949494034061876,0.00031734319162382427,0.0011952018516311934,0.003538051550557361,0.6086072078983843,0.18880143636124683,0.20210160325580673,0.0004897524845622501,19.682360861450928,0.614330133405791,1.000000000545804,2.006460569127727,6.030712847804098,1.0000000000355114,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.3284270556611535,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.05168271111237198,11.830629047566875,2.3784093014044863,1220.5112681232088,8.471853020221445,0.9946813685537145,0.0003901098810162643,0.0013959402492757463,0.0035325813159935884,0.5656532508037532,0.21501467921291031,0.21887707775843576,0.0004549922249008733,19.634531708704202,0.6161456313921513,1.0000000005521956,2.001500069721875,6.006568069762946,1.0000000000388092,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.649465999201591,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.05551601193076527,11.830629047566875,2.3784093014044863,1220.345003006949,8.742120858389821,0.9944202572473498,0.00046606742935706165,0.0015852289338290388,0.003528446389464093,0.5285756209211685,0.23926948434444362,0.23172976152861782,0.00042513320577010046,19.588400450143894,0.6178885444442586,1.0000000005610472,1.9967390799308304,5.9833180226013125,1.0000000000426066,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.9705049427420285,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.05934931274915855,11.830629047566875,2.3784093014044863,1220.1836465653848,9.00034526740638,0.9941663270459513,0.0005451251851917265,0.0017633913561681976,0.0035251564126887714,0.496244809559445,0.26190051431637046,0.2414554962741499,0.0003991798500345277,19.54390565374654,0.6196092619257655,1.0000000005720222,1.992259712733669,5.960905188776093,1.0000000000473335,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.291543886282465,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.06318261356755182,11.830629047566875,2.3784093014044863,1220.0270797940373,9.246911895606734,0.9939195730800393,0.0006271739425344443,0.0019308149516757747,0.003522438025750463,0.46780309809906107,0.2831537765057861,0.2486667268069995,0.00037639858815343113,19.500980506962915,0.6212558120066831,1.0000000005865313,1.9879482606113268,5.93927847583912,1.0000000000526,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.612582829822902,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.06701591438594509,11.830629047566875,2.3784093014044863,1219.8751377992962,9.482269645680098,0.9936798450425844,0.0007120895101889155,0.0020879389718404732,0.003520126475386128,0.44258756379047975,0.3032131641133841,0.2538430390403438,0.0003562330557923826,19.45955332195542,0.6228495658790089,1.0000000006024816,1.9837866203038221,5.918390473098541,1.0000000000587865,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.933621773363339,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.07084921520433837,11.830629047566875,2.3784093014044863,1219.727625747685,9.706916199913222,0.9934469054889328,0.0007997364008422643,0.002235241816766468,0.0035181162934584155,0.4200778200059788,0.3222185325698298,0.25736539542735154,0.00033825199683991695,19.419548728906932,0.6244166072351227,1.000000000620788,1.9797641986722585,5.898196085521768,1.0000000000654377,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.254660716903777,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.07468251602273167,11.830629047566875,2.3784093014044863,1219.5843295836285,9.921383712949563,0.993220463345409,0.0008899714284822609,0.002373228601187473,0.003516336624921204,0.399859703596024,0.34027823809947244,0.25953994307924527,0.000322115225258228,19.380889076925452,0.6259206996259217,1.0000000006402059,1.9758712979639577,5.878651935937391,1.000000000072713,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.575699660444213,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.07851581684112494,11.830629047566875,2.3784093014044863,1219.4450240098563,10.126225413756481,0.993000195451947,0.0009826470474245945,0.002502419557128419,0.003514737943500042,0.3815995125668017,0.35747795108425706,0.2606149859228042,0.00030755042613699653,19.343495826915223,0.6273760880314846,1.000000000661145,1.9720988803526542,5.859716185764426,1.0000000000807365,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.896738603984651,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.08234911765951822,11.830629047566875,2.3784093014044863,1219.309478720099,10.322003625198885,0.9927857615171176,0.0010776143161519542,0.0026233397028399092,0.0035132844638904545,0.3650253863376715,0.373886905851814,0.2607933709686686,0.0002943368418459438,19.307290816847996,0.6288170734561042,1.0000000006827543,1.968438446058022,5.841348567594566,1.000000000089286,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.217777547525087,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.08618241847791148,11.830629047566875,2.3784093014044863,1219.1774633205023,10.509279497422648,0.992576814958476,0.0011747254187402425,0.00273651003085657,0.003511949591927145,0.3499136223361215,0.38956235522896226,0.26024172892041947,0.0002822935144967363,19.27219734619544,0.6302056317080464,1.000000000705349,1.9648819753861861,5.823510507365583,1.0000000000984062,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.538816491065525,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.09001571929630478,11.830629047566875,2.3784093014044863,1219.0487511710091,10.688604570396894,0.9923730108865214,0.001273835719964046,0.0028424403109232124,0.0035107130825912086,0.33607846813204406,0.4045527523329008,0.2590975088954404,0.0002712706396148091,19.23814104820704,0.6315457620212712,1.0000000007282894,1.9614219045189591,5.80616526549646,1.0000000001081364,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.859855434605962,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.09384902011469806,11.830629047566875,2.3784093014044863,1218.9231223039021,10.860514138492343,0.9921740119541681,0.0013748053647685908,0.0029416234795576514,0.0035095592015057728,0.3233644019860209,0.418900023153816,0.2574744317619411,0.0002611430982218947,19.20505056138522,0.63287662344909,1.000000000751787,1.9580561400485763,5.7892780589710675,1.0000000001186227,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.180894378146398,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.09768232093309132,11.830629047566875,2.3784093014044863,1218.800365552275,11.025522290290832,0.9919794925446116,0.0014775004568258877,0.0030345314998307797,0.0035084754987316567,0.3116402224324904,0.4326411872725782,0.2554667847486034,0.0002518055463279885,19.172858003507734,0.6341741492165675,1.00000000077548,1.9548362422161294,5.772816146387128,1.0000000001298326,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.501933321686836,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.10151562175148461,11.830629047566875,2.3784093014044863,1218.6802800112566,11.184118434513353,0.9917891416442789,0.0015817938657991673,0.0031216125213366316,0.0035074519685854163,0.30079447137095205,0.44580951110103556,0.2531528488902163,0.00024316863779624582,19.14149927697158,0.6354316563577882,1.0000000007991992,1.951690025430816,5.756748870507582,1.0000000001416744,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.822972265227273,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.10534892256987789,11.830629047566875,2.3784093014044863,1218.5626759478141,11.336765093146363,0.991602664675351,0.0016875657198082356,0.003203289144921512,0.0035064804599192986,0.2907318527058943,0.4584353266614037,0.25059766454785576,0.00023515608484626932,19.110914239104602,0.6366547567770774,1.0000000008231698,1.9486118905083842,5.741047659995883,1.000000000154108,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.144011208767711,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.10918222338827119,11.830629047566875,2.3784093014044863,1218.4473752667757,11.483896738534423,0.9914197845144127,0.0017947036400508076,0.003279957592410877,0.003505554253125571,0.2813704030191525,0.4705466120484616,0.24785528258617437,0.0002277023462114807,19.081046732769927,0.6378819334022623,1.0000000008463734,1.9455966437360301,5.725685995381862,1.0000000001735332,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.465050152308148,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.11301552420666446,11.830629047566875,2.3784093014044863,1218.334211628726,11.625919459289529,0.9912402418845393,0.0019031027719730934,0.0033519875927788645,0.0035046677507087095,0.2726392363451271,0.48216940322046153,0.24497060964312573,0.00022075079128564386,19.051844525667846,0.6390758888803226,1.0000000010711847,1.9426395634634483,5.710640629364374,1.0000000003633696,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.786089095848585,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.11684882502505772,11.830629047566875,2.3784093014044863,1218.2230303041601,11.763211265596443,0.9910637952773345,0.0020126656610435154,0.003419722814757689,0.0035038162468643617,0.26447673178638326,0.4933280871021221,0.24198092888205358,0.0002142522294409434,19.02325935497798,0.6402390535090696,1.0000000010743078,1.9397360897762308,5.696027604357769,1.0000000003653289,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.107128039389021,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.120682125843451,11.830629047566875,2.3784093014044863,1218.1136878342802,11.896122865819597,0.9908902205319146,0.002123302015015781,0.0034834816999856,0.0035029957530839637,0.25682906573248915,0.5040456120077895,0.2389171585375272,0.00020816372219405652,18.995246517404208,0.6413746103820394,1.0000000010770291,1.9368822030022657,5.6816819724923135,1.0000000003669414,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.428166982929458,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.12451542666184427,11.830629047566875,2.3784093014044863,1218.006051557129,12.024978776807753,0.9907193101739026,0.0022349283871086795,0.0035435585747863175,0.0035022028642024286,0.2496490146587937,0.5143436409039921,0.2358048968206145,0.0002024476165997877,18.96776484973864,0.642520205733338,1.0000000010794974,1.9340741651415818,5.667584230049118,1.0000000003683194,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.749205926469894,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.12834872748023754,11.830629047566875,2.3784093014044863,1217.8999990454308,12.150078654571942,0.9905508725952508,0.0023474678083297176,0.003600224942300605,0.003501434654118908,0.24289497204748883,0.5242426655935346,0.23266529160585314,0.0001970707531234003,18.940776479695344,0.6436398087311161,1.000000001081826,1.9313085507072791,5.6537171531287544,1.000000000369552,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,11.070244870010335,0.99,0.002732,0.003769,0.003499,308.96,83.75,0.647332988089073,0.13218202829863085,11.830629047566875,2.3784093014044863,1217.79541749322,12.271698756799,0.9903847311383409,0.0024608493906676764,0.003653730877367875,0.0035006885936235896,0.23653013606899506,0.5337620944173349,0.2295157657014177,0.00019200381225234817,18.91424660560396,0.644735170232169,1.0000000010841128,1.9285822247023634,5.6400649602350015,1.00000000037071,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
