temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_nitrogen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,2.4099641749018974,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.028266058818929126,21.807197103247717,2.386103143467225,1219.366717182592,6.56273027009364,0.9857370284271896,6.243161269794429e-06,7.922005055409883e-06,3.88874274590353e-05,0.014209918979026223,0.9788300186984652,0.006180933391752923,0.0008820727676919032,0.010935839288118629,0.0031711358539713895,20.057123604535448,0.6042634290435437,1.000000000765101,2.0380766453005124,4.696416477855559,6.181087867521558,1.0000000001451363,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.0713145527402883,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.03602292461576693,21.807197103247717,2.386103143467225,1220.8108954860907,7.410154796368435,0.9938708141871808,9.900485193466737e-05,0.00011007522144199342,0.0005909240368249937,0.005329181702617556,0.782964570025089,0.07667149785516264,0.009596874619774877,0.12981968927384788,0.0009473682261255439,19.836082822904544,0.609123500087852,1.0000000008784111,2.0215951468571984,4.619660204104479,6.103440671750757,1.000000000181643,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,3.7326649305786797,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.043779790412604734,21.807197103247717,2.386103143467225,1220.412431420446,8.201221608117766,0.9932495380253139,0.00020059510208448922,0.00019609020908743034,0.001141303135012729,0.005212473528501578,0.6500999462953277,0.127996675457124,0.01412740802458833,0.2070044871037389,0.0007714831192210293,19.71081045319908,0.6136958568832569,1.0000000009719958,2.0085326967326633,4.586235332542648,6.040850731581169,1.0000000002189318,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,4.394015308417071,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.05153665620944254,21.807197103247717,2.386103143467225,1220.0073248616002,8.965929595818217,0.9925786563862784,0.0003088124386192498,0.00026747530755410847,0.0016737425379964664,0.005171313329551761,0.5568673325704163,0.16748283379488635,0.016427396136628265,0.2585650397717599,0.0006573977263090416,19.590614156585918,0.6181335404528874,1.000000001055129,1.9962778062216766,4.5543230257526535,5.981384326866357,1.00000000026158,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.0553656862554615,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.05929352200628033,21.807197103247717,2.386103143467225,1219.607919258243,9.704462048924094,0.9919130622923006,0.0004237199962058608,0.0003274026600877165,0.0021867065886700837,0.0051491084627357615,0.4878643912140645,0.19976074743076247,0.01753077521184448,0.2942691103122578,0.0005749758310706846,19.474806142617798,0.6224370347843539,1.0000000010947367,1.9846870839983415,4.5236665580455115,5.92431277865698,1.0000000003022569,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.716716064093854,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.06705038780311814,21.807197103247717,2.386103143467225,1219.2169091300982,10.4168384539678,0.9912627528267313,0.000545359485285398,0.0003782148205232977,0.0026791277283735484,0.005134545139086362,0.4347393369026657,0.2273320479980736,0.01795853345697465,0.31945785763093265,0.0005122240113534234,19.36318040590804,0.6266058506155141,1.0000000011149892,1.9734810193275503,4.494217552152499,5.869400037476894,1.0000000003230958,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.378066441932244,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.07480725359995595,21.807197103247717,2.386103143467225,1218.8352934012978,11.1031137013465,0.9906304521284446,0.0006737367651130981,0.000421671124282694,0.0031502879152170826,0.0051238520669425695,0.3925790971288164,0.2516569019585324,0.017992768296005362,0.3373084984683796,0.00046273414826632637,19.255607806449408,0.6306618233975619,1.0000000011256214,1.9626400924671508,4.465954478807724,5.816522039965916,1.0000000003349,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.039416819770635,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.08256411939679374,21.807197103247717,2.386103143467225,1218.4635149522253,11.763438526748397,0.9900168870081721,0.0008088170377211488,0.0004591163831636921,0.0035997676888923236,0.005115411882050575,0.3583063721498733,0.2736376174667114,0.0177945291692025,0.34983882150989914,0.00042265970431377606,19.151973595362726,0.6345874701635879,1.000000001135577,1.9523459847960063,4.438856996367688,5.76559634753794,1.0000000003440759,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.700767197609027,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.09032098519363156,21.807197103247717,2.386103143467225,1218.1017501728852,12.398088716175181,0.989422056837023,0.0009505230317598977,0.0004915953678010977,0.004027410239409914,0.005108414524006151,0.32989607022811546,0.2938559202987967,0.0174594567355388,0.3583990261618963,0.00038952657565296693,19.05216024010278,0.63838243462504,1.0000000011458412,1.9423620892532534,4.412900134735196,5.717043298490689,1.0000000003523968,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.362117575447417,0.98,0.005135,0.000734,0.00909,0.005041,308.46,85.26,0.6483822861959412,0.09807785099046935,21.807197103247717,2.386103143467225,1217.7500107622734,13.007477818875868,0.9888456334006109,0.0010987354590377596,0.0005199317670672367,0.004433290892827288,0.005102408480456816,0.30596128565955755,0.3126990192979525,0.01704603442109245,0.36393199689299266,0.0003616637284048109,18.956041676186775,0.6420471946133717,1.0000000011553163,1.9326837227376719,4.388171771310263,5.67030774486375,1.0000000003599232,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
