temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,gamma
200.0,2.7419578716436583,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.509139882648803
200.0,13.30959321022401,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,21.084873598347052
200.0,23.877228548804364,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.252311473063116
200.0,34.44486388738471,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.634392319250164
200.0,55.58013456454542,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.66558513457812
200.0,66.14776990312578,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.25127397120029
200.0,76.71540524170614,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.866277061055534
200.0,87.28304058028648,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.50433049161258
200.0,97.85067591886684,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.161416759114797
200.1,2.755801525798939,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.481290295858177
200.1,13.304522142131042,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,21.06122850351708
200.1,23.853242758463143,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.23044666510667
200.1,34.401963374795244,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.613762043715568
200.1,66.04812522379156,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.233327448225552
200.1,76.59684584012366,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.84904541825999
200.1,97.69428707278789,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.145446352046644
200.2,2.769699710813376,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.453447644998725
200.2,13.299559884673055,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,21.037576071307413
200.2,23.82942005853274,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.20857013956418
200.2,34.35928023239242,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.59311682799212
200.2,65.94886075397146,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.215361808514803
200.2,76.47872092783115,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.831793386632775
200.2,87.00858110169082,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.47115602823343
200.2,97.5384412755505,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.12946916084983
200.3,2.7836525728424766,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.425611928253048
200.3,13.294706348216735,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,21.013916360253592
200.3,23.805760123590996,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.186681972991924
200.3,34.31681389896525,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.572456761550324
200.3,55.338921449713766,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.609326696628404
200.3,65.84997522508802,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.19737218460917
200.3,76.36102900046228,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.814518300346563
200.3,86.87208277583653,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.45452243907869
200.3,97.3831365512108,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.113446570812695
200.4,2.797660258214491,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.397783149983876
200.4,13.289961444583716,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.990249429928177
200.4,23.782262630952943,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.16478224167625
200.4,34.27456381732217,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.551781933838445
200.4,55.25916619006062,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.590531010956376
200.4,65.75146737642984,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.17935863425511
200.4,76.24376856279908,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.79722027339877
200.4,86.7360697491683,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.437882301457055
200.5,2.811722913430585,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.36996130444385
200.5,13.285325087045797,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.966575338295705
200.5,23.758927260661007,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.142871021466803
200.5,34.232529434276216,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.531092433852063
200.5,55.17973378150664,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.57171587069962
200.5,65.65333595512185,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.161328865958776
200.5,76.12693812873707,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.77989941891461
200.5,86.60054030235227,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.421194657903165
200.6,2.8258406851644198,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.342146396240786
200.6,13.280797190307952,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.942894144308635
200.6,23.73575369545149,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.12094838851551
200.6,34.19071020059502,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.51038835052904
200.6,55.10062321088209,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.552881381206664
200.6,65.55557971602562,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.14327282167337
200.6,76.01053622116916,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.762555850415076
200.6,96.92044923145622,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.06522873421487
200.7,2.840013720262083,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.314338423740555
200.7,13.276377670508444,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.91920590608504
200.7,23.712741620754805,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.099014417527364
200.7,34.14910557100117,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.48966977154108
200.7,55.02183347149389,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.53402764635968
200.7,65.45819742174025,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.125198262901296
200.7,75.89456137198661,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.745192641756493
200.79999999999995,2.8542421657419097,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,22.286537386896065
200.79999999999995,13.272066445199242,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.89551055902007
200.79999999999995,23.68989072465657,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,20.077069183815347
200.79999999999995,34.107715004113906,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,19.468936784888932
200.79999999999995,44.525539283571234,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.96247939346164
200.79999999999995,54.94336356302857,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.51515295548821
200.79999999999995,65.3611878424859,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,18.10710274724425
200.79999999999995,75.77901212194323,0.96,0.02,0.008,0.0,0.004,0.004,0.002,0.002,17.727804007127137
