temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,gamma
200.0,2.7182484288551407,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,22.495765645796887
200.0,3.465712092262691,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,22.153150109371317
200.0,4.213175755670242,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.81897133934368
200.0,4.960639419077792,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.49274125249844
200.0,5.708103082485343,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.174021839524684
200.0,6.455566745892893,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.862417168379828
200.0,7.203030409300443,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.5575664223436
200.0,7.950494072707993,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.25914210282959
200.0,8.697957736115544,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,19.96684219258904
200.0,9.445421399523095,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,19.68038849445454
200.1,2.731969706821491,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,22.46787503190378
200.1,3.4806547092477835,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,22.125663054799983
200.1,4.2293397116740765,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.79186234454521
200.1,4.9780247141003695,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.465987419688577
200.1,5.726709716526662,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,21.147602522367293
200.1,6.475394718952954,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.83631367070349
200.1,7.224079721379248,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.531761744785022
200.1,7.97276472380554,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,20.233620753107363
200.1,8.721449726231832,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,19.94159006666402
200.1,9.470134728658126,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,19.65539257840133
200.2,2.74574499740446,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,22.439991347123865
