T,P,z_carbon dioxide,z_methane,rho_l,rho_v,x_carbon dioxide,x_methane,y_carbon dioxide,y_methane,rhoL1_carbon dioxide,rhoL2_methane,rhoV1_carbon dioxide,rhoV2_methane,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_methane,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5452383785,0.95,0.05,0.027761747019762813,0.00015942987390582097,0.9980685704578716,0.0019314295421284677,0.9407288373769103,0.059271162623089756,0.027708127161427745,5.3619858335066843e-05,0.00014998027992257036,9.449593983250608e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.8434654685105,-0.05541301801138232
200.0,2.6711764756,0.95,0.05,0.027750602770212608,0.00016743478398130058,0.9964758412219308,0.0035241587780691845,0.8970058062808152,0.10299419371918486,0.02765280523986325,9.77975303493558e-05,0.00015018997340460064,1.724481057669994e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.786525596501658,-0.10026328368406112
200.0,2.7971145727,0.95,0.05,0.027739431195356705,0.00017545480909026906,0.9948806462556651,0.005119353744334845,0.8572026772978897,0.14279732270211032,0.027597423234401036,0.00014200796095566813,0.00015040033209696874,2.505447699330031e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.729587536967955,-0.14442944381321965
200.0,2.9230526698,0.95,0.05,0.027728232101084462,0.0001834899886351111,0.9932829704338664,0.006717029566133574,0.8208152072177076,0.1791847927822924,0.02754198074624486,0.00018625135483959842,0.00015061137304390353,3.287861559120757e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.672651223002244,-0.1879199629912769
200.0,3.0489907669,0.95,0.05,0.027717005299335885,0.00019154036609675355,0.9916827995951496,0.00831720040485042,0.7874220548004857,0.2125779451995143,0.02748647741163901,0.00023052788769687769,0.00015082310864914295,4.071725744761058e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.615716602245293,-0.23074317685018286
200.0,3.174928864,0.95,0.05,0.027705750596426267,0.00019960598835449113,0.9900801189446203,0.009919881055379694,0.7566684214668338,0.24333157853316617,0.027430912845959703,0.00027483775046656357,0.00015103554812352,4.857044023097111e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.55878360182961,-0.2729073175658634
200.0,3.3008669611,0.95,0.05,0.027694467806960655,0.00020768690515116596,0.9884749149566974,0.011525085043302585,0.7282534175047731,0.27174658249522693,0.027375286710256425,0.0003191810967042272,0.00015124869844732627,5.643820670383969e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.501852173509132,-0.3144206022145184
200.0,3.4268050582,0.95,0.05,0.027683156745379273,0.00021578316868647786,0.9868671742183015,0.013132825781698483,0.7019202004756424,0.2980797995243575,0.027319598670754754,0.00036355807462451717,0.00015146256502368192,6.432060366279593e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.44492226805985,-0.35529111979577976
200.0,3.5527431553,0.95,0.05,0.027671817227032342,0.00022389483329506176,0.9852568835761788,0.014743116423821182,0.6774482015208425,0.3225517984791574,0.027263848403995504,0.0004079688230368384,0.00015167715214554843,7.22176811495133e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.387993839497693,-0.39552689049821765
200.0,3.6786812524,0.95,0.05,0.027660449067785305,0.00023202195518945393,0.9836440300834379,0.016355969916562137,0.6546469414597483,0.3453530585402516,0.02720803559495401,0.00045241347283129564,0.0001518924633162868,8.012949187316712e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,75.52930996715713,3.87,19.331066844519064,-0.4351358487307273
