property,display_property,best_cv_nrmse_method,best_cv_nrmse,best_cv_r2_method,best_cv_r2
P_bubble,$\mathrm{P_{bubble}}$,with_HPO,0.008231017996449208,with_HPO,0.9959902549228381
P_dew,$\mathrm{P_{dew}}$,with_HPO,0.002649324424616065,with_HPO,0.9997773024232102
gamma,$\mathrm{\gamma}$,with_HPO,0.0017580512676519658,with_HPO,0.9999564662299386
interfacial_thickness,$\mathrm{thickness}$,without_HPO,0.005473106829615361,with_HPO,0.9982109779955801
