,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
13034,225.0,18.54035628200247,0.95,0.0,0.0210349895491273,0.0078867947739883,0.0210552088152379,0.0,0.0,2.3006861646331145e-05
8827,250.0,30.14183097499544,0.96,0.0,0.0041702958087317,0.0,0.0,0.0358297041912682,0.0,0.0
2126,205.0,7.244370878047674,0.95,0.0022461540338648,0.0370200500439085,0.0,0.0,0.0,0.0,0.0107337959222266
15601,250.0,50.818701908443686,0.96,0.02,0.01,0.0,0.0,0.01,0.0,0.0
12055,225.0,11.978017941748895,0.9500000000000004,0.0,0.0036141911070162,0.004245146253855,0.030014447199193,0.0003212420108318,0.0057948202833863,0.0060101531457174
19291,265.0,30.43639700593164,0.98,0.0199312532813553,1.2331681778548162e-07,3.111098311804671e-08,6.821041355683285e-05,1.562011847671515e-07,1.0556256590468488e-07,1.2011353627176136e-07
14372,220.0,25.64140156304844,0.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0
3900,215.0,11.778162492382773,0.95,0.0,0.0,0.0,0.0298371529662057,0.0,0.0090054264024817,0.0111574206313125
12243,225.0,23.67363786838507,0.9500000000000004,0.0112037948849288,0.0137490003520045,0.0186504131602375,0.0,0.0,0.0016617277863489,0.00473506381648
1467,255.0,27.77605253859155,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
12814,210.0,17.700584959557776,0.9500000000000004,0.0035598544708459,0.0,0.0324731941294169,0.0,0.010108170389748,0.0038587810099889,0.0
14136,200.0,26.398097847372213,0.95,0.0,0.04,0.0,0.01,0.0,0.0,0.0
8595,235.0,34.09033591765241,0.97,0.0190963643675511,0.0,0.0036144605811676,0.0007595692083829,0.0004556347188307,0.0060739711240675,0.0
15617,260.0,35.93573370186171,0.96,0.02,0.01,0.0,0.0,0.01,0.0,0.0
13255,240.0,17.029636401276605,0.9900000000000004,0.0003378989255281,0.0073037629178862,0.0,0.0,0.0,0.0009878960891263,0.0013704420674592
12614,210.0,24.45276324252675,0.9600000000000002,0.0106397823813711,0.0,0.005043185819572,0.0029800508233207,0.0007588278003489,0.0,0.0205781531753872
16545,230.0,11.130259709701154,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
1327,285.0,62.72359211283497,0.9800000000000002,0.0085586990388113,0.0,0.0,0.0,0.0,0.0102986591658597,0.0011426417953288
14171,220.0,12.413907808683968,0.95,0.0,0.04,0.0,0.01,0.0,0.0,0.0
14239,255.0,23.59984008793629,0.95,0.0,0.04,0.0,0.01,0.0,0.0,0.0
9199,245.0,32.55854715539844,0.96,0.0,0.0267210077485568,0.0132789922514431,0.0,0.0,0.0,0.0
18681,240.0,20.401101993658944,0.9700000000000004,0.0003994480179376,0.0028965125947082,0.0244636991041966,0.0021890895987612,7.682263294672924e-08,5.381303946989452e-06,4.579255781623149e-05
13262,245.0,17.894952100590228,0.9900000000000004,0.0003378989255281,0.0073037629178862,0.0,0.0,0.0,0.0009878960891263,0.0013704420674592
4168,260.0,38.13364746447975,0.9500000000000002,0.031349032073306,0.0,0.0,0.0038762195156032,0.0,0.0,0.0147747484110907
