source_id,gamma_wsd,gamma_base,gamma_wsd_UC,gamma_base_minus_gamma_wsd_UC,abs_difference,gamma_cDFT
1,22.574658596007342,21.83509404749794,22.579184483950858,-0.7440904364529182,0.7440904364529182,22.469898600738418
1,22.443781575807247,21.774437033529715,22.48514076435606,-0.7107037308263457,0.7107037308263457,22.249433728173077
1,22.319152699999503,21.689835759585566,22.396111230454547,-0.7062754708689809,0.7062754708689809,22.034894031864336
1,22.20034586358348,21.608250100250135,22.31128584853118,-0.7030357482810459,0.7030357482810459,21.829833519150384
1,22.08907966823752,21.531686374672496,22.23194396503372,-0.7002575903612254,0.7002575903612254,21.63664924641747
1,21.99274890771736,21.274240780137767,21.99848432312514,-0.7242435429873737,0.7242435429873737,21.88781130654425
1,21.86623998322107,21.212465966127716,21.907478284172115,-0.6950123180443981,0.6950123180443981,21.677657460995338
1,21.745446102719303,21.130607220907205,21.82105884361874,-0.6904516227115352,0.6904516227115352,21.473073445355762
1,21.62988268197035,21.051243381471732,21.738429833073297,-0.6871864516015656,0.6871864516015656,21.276892049756675
1,21.520920143301787,20.976208593545504,21.660610547979083,-0.6844019544335787,0.6844019544335787,21.091028826132643
1,21.418996932951472,20.71194004442299,21.42465082713625,-0.712710782713259,0.712710782713259,21.31604279325932
1,21.29601260047865,20.656307564776558,21.335912782108007,-0.6796052173314493,0.6796052173314493,21.115750050395015
1,21.17881569928202,20.5771203362543,21.25193154614719,-0.6748112098928907,0.6748112098928907,20.920312839097388
1,21.066334205983644,20.499887112022815,21.171380594950524,-0.6714934829277084,0.6714934829277084,20.732324270453667
1,20.95962775189039,20.426353476498385,21.09504497280955,-0.6686914963111654,0.6686914963111654,20.553293546939365
1,20.84545994210984,20.15511476665855,20.85173796507898,-0.6966231984204292,0.6966231984204292,20.743330135568378
1,20.72623279264602,20.101406730786433,20.765531763529832,-0.6641250327433994,0.6641250327433994,20.552138954135028
1,20.612624337664165,20.024837551841024,20.683984066069574,-0.6591465142285493,0.6591465142285493,20.365443914353065
1,20.50334305956556,19.949810092763073,20.605596863074304,-0.6557867703112308,0.6557867703112308,20.18544230865547
1,20.39918773257189,19.877982207373474,20.53095814879838,-0.6529759414249057,0.6529759414249057,20.013308517341528
1,20.27587392289024,19.600697422264393,20.282550513329568,-0.6818530910651752,0.6818530910651752,20.17492239313876
1,20.16017021071841,19.549936534569024,20.19868196873228,-0.6487454341632564,0.6487454341632564,19.99231841070365
1,20.050056011927484,19.47594276360066,20.119500302598247,-0.6435575389975874,0.6435575389975874,19.813866438744714
1,19.94396137141619,19.403118878543168,20.04326683079872,-0.6401479522555533,0.6401479522555533,19.641476088654134
