T,P,z_carbon dioxide,z_hydrogen,z_argon,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,y_carbon dioxide,y_hydrogen,y_argon,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5488217836,0.95,0.02,0.03,0.027775359164232776,0.00015937614266462396,0.9997350215830242,2.5476095239481094e-05,0.00023950232173622612,0.9409702245123679,0.02362652836153368,0.03540324712609838,0.027767999293530504,7.076076953787882e-07,6.652263006891315e-06,0.00014996820474504638,3.765504954817576e-06,5.642432964759994e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.89656405857207,-0.013973423847680522,-0.01924698127407609
200.0,9.2986546089,0.95,0.02,0.03,0.027783579280420936,0.0005798493686691392,0.9894013777778011,0.0013373611410183567,0.009261261081180461,0.2778453367979309,0.3383690633221479,0.3837855998799213,0.027489111619647243,3.715667928803772e-05,0.00025731098148565427,0.00016110844312994458,0.00019620308774451542,0.0002225378377946792,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.279513019665032,-0.5549735535390816,-0.7614987107834885
200.0,16.0484874342,0.95,0.02,0.03,0.0277985658842494,0.0010048877874746745,0.9811477995485928,0.0030567603063182845,0.015795440145089008,0.17179571134153385,0.44331406983730876,0.3848902188211574,0.02727450174793788,8.49735527675472e-05,0.0004390905835439747,0.0001726354122676318,0.00044548089479520657,0.00038677148041183624,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.803581741502832,-0.9928299369247533,-1.354130132836449
200.0,22.7983202595,0.95,0.02,0.03,0.027819277668298625,0.001431230614741052,0.9746077266648336,0.005099694002576513,0.020292579332589815,0.12867497400922076,0.5173232341731689,0.3540017918176103,0.027112882965758298,0.0001418698034810332,0.0005645248990592941,0.0001841635621530059,0.0007404088504654938,0.0005066582021225523,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.440343312480493,-1.3558843915545964,-1.836326137473403
200.0,29.5481530849,0.95,0.02,0.03,0.02784404425291373,0.0018573424751752595,0.969269742097067,0.007357506098671116,0.02337275180426192,0.10539353064133367,0.5741294784383826,0.3204769909202837,0.02698838959196101,0.0002048627254024812,0.0006507919355502381,0.00019575188106883421,0.0010663550665538262,0.0005952355275525989,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,18.154460558084182,-1.6686010336242525,-2.2441799780690914
200.0,36.2979859102,0.95,0.02,0.03,0.027871465257076355,0.0022826189226091854,0.9647207333680454,0.009744991367357934,0.02553427526459671,0.09091340823654878,0.6184715702986093,0.2906150214648418,0.0268881804028487,0.00027160718832582563,0.0007116776659018314,0.00020752066595964002,0.0014117349094594227,0.0006633633471901225,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.9185346517036,-1.9471407552614792,-2.6024109694968374
200.0,43.0478187355,0.95,0.02,0.03,0.027900601592512814,0.0027068174612432223,0.960688478800769,0.012206874233591434,0.027104646965639592,0.0811182005545074,0.6535143910969773,0.2653674083485153,0.02680378650153745,0.0003405791346813448,0.0007562359562940216,0.00021957216168557025,0.0017689441649950304,0.0007183011345626216,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.714870921350354,-2.2011218416052323,-2.9260171007173454
200.0,49.7976515608,0.95,0.02,0.03,0.027930865740423593,0.003129801385196321,0.9570043812874784,0.014709288864476072,0.028286329848045615,0.07411988759141092,0.6815900068701705,0.2442901055384186,0.026729960886737708,0.00041084317241078897,0.0007900616812750986,0.00023198052685419348,0.002133241347638229,0.0007645795107038979,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.532636301656908,-2.4362240950676117,-3.223918028544926
200.0,56.5474843862,0.95,0.02,0.03,0.02796189173816114,0.0035514525010092806,0.9535640955756685,0.01723147699781276,0.02920442742651872,0.06892900204191804,0.7043995265052568,0.22667147145282512,0.026663456005884382,0.0004818246943014543,0.0008166110379753004,0.0002447980766938436,0.0025016414601168476,0.0008050129641985895,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.365174172301145,-2.6559255240857524,-3.501560937497622
200.0,63.2973172115,0.95,0.02,0.03,0.027993446789790145,0.003971646320691299,0.9503015258677067,0.019760429380374055,0.029938044751919343,0.06497612892257823,0.7231758793712456,0.21184799170617608,0.026602215198634028,0.000553162528402907,0.0008380690627532103,0.0002580622033681213,0.0028721988205175023,0.000841385296805675,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,17.208287629878935,-2.8624661899515544,-3.762418062441405
211.0777777778,4.3747328722,0.95,0.02,0.03,0.02697981487700986,0.0002643911179892159,0.9995210071187082,5.250487515914677e-05,0.00042648800613263264,0.9381124391919395,0.024788413545318463,0.03709914726274195,0.026966891737745198,1.4165718119342933e-06,1.1506567452723473e-05,0.0002480285965975472,6.553836370425771e-06,9.808685021242902e-06,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,17.299037601158666,-0.018725516915480966,-0.027015603672175814
211.0777777778,10.5252210407,0.95,0.02,0.03,0.026983109104402846,0.0006315236855882729,0.9900980606076798,0.0013657364438347276,0.008536202948485441,0.41573245710359163,0.2682833846066294,0.3159841582897789,0.026715923993434684,3.68518154718516e-05,0.00023033329549630792,0.0002625448935287288,0.00016942731182887475,0.0001995514802306694,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,16.797110800315384,-0.3857149357531675,-0.5537023096590694
211.0777777778,16.6757092092,0.95,0.02,0.03,0.026992767193423476,0.0010017890658385173,0.9822284161137617,0.0030416125843440644,0.014729971301894242,0.27706557566128215,0.3740938106602904,0.34884061367842756,0.026513062966923847,8.210154038178646e-05,0.00039760268611784016,0.00027756126421772686,0.00037476308911734346,0.00034946471250344704,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,16.39023978041228,-0.6964861298697524,-0.9930368266268506
211.0777777778,22.8261973778,0.95,0.02,0.03,0.027008150777610495,0.001372818063929132,0.9757163586876126,0.005027285758901058,0.019256355553486308,0.21314600811928447,0.44901502471099686,0.3378389671697187,0.026352294531616124,0.00013577769177853377,0.0005200785542158354,0.00029261069020053914,0.0006164159368988421,0.0004637914368297508,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,16.064082910276476,-0.9636207224407354,-1.3634238249840838
211.0777777778,28.9766855463,0.95,0.02,0.03,0.027027967335905675,0.0017434372181406794,0.9702399685186397,0.007240975427414386,0.02251905605394591,0.17647213191493574,0.5076223531369608,0.3159055149481035,0.026223614177111942,0.00019570884733225165,0.000608644311461479,0.00030766808274513055,0.0008850077032191285,0.0005507614321764204,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.798191091327796,-1.1988803941016943,-1.6834560449525782
211.0777777778,35.1271737148,0.95,0.02,0.03,0.02705094242399471,0.002113156732932861,0.965496911675425,0.00960817934114996,0.024894908983425057,0.15277076215858149,0.5546009216002404,0.2926283162411781,0.026117601368276625,0.000259910306156863,0.0006734307495612199,0.00032282856465069116,0.0011719586715703177,0.0006183694967118519,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.574293995146213,-1.4110633393364935,-1.967627772437524
211.0777777778,41.2776618834,0.95,0.02,0.03,0.027076104372049534,0.0024817994834272924,0.9612617175925686,0.012074206799764427,0.026664075607666954,0.1362712382442288,0.5926875881717958,0.2710411735839754,0.02602722259439199,0.0003269224835201318,0.0007219592941374105,0.0003381978886805245,0.0014709317501585305,0.0006726698445882372,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.379100862401742,,
211.0777777778,47.4281500519,0.95,0.02,0.03,0.02710278519610433,0.002849297378906116,0.9573813357017369,0.014602297086291969,0.02801636721197118,0.12419284252732271,0.6238828038944718,0.2519243535782056,0.025947700692283627,0.00039576292129947136,0.0007593215825212353,0.0003538623406920006,0.0017776276378811168,0.0007178074003329987,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.20372016431035,,
211.0777777778,53.5786382204,0.95,0.02,0.03,0.027130540179274333,0.003215607662834388,0.9537547037438583,0.01716835112787445,0.02907694512826716,0.11502849360885062,0.6497024440867961,0.2352690623043533,0.025875880311094637,0.0004657866400866875,0.0007888732280930073,0.0003698865054929165,0.002089188157767732,0.0007565329995737395,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.04233506171842,-1.9575301411364094,-2.6868971771076797
